name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,cui_nomenclature,feature_level_min_kg_hits,feature_level_sum_kg_hits,sim_score
Cholesterol in IDL,0.00402,0.00178,-0.024,-0.023,12460,0.00521,Cholesterol in IDL,1.77,164,2.33,-0.77 <= Cholesterol in IDL < -0.51,Cholesterol in IDL,Cholesterol in IDL,0,0,0.0
Other disorders of bladder,0.00399,0.02463,0.022,0.022,12460,0.00082,Other disorders of bladder,1.23,130,1.28,0.15 <= Other disorders of bladder < 5.30,Other disorders of bladder,Other disorders of bladder,0,0,0.0
Atrial fibrillation and flutter,0.00392,0.51227,-0.001,-0.001,12460,0.00258,Atrial fibrillation and flutter,1.56,257,3.21,-5.50 <= Atrial fibrillation and flutter < -0.09,Atrial fibrillation and flutter,Atrial fibrillation and flutter,0,0,0.0
Cholesterol in Small LDL,0.00384,0.02864,-0.021,-0.02,12460,0.00088,Cholesterol in Small LDL,1.49,148,1.77,-3.60 <= Cholesterol in Small LDL < -2.80,Cholesterol in Small LDL,Cholesterol in Small LDL,0,0,0.0
Cholesterol in Large LDL,0.00381,0.01355,-0.016,-0.015,12460,0.00582,Cholesterol in Large LDL,1.47,387,4.57,Cholesterol in Large LDL < -2.20,Cholesterol in Large LDL,Cholesterol in Large LDL,0,0,0.0
"Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs",0.00376,0.00632,0.024,0.024,12460,0.0,"Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs",1.62,173,2.25,"Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs >= 0.50","Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs","Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs",0,0,0.0
Home area population density - urban or rural_Scotland - Other Urban Area,0.00365,0.00527,-0.025,-0.025,12460,0.00048,Home area population density - urban or rural_Scotland - Other Urban Area,1.01,12338,99.76,Home area population density - urban or rural_Scotland - Other Urban Area < 0.50,Home area population density - urban or rural_Scotland - Other Urban Area,Home area population density - urban or rural_Scotland - Other Urban Area,0,0,0.0
Home area population density - urban or rural_England/Wales - Urban - less sparse,0.0036,7e-05,0.036,0.036,12460,0.00314,Home area population density - urban or rural_England/Wales - Urban - less sparse,1.05,9893,83.71,Home area population density - urban or rural_England/Wales - Urban - less sparse >= 0.50,Home area population density - urban or rural_England/Wales - Urban - less sparse,Home area population density - urban or rural_England/Wales - Urban - less sparse,0,0,0.0
Concentration of Medium LDL Particles,0.00359,0.06983,-0.019,-0.018,12460,0.00632,Concentration of Medium LDL Particles,1.79,179,2.57,-1.40 <= Concentration of Medium LDL Particles < -1.10,Concentration of Medium LDL Particles,Concentration of Medium LDL Particles,0,0,0.0
Ever had bowel cancer screening_Yes,0.00356,0.0,0.047,0.047,12460,0.00015,Ever had bowel cancer screening_Yes,1.17,5102,47.83,Ever had bowel cancer screening_Yes >= 0.50,Ever had bowel cancer screening_Yes,Ever had bowel cancer screening_Yes,0,0,0.0
Acute renal failure,0.00352,0.50747,0.019,0.018,12460,0.0,Acute renal failure,1.0,12072,96.55,-0.34 <= Acute renal failure < 0.49,Acute renal failure,Acute renal failure,0,0,0.0
"Non-cancer illness code, self-reported | Array 1 soft",0.0035,0.03257,-0.019,-0.019,12460,0.00394,"Non-cancer illness code, self-reported | Array 1__soft",1.0,12419,100.0,"Non-cancer illness code, self-reported | Array 1__soft < 0.21","Non-cancer illness code, self-reported | Array 1 soft","Non-cancer illness code, self-reported | Array 1 soft",0,0,0.0
Age high blood pressure diagnosed_52,0.00348,0.00123,0.029,0.029,12460,0.00157,Age high blood pressure diagnosed_52,0.99,12337,98.15,Age high blood pressure diagnosed_52 < 0.50,Age high blood pressure diagnosed_52,Age high blood pressure diagnosed_52,0,0,0.0
Gastritis and duodenitis,0.00345,0.03489,0.022,0.021,12460,0.0,Gastritis and duodenitis,1.4,236,2.65,Gastritis and duodenitis >= 2.90,Gastritis and duodenitis,Gastritis and duodenitis,0,0,0.0
Ever had bowel cancer screening_No,0.00333,0.0,-0.044,-0.044,12460,0.00142,Ever had bowel cancer screening_No,1.15,5368,49.68,Ever had bowel cancer screening_No < 0.50,Ever had bowel cancer screening_No,Ever had bowel cancer screening_No,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 eye",0.00333,0.00016,0.035,0.035,12460,0.00023,"Non-cancer illness code, self-reported | Array 0__eye",0.99,12428,99.2,"Non-cancer illness code, self-reported | Array 0__eye < 0.79","Non-cancer illness code, self-reported | Array 0 eye","Non-cancer illness code, self-reported | Array 0 eye",0,0,0.0
Eye problems/disorders_Injury or trauma resulting in loss of vision,0.00312,0.0,0.052,0.052,12460,0.00069,Eye problems/disorders_Injury or trauma resulting in loss of vision,0.99,12382,98.15,Eye problems/disorders_Injury or trauma resulting in loss of vision < 0.50,Eye problems/disorders_Injury or trauma resulting in loss of vision,Eye problems/disorders_Injury or trauma resulting in loss of vision,0,0,0.0
Eye problems/disorders_Glaucoma|Cataract,0.00311,1e-05,0.041,0.041,12460,0.00508,Eye problems/disorders_Glaucoma|Cataract,0.99,12418,98.96,Eye problems/disorders_Glaucoma|Cataract < 0.50,Eye problems/disorders_Glaucoma|Cataract,Eye problems/disorders_Glaucoma|Cataract,0,0,0.0
Coffee intake,0.00309,0.78056,-0.004,-0.003,12460,0.00282,Coffee intake,1.28,477,4.9,1.70 <= Coffee intake < 2.70,Coffee intake,Coffee intake,0,0,0.0
Osteoarthrosis NOS,0.00299,0.21559,-0.003,-0.003,12460,0.00334,Osteoarthrosis NOS,0.99,12187,97.03,-0.53 <= Osteoarthrosis NOS < 1.40,Osteoarthrosis NOS,Osteoarthrosis NOS,0,0,0.0
"Non-cancer illness code, self-reported | Array 2 osteoporosis",0.00292,0.0134,0.022,0.022,12460,0.00227,"Non-cancer illness code, self-reported | Array 2__osteoporosis",1.0,12418,99.28,"Non-cancer illness code, self-reported | Array 2__osteoporosis < 0.50","Non-cancer illness code, self-reported | Array 2 osteoporosis","Non-cancer illness code, self-reported | Array 2 osteoporosis",0,0,0.0
Mouth/teeth dental problems_None of the above,0.00291,0.08272,-0.016,-0.016,12460,0.0026,Mouth/teeth dental problems_None of the above,1.05,5591,47.19,Mouth/teeth dental problems_None of the above < 0.50,Mouth/teeth dental problems_None of the above,Mouth/teeth dental problems_None of the above,0,0,0.0
Urinary tract infection,0.00288,0.05335,0.017,0.017,12460,0.0,Urinary tract infection,1.22,335,3.29,0.12 <= Urinary tract infection < 5.10,Urinary tract infection,Urinary tract infection,0,0,0.0
Treatment/medication code | Array 0 calcichew,0.00278,0.1646,-0.013,-0.013,12460,0.0,Treatment/medication code | Array 0__calcichew,1.0,12382,99.68,Treatment/medication code | Array 0__calcichew < 0.24,Treatment/medication code | Array 0 calcichew,Treatment/medication code | Array 0 calcichew,0,0,0.0
Time spend outdoors in summer_10,0.00277,0.02679,0.02,0.02,12460,0.0,Time spend outdoors in summer_10,1.41,255,2.89,Time spend outdoors in summer_10 >= 0.50,Time spend outdoors in summer_10,Time spend outdoors in summer_10,0,0,0.0
Other headache syndromes,0.0027,0.0717,0.01,0.009,12460,0.0038,Other headache syndromes,1.0,12308,98.88,-8.30 <= Other headache syndromes < 4.20,Other headache syndromes,Other headache syndromes,0,0,0.0
(non-UK origin) Country of Birth india,0.00257,0.00025,0.033,0.033,12460,0.00073,(non-UK origin) Country of Birth__india,0.99,12353,98.23,(non-UK origin) Country of Birth__india < 0.50,(non-UK origin) Country of Birth india,(non-UK origin) Country of Birth india,0,0,0.0
Treatment/medication code | Array 0 allopurinol,0.00254,0.01811,0.021,0.021,12460,0.0,Treatment/medication code | Array 0__allopurinol,1.45,241,2.81,Treatment/medication code | Array 0__allopurinol >= 0.50,Treatment/medication code | Array 0 allopurinol,Treatment/medication code | Array 0 allopurinol,0,0,0.0
Ethnic background_Any other white background,0.00245,0.06685,-0.016,-0.016,12460,0.0,Ethnic background_Any other white background,1.01,12167,98.39,Ethnic background_Any other white background < 0.50,Ethnic background_Any other white background,Ethnic background_Any other white background,0,0,0.0
Mental health conditions ever diagnosed by a professional group anxiety,0.00243,0.14382,-0.012,-0.012,12460,0.00083,Mental health conditions ever diagnosed by a professional__group anxiety,1.01,12280,99.12,Mental health conditions ever diagnosed by a professional__group anxiety < 0.21,Mental health conditions ever diagnosed by a professional group anxiety,Mental health conditions ever diagnosed by a professional group anxiety,0,0,0.0
"Medication for cholesterol, blood pressure or diabetes_None of the above",0.0024,0.0,-0.042,-0.042,12460,0.00231,"Medication for cholesterol, blood pressure or diabetes_None of the above",1.08,9069,78.33,"Medication for cholesterol, blood pressure or diabetes_None of the above < 0.50","Medication for cholesterol, blood pressure or diabetes_None of the above","Medication for cholesterol, blood pressure or diabetes_None of the above",0,0,0.0
Treatment/medication code | Array 0 vitamin,0.00239,0.10203,0.014,0.014,12460,0.0,Treatment/medication code | Array 0__vitamin,1.0,12413,99.36,Treatment/medication code | Array 0__vitamin < 0.19,Treatment/medication code | Array 0 vitamin,Treatment/medication code | Array 0 vitamin,0,0,0.0
Cardiomegaly,0.00239,0.0294,0.029,0.029,12460,0.00064,Cardiomegaly,0.99,12283,97.11,-4.20 <= Cardiomegaly < 0.40,Cardiomegaly,Cardiomegaly,0,0,0.0
Ever had refractive laser eye surgery_None,0.00237,0.0,-0.041,-0.041,12460,0.00048,Ever had refractive laser eye surgery_None,1.81,282,4.09,Ever had refractive laser eye surgery_None < 0.50,Ever had refractive laser eye surgery_None,Ever had refractive laser eye surgery_None,0,0,0.0
"Non-cancer illness code, self-reported | Array 2 rheumatoid",0.00236,0.0423,-0.018,-0.018,12460,0.00053,"Non-cancer illness code, self-reported | Array 2__rheumatoid",1.0,12423,100.0,"Non-cancer illness code, self-reported | Array 2__rheumatoid < 0.30","Non-cancer illness code, self-reported | Array 2 rheumatoid","Non-cancer illness code, self-reported | Array 2 rheumatoid",0,0,0.0
Dysphagia,0.00234,0.44621,0.001,0.001,12460,0.0,Dysphagia,1.0,12310,98.48,Dysphagia < 2.40,Dysphagia,Dysphagia,0,0,0.0
Time spend outdoors in summer_2,0.00232,0.34242,-0.009,-0.009,12460,0.00192,Time spend outdoors in summer_2,1.01,10177,82.66,Time spend outdoors in summer_2 < 0.50,Time spend outdoors in summer_2,Time spend outdoors in summer_2,0,0,0.0
Mouth/teeth dental problems_Dentures,0.00222,0.00839,0.024,0.024,12460,0.0,Mouth/teeth dental problems_Dentures,1.15,2241,20.71,Mouth/teeth dental problems_Dentures >= 0.50,Mouth/teeth dental problems_Dentures,Mouth/teeth dental problems_Dentures,0,0,0.0
(PSA) Time since last prostate specific antigen test_8,0.00218,0.05519,-0.017,-0.017,12460,0.0,(PSA) Time since last prostate specific antigen test_8,1.0,12427,100.0,(PSA) Time since last prostate specific antigen test_8 < 0.50,(PSA) Time since last prostate specific antigen test_8,(PSA) Time since last prostate specific antigen test_8,0,0,0.0
Other symptoms/disorders or the urinary system,0.00218,0.35055,-0.009,-0.009,12460,0.00334,Other symptoms/disorders or the urinary system,1.0,12200,97.51,-1.10 <= Other symptoms/disorders or the urinary system < 2.50,Other symptoms/disorders or the urinary system,Other symptoms/disorders or the urinary system,0,0,0.0
Qualifications_CSEs or equivalent,0.00218,0.0085,-0.024,-0.024,12460,0.00227,Qualifications_CSEs or equivalent,1.01,12103,98.31,Qualifications_CSEs or equivalent < 0.50,Qualifications_CSEs or equivalent,Qualifications_CSEs or equivalent,0,0,0.0
Started insulin within one year diagnosis of diabetes_Yes,0.00217,0.0,0.044,0.044,12460,0.00389,Started insulin within one year diagnosis of diabetes_Yes,0.99,12370,98.15,Started insulin within one year diagnosis of diabetes_Yes < 0.50,Started insulin within one year diagnosis of diabetes_Yes,Started insulin within one year diagnosis of diabetes_Yes,0,0,0.0
"Symptoms concerning nutrition, metabolism, and development",0.00217,0.06536,0.029,0.029,12460,0.0,"Symptoms concerning nutrition, metabolism, and development",0.99,12172,96.55,"-0.51 <= Symptoms concerning nutrition, metabolism, and development < 1.00","Symptoms concerning nutrition, metabolism, and development","Symptoms concerning nutrition, metabolism, and development",0,0,0.0
"Non-cancer illness code, self-reported | Array 2 cholesterol",0.00214,5e-05,0.036,0.036,12460,0.00655,"Non-cancer illness code, self-reported | Array 2__cholesterol",1.51,550,6.66,"Non-cancer illness code, self-reported | Array 2__cholesterol >= 0.29","Non-cancer illness code, self-reported | Array 2 cholesterol","Non-cancer illness code, self-reported | Array 2 cholesterol",0,0,0.0
"Non-cancer illness code, self-reported | Array 1 heart",0.00212,0.02038,0.021,0.021,12460,0.00021,"Non-cancer illness code, self-reported | Array 1__heart",1.0,12381,98.88,"Non-cancer illness code, self-reported | Array 1__heart < 0.28","Non-cancer illness code, self-reported | Array 1 heart","Non-cancer illness code, self-reported | Array 1 heart",0,0,0.0
"Non-cancer illness code, self-reported | Array 1 chronic bronchitis",0.00208,0.07469,-0.016,-0.016,12460,0.00139,"Non-cancer illness code, self-reported | Array 1__chronic bronchitis",1.0,12398,99.84,"Non-cancer illness code, self-reported | Array 1__chronic bronchitis < 0.23","Non-cancer illness code, self-reported | Array 1 chronic bronchitis","Non-cancer illness code, self-reported | Array 1 chronic bronchitis",0,0,0.0
"Age hay fever, rhinitis or eczema diagnosed_50",0.00203,0.00291,0.027,0.027,12460,0.00245,"Age hay fever, rhinitis or eczema diagnosed_50",0.99,12373,98.64,"Age hay fever, rhinitis or eczema diagnosed_50 < 0.50","Age hay fever, rhinitis or eczema diagnosed_50","Age hay fever, rhinitis or eczema diagnosed_50",0,0,0.0
"Non-cancer illness code, self-reported | Array 0 depression",0.00201,0.04588,-0.018,-0.018,12460,0.0,"Non-cancer illness code, self-reported | Array 0__depression",1.01,12294,99.28,"Non-cancer illness code, self-reported | Array 0__depression < 0.34","Non-cancer illness code, self-reported | Array 0 depression","Non-cancer illness code, self-reported | Array 0 depression",0,0,0.0
Myocardial infarction,0.00199,0.74871,0.0,0.0,12460,0.00031,Myocardial infarction,1.54,156,1.93,0.49 <= Myocardial infarction < 2.70,Myocardial infarction,Myocardial infarction,0,0,0.0
Mental health conditions ever diagnosed by a professional disorder,0.00197,0.06306,0.016,0.016,12460,0.00524,Mental health conditions ever diagnosed by a professional__disorder,1.0,12316,98.39,Mental health conditions ever diagnosed by a professional__disorder < 0.25,Mental health conditions ever diagnosed by a professional disorder,Mental health conditions ever diagnosed by a professional disorder,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 hernia",0.00195,0.03692,-0.02,-0.02,12460,0.00266,"Non-cancer illness code, self-reported | Array 0__hernia",1.01,12364,99.76,"Non-cancer illness code, self-reported | Array 0__hernia < 0.28","Non-cancer illness code, self-reported | Array 0 hernia","Non-cancer illness code, self-reported | Array 0 hernia",0,0,0.0
Age other serious eye condition diagnosed_infrequent_,0.00191,0.0,0.063,0.063,12460,0.00068,Age other serious eye condition diagnosed_infrequent_,0.98,12369,97.67,Age other serious eye condition diagnosed_infrequent_ < 0.50,Age other serious eye condition diagnosed_infrequent_,Age other serious eye condition diagnosed_infrequent_,0,0,0.0
Illnesses of mother_2_Chronic bronchitis/emphysema,0.00186,0.38672,0.008,0.008,12460,0.00157,Illnesses of mother_2_Chronic bronchitis/emphysema,1.0,12417,99.52,Illnesses of mother_2_Chronic bronchitis/emphysema < 0.50,Illnesses of mother_2_Chronic bronchitis/emphysema,Illnesses of mother_2_Chronic bronchitis/emphysema,0,0,0.0
Age asthma diagnosed_infrequent_,0.00184,0.27297,-0.01,-0.01,12460,0.0,Age asthma diagnosed_infrequent_,1.01,11734,94.86,Age asthma diagnosed_infrequent_ < 0.50,Age asthma diagnosed_infrequent_,Age asthma diagnosed_infrequent_,0,0,0.0
Treatment/medication code | Array 0 primrose oil,0.00183,0.0683,-0.016,-0.016,12460,0.0,Treatment/medication code | Array 0__primrose oil,1.0,12417,100.0,Treatment/medication code | Array 0__primrose oil < 0.46,Treatment/medication code | Array 0 primrose oil,Treatment/medication code | Array 0 primrose oil,0,0,0.0
Age heart attack diagnosed,0.0018,0.7565,0.004,0.004,12460,0.00066,Age heart attack diagnosed,1.83,131,1.93,-5.80 <= Age heart attack diagnosed < -0.80,Age heart attack diagnosed,Age heart attack diagnosed,0,0,0.0
Mouth/teeth dental problems_Bleeding gums,0.0018,0.08041,-0.016,-0.016,12460,0.00078,Mouth/teeth dental problems_Bleeding gums,1.01,11678,94.86,Mouth/teeth dental problems_Bleeding gums < 0.50,Mouth/teeth dental problems_Bleeding gums,Mouth/teeth dental problems_Bleeding gums,0,0,0.0
Other peripheral nerve disorders,0.00178,0.47075,-0.005,-0.005,12460,0.0018,Other peripheral nerve disorders,1.0,12181,98.07,Other peripheral nerve disorders < 0.19,Other peripheral nerve disorders,Other peripheral nerve disorders,0,0,0.0
Other tests,0.00176,0.29298,-0.012,-0.012,12460,1e-05,Other tests,1.0,12075,97.11,-7.40 <= Other tests < 0.01,Other tests,Other tests,0,0,0.0
Illnesses of siblings_0_Stroke,0.00173,0.04979,-0.018,-0.018,12460,0.0,Illnesses of siblings_0_Stroke,1.01,12321,99.44,Illnesses of siblings_0_Stroke < 0.50,Illnesses of siblings_0_Stroke,Illnesses of siblings_0_Stroke,0,0,0.0
Duodenitis,0.00172,0.17046,-0.016,-0.016,12460,0.0,Duodenitis,0.99,12266,97.83,-1.60 <= Duodenitis < 5.90,Duodenitis,Duodenitis,0,0,0.0
Other non-epithelial cancer of skin,0.0017,0.50389,0.004,0.004,12460,0.00242,Other non-epithelial cancer of skin,1.0,12251,97.99,Other non-epithelial cancer of skin >= -0.61,Other non-epithelial cancer of skin,Other non-epithelial cancer of skin,0,0,0.0
Illnesses of mother_2_None,0.00168,0.00863,-0.024,-0.024,12460,0.00059,Illnesses of mother_2_None,1.13,2841,25.76,Illnesses of mother_2_None < 0.50,Illnesses of mother_2_None,Illnesses of mother_2_None,0,0,0.0
Qualifications_College or University degree,0.00164,0.16557,0.012,0.012,12460,0.0,Qualifications_College or University degree,1.11,1260,11.24,Qualifications_College or University degree >= 0.50,Qualifications_College or University degree,Qualifications_College or University degree,0,0,0.0
Treatment/medication code | Array 0 oil,0.00161,0.03155,-0.019,-0.019,12460,0.00202,Treatment/medication code | Array 0__oil,1.01,11995,97.43,Treatment/medication code | Array 0__oil < 0.30,Treatment/medication code | Array 0 oil,Treatment/medication code | Array 0 oil,0,0,0.0
"Non-cancer illness code, self-reported | Array 3 heart",0.00159,0.08218,0.014,0.014,12460,0.0034,"Non-cancer illness code, self-reported | Array 3__heart",1.0,12429,99.52,"Non-cancer illness code, self-reported | Array 3__heart < 0.85","Non-cancer illness code, self-reported | Array 3 heart","Non-cancer illness code, self-reported | Array 3 heart",0,0,0.0
Mental health conditions ever diagnosed by a professional depression,0.00156,0.00551,-0.021,-0.021,12460,0.00363,Mental health conditions ever diagnosed by a professional__depression,1.01,11887,96.71,Mental health conditions ever diagnosed by a professional__depression < 0.26,Mental health conditions ever diagnosed by a professional depression,Mental health conditions ever diagnosed by a professional depression,0,0,0.0
Vascular/heart problems diagnosed by doctor_Angina|High blood pressure,0.00156,0.26462,0.01,0.01,12460,0.0,Vascular/heart problems diagnosed by doctor_Angina|High blood pressure,1.2,266,2.57,Vascular/heart problems diagnosed by doctor_Angina|High blood pressure >= 0.50,Vascular/heart problems diagnosed by doctor_Angina|High blood pressure,Vascular/heart problems diagnosed by doctor_Angina|High blood pressure,0,0,0.0
Time spend outdoors in summer_1,0.00155,0.18778,-0.012,-0.012,12460,0.00346,Time spend outdoors in summer_1,1.01,11662,94.46,Time spend outdoors in summer_1 < 0.50,Time spend outdoors in summer_1,Time spend outdoors in summer_1,0,0,0.0
Z50.1 - Other physical therapy,0.00153,0.07875,0.015,0.015,12460,0.0,Z50.1 - Other physical therapy,0.99,12311,98.15,-0.21 <= Z50.1 - Other physical therapy < 5.00,Z50.1 - Other physical therapy,Z50.1 - Other physical therapy,0,0,0.0
A09.9 - Gastroenteritis and colitis of unspecified origin,0.00153,0.03354,0.01,0.01,12460,0.0,A09.9 - Gastroenteritis and colitis of unspecified origin,1.0,12262,97.99,-1.50 <= A09.9 - Gastroenteritis and colitis of unspecified origin < 4.60,A09.9 - Gastroenteritis and colitis of unspecified origin,A09.9 - Gastroenteritis and colitis of unspecified origin,0,0,0.0
Illnesses of mother_2_Stroke,0.00153,0.08846,0.015,0.015,12460,0.0,Illnesses of mother_2_Stroke,1.29,311,3.21,Illnesses of mother_2_Stroke >= 0.50,Illnesses of mother_2_Stroke,Illnesses of mother_2_Stroke,0,0,0.0
Alcoholism,0.00153,0.16981,0.011,0.011,12460,0.0,Alcoholism,1.01,12140,97.99,-0.03 <= Alcoholism < 1.60,Alcoholism,Alcoholism,0,0,0.0
Back pain,0.00151,0.21731,0.012,0.012,12460,0.0,Back pain,1.0,12279,98.15,Back pain < 0.13,Back pain,Back pain,0,0,0.0
"Non-cancer illness code, self-reported | Array 1 muscle",0.00148,0.03257,-0.019,-0.019,12460,0.0032,"Non-cancer illness code, self-reported | Array 1__muscle",1.0,12419,100.0,"Non-cancer illness code, self-reported | Array 1__muscle < 0.21","Non-cancer illness code, self-reported | Array 1 muscle","Non-cancer illness code, self-reported | Array 1 muscle",0,0,0.0
Mental health conditions ever diagnosed by a professional attacks,0.00146,0.61918,0.005,0.005,12460,0.0021,Mental health conditions ever diagnosed by a professional__attacks,1.0,12302,98.56,Mental health conditions ever diagnosed by a professional__attacks < 0.17,Mental health conditions ever diagnosed by a professional attacks,Mental health conditions ever diagnosed by a professional attacks,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 heart",0.00142,0.00531,0.028,0.028,12460,0.0,"Non-cancer illness code, self-reported | Array 0__heart",1.44,478,5.54,"0.18 <= Non-cancer illness code, self-reported | Array 0__heart < 0.46","Non-cancer illness code, self-reported | Array 0 heart","Non-cancer illness code, self-reported | Array 0 heart",0,0,0.0
Age high blood pressure diagnosed_Do not know,0.00139,0.00081,0.03,0.03,12460,0.0,Age high blood pressure diagnosed_Do not know,1.46,467,5.46,Age high blood pressure diagnosed_Do not know >= 0.50,Age high blood pressure diagnosed_Do not know,Age high blood pressure diagnosed_Do not know,0,0,0.0
Age other serious eye condition diagnosed_None,0.00139,0.0,-0.063,-0.063,12460,7e-05,Age other serious eye condition diagnosed_None,0.98,12369,97.67,Age other serious eye condition diagnosed_None >= 0.50,Age other serious eye condition diagnosed_None,Age other serious eye condition diagnosed_None,0,0,0.0
"Medication for cholesterol, blood pressure or diabetes_Blood pressure medication",0.00139,4e-05,0.037,0.037,12460,0.00544,"Medication for cholesterol, blood pressure or diabetes_Blood pressure medication",1.44,735,8.51,"Medication for cholesterol, blood pressure or diabetes_Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure or diabetes_Blood pressure medication","Medication for cholesterol, blood pressure or diabetes_Blood pressure medication",0,0,0.0
"Non-cancer illness code, self-reported | Array 3 oesophageal",0.00138,0.042,-0.018,-0.018,12460,8e-05,"Non-cancer illness code, self-reported | Array 3__oesophageal",1.01,12344,99.6,"Non-cancer illness code, self-reported | Array 3__oesophageal < 0.14","Non-cancer illness code, self-reported | Array 3 oesophageal","Non-cancer illness code, self-reported | Array 3 oesophageal",0,0,0.0
Eye problems/disorders_Cataract,0.00136,0.16201,-0.013,-0.013,12460,0.0,Eye problems/disorders_Cataract,1.01,12035,97.27,Eye problems/disorders_Cataract < 0.50,Eye problems/disorders_Cataract,Eye problems/disorders_Cataract,0,0,0.0
Most recent bowel cancer screening_20,0.00135,0.04199,0.018,0.018,12460,0.0,Most recent bowel cancer screening_20,1.0,12419,99.36,Most recent bowel cancer screening_20 < 0.50,Most recent bowel cancer screening_20,Most recent bowel cancer screening_20,0,0,0.0
Eye problems/disorders_Diabetes related eye disease,0.00134,0.0,0.062,0.062,12460,0.00123,Eye problems/disorders_Diabetes related eye disease,0.98,12344,97.27,Eye problems/disorders_Diabetes related eye disease < 0.50,Eye problems/disorders_Diabetes related eye disease,Eye problems/disorders_Diabetes related eye disease,0,0,0.0
Other anemias,0.0013,0.24164,0.019,0.019,12460,0.00524,Other anemias,1.91,141,2.17,3.40 <= Other anemias < 5.30,Other anemias,Other anemias,0,0,0.0
"Non-cancer illness code, self-reported | Array 2 rheumatoid arthritis",0.00128,0.0423,-0.018,-0.018,12460,0.0,"Non-cancer illness code, self-reported | Array 2__rheumatoid arthritis",1.0,12423,100.0,"Non-cancer illness code, self-reported | Array 2__rheumatoid arthritis < 0.30","Non-cancer illness code, self-reported | Array 2 rheumatoid arthritis","Non-cancer illness code, self-reported | Array 2 rheumatoid arthritis",0,0,0.0
Illnesses of siblings_0_Chronic bronchitis/emphysema,0.00128,0.14231,0.013,0.013,12460,0.0,Illnesses of siblings_0_Chronic bronchitis/emphysema,1.34,164,1.77,Illnesses of siblings_0_Chronic bronchitis/emphysema >= 0.50,Illnesses of siblings_0_Chronic bronchitis/emphysema,Illnesses of siblings_0_Chronic bronchitis/emphysema,0,0,0.0
Hemorrhage or hematoma complicating a procedure,0.00126,0.39169,0.002,0.002,12460,0.0,Hemorrhage or hematoma complicating a procedure,0.99,12243,97.51,-2.50 <= Hemorrhage or hematoma complicating a procedure < 1.10,Hemorrhage or hematoma complicating a procedure,Hemorrhage or hematoma complicating a procedure,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 eczema dermatitis",0.00123,0.04002,-0.018,-0.018,12460,0.00596,"Non-cancer illness code, self-reported | Array 0__eczema dermatitis",1.0,12404,99.92,"Non-cancer illness code, self-reported | Array 0__eczema dermatitis < 0.29","Non-cancer illness code, self-reported | Array 0 eczema dermatitis","Non-cancer illness code, self-reported | Array 0 eczema dermatitis",0,0,0.0
Mouth/teeth dental problems_Mouth ulcers|Dentures,0.00122,0.06348,0.017,0.017,12460,0.00297,Mouth/teeth dental problems_Mouth ulcers|Dentures,1.38,210,2.33,Mouth/teeth dental problems_Mouth ulcers|Dentures >= 0.50,Mouth/teeth dental problems_Mouth ulcers|Dentures,Mouth/teeth dental problems_Mouth ulcers|Dentures,0,0,0.0
"Non-cancer illness code, self-reported | Array 2 hypertension",0.00122,0.01611,0.022,0.022,12460,0.00023,"Non-cancer illness code, self-reported | Array 2__hypertension",1.52,191,2.33,"Non-cancer illness code, self-reported | Array 2__hypertension >= 0.50","Non-cancer illness code, self-reported | Array 2 hypertension","Non-cancer illness code, self-reported | Array 2 hypertension",0,0,0.0
"Age hay fever, rhinitis or eczema diagnosed_None",0.00122,0.38095,0.008,0.008,12460,0.00384,"Age hay fever, rhinitis or eczema diagnosed_None",1.01,9932,80.66,"Age hay fever, rhinitis or eczema diagnosed_None >= 0.50","Age hay fever, rhinitis or eczema diagnosed_None","Age hay fever, rhinitis or eczema diagnosed_None",0,0,0.0
"Non-cancer illness code, self-reported | Array 6 problem",0.00121,0.68424,0.004,0.004,12460,0.00208,"Non-cancer illness code, self-reported | Array 6__problem",1.0,12427,99.68,"Non-cancer illness code, self-reported | Array 6__problem < 0.50","Non-cancer illness code, self-reported | Array 6 problem","Non-cancer illness code, self-reported | Array 6 problem",0,0,0.0
"Non-cancer illness code, self-reported | Array 0 problem",0.0012,0.40166,-0.003,-0.003,12460,0.0,"Non-cancer illness code, self-reported | Array 0__problem",1.0,12258,98.48,"Non-cancer illness code, self-reported | Array 0__problem < 0.16","Non-cancer illness code, self-reported | Array 0 problem","Non-cancer illness code, self-reported | Array 0 problem",0,0,0.0
