feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Medium and low fat cheese,C0010454,Culture Media,"Culture Media. Any liquid or solid preparation made specifically for the growth, storage, or transport of microorganisms or other types of cells. The variety of media that exist allow for the culturing of specific microorganisms and cell types, such as differential media, selective media, test media, and defined media. Solid media consist of liquid media that have been solidified with an agent such as AGAR or GELATIN.",0,0.306,0.0,0.0,0.0,0.0018,0.7073,,0.0039,Medium and low fat cheese,1.02,15463,-0.38 <= Medium and low fat cheese < 3.00,0.06,0.06,2,105,0.23
Mental health conditions ever diagnosed by a professional anxiety nerves,,,,0,1.0,0.0,0.0,0.0,0.0018,0.1467,,0.0004,Mental health conditions ever diagnosed by a professional__anxiety nerves,1.0,16815,Mental health conditions ever diagnosed by a professional__anxiety nerves < 0.13,-0.03,-0.03,2,80,0.28
Angina pectoris,C0002962,Angina Pectoris,"Angina Pectoris. The symptom of paroxysmal pain consequent to MYOCARDIAL ISCHEMIA usually of distinctive character, location and radiation. It is thought to be provoked by a transient stressful situation during which the oxygen requirements of the MYOCARDIUM exceed that supplied by the CORONARY CIRCULATION.",0,0.784,0.0,0.0,0.0,0.0017,0.0492,,0.0104,Angina pectoris,1.27,402,-7.90 <= Angina pectoris < -0.23,0.1,0.1,2,16,0.03
"Age hay fever, rhinitis or eczema diagnosed",C0001779,Age,Age. How long something has existed; elapsed time since birth.,1,0.356,0.0,1.0,0.2,0.0017,0.1151,,0.0036,"Age hay fever, rhinitis or eczema diagnosed_None",1.01,13736,"Age hay fever, rhinitis or eczema diagnosed_None >= 0.50",-0.07,-0.07,1,0,0.0
hypertension,C0020538,Hypertensive disease,"Hypertensive disease. Persistently high systemic arterial BLOOD PRESSURE. Based on multiple readings (BLOOD PRESSURE DETERMINATION), hypertension is currently defined as when SYSTOLIC PRESSURE is consistently greater than 140 mm Hg or when DIASTOLIC PRESSURE is consistently 90 mm Hg or more.",1,0.698,0.0,1.0,0.3,0.0017,0.002,,0.0,"Non-cancer illness code, self-reported | Array 0__hypertension",1.05,4932,"Non-cancer illness code, self-reported | Array 0__hypertension >= 0.61",0.1,0.13,1,0,0.0
Essential hypertension,C0085580,Essential Hypertension,"Essential Hypertension. Hypertension that occurs without known cause, or preexisting renal disease. Associated polymorphisms for a number of genes have been identified, including AGT, GNB3, and ECE1. OMIM: 145500",0,0.751,0.0,0.0,0.0,0.0016,0.3945,,0.0012,Essential hypertension,1.26,256,-3.30 <= Essential hypertension < -2.50,0.09,0.1,2,264,0.19
Average Diameter for VLDL Particles,C1301886,Diameter (qualifier value),Diameter (qualifier value). The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,0,0.421,0.0,0.0,0.0,0.0016,0.0004,,0.0,Average Diameter for VLDL Particles,1.11,1788,0.30 <= Average Diameter for VLDL Particles < 4.30,-0.02,0.02,2,138,0.77
(PSA) Time since last prostate specific antigen test,C0201544,Prostate specific antigen measurement,Prostate specific antigen measurement. The determination of the prostate specific antigen present in a sample.,0,0.66,0.0,0.0,0.0,0.0016,0.0042,,0.0,(PSA) Time since last prostate specific antigen test_1,1.17,580,(PSA) Time since last prostate specific antigen test_1 >= 0.50,-0.13,-0.13,2,338,4.69
Cholesterol in Small VLDL,,,,0,1.0,0.0,0.0,0.0,0.0016,0.3733,,0.0081,Cholesterol in Small VLDL,1.0,17364,-3.40 <= Cholesterol in Small VLDL < 3.60,0.18,0.18,2,80,0.28
(AF) atrial fibrillation genetic risk,C0004238,Atrial Fibrillation,"Atrial Fibrillation. Abnormal cardiac rhythm that is characterized by rapid, uncoordinated firing of electrical impulses in the upper chambers of the heart (HEART ATRIA). In such case, blood cannot be effectively pumped into the lower chambers of the heart (HEART VENTRICLES). It is caused by abnormal impulse generation.",1,0.658,0.0,1.0,0.2,0.0016,0.2758,,0.0028,(AF) atrial fibrillation genetic risk,1.21,285,-1.10 <= (AF) atrial fibrillation genetic risk < -1.00,-0.06,0.13,1,6,0.0
Oily fish intake Never,C0453017,Fatty fish,Fatty fish. ,0,0.532,0.0,0.0,0.0,0.0015,0.0001,,0.0,Oily fish intake_Never,1.11,2140,Oily fish intake_Never >= 0.50,0.09,0.09,2,0,0.0
Acetate,C0000975,acetate,"acetate. Salt or ester form of acetic acid. Acetate is the most common building block for biosynthesis, such as fatty acids.",0,0.788,0.0,0.0,0.0,0.0015,0.3347,,0.0001,Acetate,1.05,3390,-0.67 <= Acetate < -0.20,-0.04,-0.04,2,84,0.04
Other tests,C0022885,Laboratory Procedures,"Laboratory Procedures. Any procedure that involves testing or manipulating a sample of blood, urine, or other body substance in a laboratory setting.",1,0.613,0.0,1.0,0.5,0.0014,0.9164,,0.0,Other tests,1.0,16986,-0.19 <= Other tests < 0.06,0.1,0.12,1,125,0.03
Concentration of Large LDL Particles,C0549177,Large,"Large. Of considerable or relatively great size, extent, or capacity.",0,0.272,0.0,0.0,0.0,0.0014,0.4504,,0.004,Concentration of Large LDL Particles,0.99,17372,-3.30 <= Concentration of Large LDL Particles < 3.90,0.04,0.19,2,225,5.77
Concentration of Small HDL Particles,,,,0,1.0,0.0,0.0,0.0,0.0014,0.0102,,0.0,Concentration of Small HDL Particles,1.11,473,Concentration of Small HDL Particles < -2.30,0.07,0.12,2,80,0.28
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor None of the above",C0087086,Thrombus,Thrombus. ,0,0.184,0.0,0.0,0.0,0.0014,0.2419,,0.0015,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_None of the above",1.02,6022,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_None of the above < 0.50",-0.02,-0.02,2,196,0.08
Gastric ulcer,C0038358,Gastric ulcer,Gastric ulcer. Ulceration of the GASTRIC MUCOSA due to contact with GASTRIC JUICE. It is often associated with HELICOBACTER PYLORI infection or consumption of nonsteroidal anti-inflammatory drugs (NSAIDS).,0,0.588,0.0,0.0,0.0,0.0014,0.0008,,0.0,Gastric ulcer,0.99,17436,-4.40 <= Gastric ulcer < 0.12,0.22,0.22,2,30,0.04
(ISS) ischaemic stroke genetic risk,C0948008,Ischemic stroke,"Ischemic stroke. An acute episode of focal cerebral, spinal, or retinal dysfunction caused by infarction of brain tissue.",0,0.422,0.0,0.0,0.0,0.0014,0.1025,,0.0005,(ISS) ischaemic stroke genetic risk,1.05,5058,0.46 <= (ISS) ischaemic stroke genetic risk < 2.00,0.02,0.12,2,111,0.05
Number of self-reported cancers,,,,0,1.0,0.0,0.0,0.0,0.0014,0.0078,,0.0061,Number of self-reported cancers,1.09,1612,1.40 <= Number of self-reported cancers < 4.30,-0.03,-0.03,2,80,0.28
reflux,C0232483,Reflux,Reflux. An abnormal backward flow of a body fluid.,1,0.84,1.0,2.0,1.0,0.0014,0.0263,,0.0014,"Non-cancer illness code, self-reported | Array 2__reflux",1.21,222,"Non-cancer illness code, self-reported | Array 2__reflux >= 0.28",0.24,0.24,1,161,0.17
Mental health conditions ever diagnosed by a professional disorder ocd,,,,0,1.0,0.0,0.0,0.0,0.0013,0.0289,,0.0,Mental health conditions ever diagnosed by a professional__disorder ocd,1.0,17660,Mental health conditions ever diagnosed by a professional__disorder ocd < 0.09,0.1,0.13,2,80,0.28
Cholesterol Blood biochemistry,,,,0,1.0,0.0,0.0,0.0,0.0012,0.0086,,0.001,Cholesterol Blood biochemistry,1.06,3749,-2.30 <= Cholesterol Blood biochemistry < -0.75,0.29,0.34,2,80,0.28
Age asthma diagnosed infrequent,,,,0,1.0,0.0,0.0,0.0,0.0012,0.0069,,0.0,Age asthma diagnosed_infrequent_,1.12,908,Age asthma diagnosed_infrequent_ >= 0.50,0.03,0.03,2,80,0.28
Most recent bowel cancer screening,C0346627,Intestinal Cancer,"Intestinal Cancer. A primary or metastatic malignant neoplasm involving the small intestine, large intestine, or both. Representative examples are carcinomas, lymphomas, and sarcomas.",0,0.544,0.0,1.0,0.2,0.0012,0.0099,,0.0056,Most recent bowel cancer screening_None,1.04,6337,Most recent bowel cancer screening_None < 0.50,-0.0,-0.0,2,0,0.0
Job code at visit education,,,,0,1.0,0.0,0.0,0.0,0.0012,0.0,,0.0032,Job code at visit__education,1.01,16821,Job code at visit__education < 0.13,-0.08,-0.08,2,80,0.28
Job code at visit professionals,,,,0,1.0,0.0,0.0,0.0,0.0011,0.0012,,0.0061,Job code at visit__professionals,1.01,16310,Job code at visit__professionals < 0.22,-0.05,-0.05,2,80,0.28
Mental health conditions ever diagnosed by a professional compulsive disorder,,,,0,1.0,0.0,0.0,0.0,0.0011,0.0289,,0.0,Mental health conditions ever diagnosed by a professional__compulsive disorder,1.0,17660,Mental health conditions ever diagnosed by a professional__compulsive disorder < 0.09,0.08,0.08,2,80,0.28
Average total household income before tax Prefer not to answer,,,,0,1.0,0.0,0.0,0.0,0.001,0.097,,0.0,Average total household income before tax_Prefer not to answer,1.05,1955,Average total household income before tax_Prefer not to answer >= 0.50,-0.08,-0.08,2,80,0.28
(EOC) epithelial ovarian cancer genetic risk,C0677886,Epithelial ovarian cancer,Epithelial ovarian cancer. ,0,0.688,0.0,0.0,0.0,0.001,0.071,,0.0031,(EOC) epithelial ovarian cancer genetic risk,1.0,17436,(EOC) epithelial ovarian cancer genetic risk >= -2.20,0.08,0.11,2,0,0.0
Z92.1 - Personal history of long-term (current) use of anticoagulants,C0262926,Medical History,"Medical History. A record of a patient's background regarding health and the occurrence of disease events of the individual. In addition, personal medical history may be a variable in epidemiologic studies.",1,0.399,0.0,1.0,0.3,0.001,0.1069,,0.0023,Z92.1 - Personal history of long-term (current) use of anticoagulants,1.1,203,-6.00 <= Z92.1 - Personal history of long-term (current) use of anticoagulants < -0.20,0.04,0.04,1,0,0.0
Hemorrhoids,C0019112,Hemorrhoids,"Hemorrhoids. Swollen veins in the lower part of the RECTUM or ANUS. Hemorrhoids can be inside the anus (internal), under the skin around the anus (external), or protruding from inside to outside of the anus. People with hemorrhoids may or may not exhibit symptoms which include bleeding, itching, and pain.",0,0.878,0.0,0.0,0.0,0.001,0.1303,,0.0,Hemorrhoids,1.02,178,-5.50 <= Hemorrhoids < -2.70,0.03,0.03,2,285,0.87
"Z88.8 - Personal history of allergy to other drugs, medicaments and biological substances",C0262926,Medical History,"Medical History. A record of a patient's background regarding health and the occurrence of disease events of the individual. In addition, personal medical history may be a variable in epidemiologic studies.",1,0.293,0.0,1.0,0.2,0.0009,0.0817,,0.0,"Z88.8 - Personal history of allergy to other drugs, medicaments and biological substances",0.99,17411,"-6.20 <= Z88.8 - Personal history of allergy to other drugs, medicaments and biological substances < 0.58",-0.04,-0.04,1,0,0.0
Job code at visit office,,,,0,1.0,0.0,0.0,0.0,0.0008,0.0425,,0.0,Job code at visit__office,1.0,17174,Job code at visit__office < 0.19,-0.1,-0.1,2,80,0.28
Health satisfaction Very happy,C0018592,Happiness,Happiness. Highly pleasant emotion characterized by outward manifestations of gratification.,0,0.668,0.0,0.0,0.0,0.0008,0.0011,,0.0004,Health satisfaction_Very happy,1.01,16293,Health satisfaction_Very happy < 0.50,-0.06,-0.06,2,6,0.04
(PSA) Time since last prostate specific antigen test Less than a year ago,C0201544,Prostate specific antigen measurement,Prostate specific antigen measurement. The determination of the prostate specific antigen present in a sample.,0,0.587,0.0,0.0,0.0,0.0008,0.0032,,0.0048,(PSA) Time since last prostate specific antigen test_Less than a year ago,1.01,17149,(PSA) Time since last prostate specific antigen test_Less than a year ago < 0.50,-0.1,-0.1,2,338,4.69
Arthropathy NOS,C0022408,Arthropathy,Arthropathy. Diseases involving the JOINTS.,0,0.952,0.0,0.0,0.0,0.0008,0.0187,,0.0004,Arthropathy NOS,1.27,225,2.90 <= Arthropathy NOS < 3.70,0.21,0.3,2,16,0.01
"Medication for cholesterol, blood pressure or diabetes Medication Blood pressure medication",,,,0,1.0,0.0,0.0,0.0,0.0007,0.0017,,0.0,"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication",1.15,857,"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication >= 0.50",0.23,0.24,2,80,0.28
hernia,C0019270,Hernia,"Hernia. Protrusion of tissue, structure, or part of an organ through the bone, muscular tissue, or the membrane by which it is normally contained. Hernia may involve tissues such as the ABDOMINAL WALL or the respiratory DIAPHRAGM. Hernias may be internal, external, congenital, or acquired.",0,0.866,0.0,0.0,0.0,0.0007,0.0738,,0.0,"Non-cancer illness code, self-reported | Array 1__hernia",1.25,195,"Non-cancer illness code, self-reported | Array 1__hernia >= 0.28",0.32,0.32,2,128,0.09
reflux gord,,,,0,1.0,0.0,0.0,0.0,0.0007,0.0263,,0.0,"Non-cancer illness code, self-reported | Array 2__reflux gord",1.21,222,"Non-cancer illness code, self-reported | Array 2__reflux gord >= 0.14",0.28,0.28,2,80,0.28
medication product,,,,0,1.0,0.0,0.0,0.0,0.0007,0.073,,0.0021,Treatment/medication code | Array 0__product,1.0,17118,Treatment/medication code | Array 0__product < 0.15,0.06,0.06,2,80,0.28
tissue injuries,,,,0,1.0,0.0,0.0,0.0,0.0006,0.1129,,0.0,"Non-cancer illness code, self-reported | Array 2__tissue injuries",1.0,17657,"Non-cancer illness code, self-reported | Array 2__tissue injuries < 0.20",0.21,0.21,2,80,0.28
hiatus,,,,0,1.0,0.0,0.0,0.0,0.0006,0.0997,,0.0,"Non-cancer illness code, self-reported | Array 0__hiatus",1.0,17578,"Non-cancer illness code, self-reported | Array 0__hiatus < 0.29",0.04,0.04,2,80,0.28
Age asthma diagnosed,,,,0,1.0,0.0,0.0,0.0,0.0006,0.0137,,0.0,Age asthma diagnosed_1,1.0,17651,Age asthma diagnosed_1 < 0.50,0.07,0.1,2,80,0.28
"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed infrequent",C0149871,Deep Vein Thrombosis,"Deep Vein Thrombosis. A blood clot in a deep vein, predominantly in the lower extremity, but may include the pelvis or upper extremity.",0,0.606,0.0,0.0,0.0,0.0006,0.0249,,0.0,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_infrequent_",1.14,475,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_infrequent_ >= 0.50",0.06,0.06,2,31,0.03
Z92.2 - Personal history of long-term (current) use of other medicaments,C0262926,Medical History,"Medical History. A record of a patient's background regarding health and the occurrence of disease events of the individual. In addition, personal medical history may be a variable in epidemiologic studies.",1,0.431,0.0,1.0,0.3,0.0006,0.0839,,0.0013,Z92.2 - Personal history of long-term (current) use of other medicaments,1.13,248,1.40 <= Z92.2 - Personal history of long-term (current) use of other medicaments < 3.30,0.06,0.06,1,0,0.0
"Medication for cholesterol, blood pressure or diabetes Blood pressure medication",,,,0,1.0,0.0,0.0,0.0,0.0006,0.0017,,0.0074,"Medication for cholesterol, blood pressure or diabetes_Blood pressure medication",1.15,857,"Medication for cholesterol, blood pressure or diabetes_Blood pressure medication >= 0.50",0.24,0.25,2,80,0.28
allergic rhinitis,C2607914,Allergic rhinitis (disorder),"Allergic rhinitis (disorder). Inflammation of the nasal mucous membranes caused by an IgE-mediated response to external allergens. The inflammation may also involve the mucous membranes of the sinuses, eyes, middle ear, and pharynx. Symptoms include sneezing, nasal congestion, rhinorrhea, and itching. It may lead to fatigue, drowsiness, and malaise thus causing impairment of the quality of life.",0,0.871,0.0,0.0,0.0,0.0005,0.1039,,0.0041,"Non-cancer illness code, self-reported | Array 2__allergic rhinitis",1.0,17510,"Non-cancer illness code, self-reported | Array 2__allergic rhinitis < 0.22",-0.05,-0.05,2,312,156.0
heart,C0018787,Heart,"Heart. The hollow, muscular organ that maintains the circulation of the blood.",1,0.756,0.0,1.0,0.5,0.0005,0.0117,,0.0017,"Non-cancer illness code, self-reported | Array 3__heart",1.0,17638,"Non-cancer illness code, self-reported | Array 3__heart < 0.39",0.08,0.08,1,10,0.0
oesophageal,C1522619,Esophageal,Esophageal. Of or relating to the esophagus.,0,0.885,0.0,0.0,0.0,0.0005,0.0139,,0.0,"Non-cancer illness code, self-reported | Array 2__oesophageal",1.22,228,"Non-cancer illness code, self-reported | Array 2__oesophageal >= 0.14",0.15,0.15,3,194,4.51
hiatus hernia,C3489393,Hiatal Hernia,"Hiatal Hernia. STOMACH herniation located at or near the diaphragmatic opening for the ESOPHAGUS, the esophageal hiatus.",0,0.832,0.0,0.0,0.0,0.0005,0.0007,,0.0,"Non-cancer illness code, self-reported | Array 1__hiatus hernia",1.0,17522,"Non-cancer illness code, self-reported | Array 1__hiatus hernia < 0.29",0.14,0.14,2,0,0.0
Mental health conditions ever diagnosed by a professional post traumatic,,,,0,1.0,0.0,0.0,0.0,0.0004,0.0869,,0.0008,Mental health conditions ever diagnosed by a professional__post traumatic,1.0,17618,Mental health conditions ever diagnosed by a professional__post traumatic < 0.24,0.1,0.1,2,80,0.28
Job code at visit production works,,,,0,1.0,0.0,0.0,0.0,0.0004,0.031,,0.0,Job code at visit__production works,1.0,17502,Job code at visit__production works < 0.20,-0.07,-0.07,2,80,0.28
Excessive or frequent menstruation,C0442802,Excessive (qualifier value),Excessive (qualifier value). Beyond normal limits; unrestrained.,0,0.189,0.0,0.0,0.0,0.0004,0.0504,,0.0021,Excessive or frequent menstruation,1.0,17253,-0.96 <= Excessive or frequent menstruation < 2.00,0.02,0.02,99,121,inf
Job code at visit primary nursery,,,,0,1.0,0.0,0.0,0.0,0.0004,0.0436,,0.0,Job code at visit__primary nursery,1.0,17402,Job code at visit__primary nursery < 0.19,-0.14,-0.14,2,80,0.28
medication 5mg capsule,C0006935,capsule (pharmacologic),capsule (pharmacologic). Hard or soft soluble containers used for the oral administration of medicine.,0,0.225,0.0,0.0,0.0,0.0003,0.0109,,0.0,Treatment/medication code | Array 0__5mg capsule,1.0,17617,Treatment/medication code | Array 0__5mg capsule < 0.25,-0.09,-0.09,2,79,0.68
chronic bronchitis,C0008677,"Bronchitis, Chronic","Bronchitis, Chronic. A subcategory of CHRONIC OBSTRUCTIVE PULMONARY DISEASE. The disease is characterized by hypersecretion of mucus accompanied by a chronic (more than 3 months in 2 consecutive years) productive cough. Infectious agents are a major cause of chronic bronchitis.",0,0.849,0.0,0.0,0.0,0.0003,0.0004,,0.0015,"Non-cancer illness code, self-reported | Array 1__chronic bronchitis",1.0,17579,"Non-cancer illness code, self-reported | Array 1__chronic bronchitis < 0.23",0.25,0.29,2,118,0.22
oesophageal reflux,C0017168,Gastroesophageal reflux disease,"Gastroesophageal reflux disease. Retrograde flow of gastric juice (GASTRIC ACID) and/or duodenal contents (BILE ACIDS; PANCREATIC JUICE) into the distal ESOPHAGUS, commonly due to incompetence of the LOWER ESOPHAGEAL SPHINCTER.",1,0.76,0.0,1.0,0.5,0.0003,0.1573,,0.004,"Non-cancer illness code, self-reported | Array 1__oesophageal reflux",1.12,255,"Non-cancer illness code, self-reported | Array 1__oesophageal reflux >= 0.14",0.24,0.24,1,38,0.03
venous thrombosis,C0042487,Venous Thrombosis,Venous Thrombosis. The formation or presence of a blood clot (THROMBUS) within a vein.,0,0.943,0.0,0.0,0.0,0.0003,0.0037,,0.0017,"Non-cancer illness code, self-reported | Array 2__venous thrombosis",1.0,17654,"Non-cancer illness code, self-reported | Array 2__venous thrombosis < 0.19",0.04,0.18,2,10,0.01
medication lisinopril,,,,0,1.0,0.0,0.0,0.0,0.0003,0.0525,,0.0028,Treatment/medication code | Array 0__lisinopril,1.0,17601,Treatment/medication code | Array 0__lisinopril < 0.75,0.09,0.09,2,80,0.28
(United Kingdom) Year immigrated to UK,C0041700,United Kingdom,"United Kingdom. Country in northwestern Europe including Great Britain and the northern one-sixth of the island of Ireland, located between the North Sea and north Atlantic Ocean. The capital is London.",0,0.305,0.0,0.0,0.0,0.0003,0.1995,,0.0,(United Kingdom) Year immigrated to UK_1968,1.0,17650,(United Kingdom) Year immigrated to UK_1968 < 0.50,0.02,0.02,99,59,inf
myocardial,C0027061,Myocardium,"Myocardium. The muscle tissue of the HEART. It is composed of striated, involuntary muscle cells (MYOCYTES, CARDIAC) connected to form the contractile pump to generate blood flow.",0,0.842,0.0,0.0,0.0,0.0003,0.008,,0.0,"Non-cancer illness code, self-reported | Array 0__myocardial",1.16,553,"Non-cancer illness code, self-reported | Array 0__myocardial >= 0.19",0.02,0.02,2,237,0.07
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor Emphysema/chronic bronchitis|Asthma",C0087086,Thrombus,Thrombus. ,0,0.301,0.0,0.0,0.0,0.0003,0.0288,,0.0031,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma",1.0,17606,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema/chronic bronchitis|Asthma < 0.50",0.11,0.11,2,196,0.08
Mouth/teeth dental problems infrequent,C0576962,Tooth problem,Tooth problem. ,0,0.694,0.0,0.0,0.0,0.0003,0.0301,,0.0,Mouth/teeth dental problems_infrequent_,1.15,401,Mouth/teeth dental problems_infrequent_ >= 0.50,0.13,0.13,2,0,0.0
Job code at visit police,,,,0,1.0,0.0,0.0,0.0,0.0002,0.0093,,0.0017,Job code at visit__police,1.0,17633,Job code at visit__police < 0.24,-0.11,-0.11,2,80,0.28
Job code at visit transport distribution,C0005528,Biological Transport,Biological Transport. The movement of materials (including biochemical substances and drugs) through a biological system at the cellular level. The transport can be across cell membranes and epithelial layers. It also can occur within intracellular compartments and extracellular compartments.,0,0.215,0.0,0.0,0.0,0.0002,0.0288,,0.0049,Job code at visit__transport distribution,1.0,17651,Job code at visit__transport distribution < 0.28,-0.07,-0.07,3,199,66.33
diverticular disease,C4317009,Diverticular Diseases,Diverticular Diseases. Diseases of the DIVERTICULUM often due to infection and/or inflammation (DIVERTICULITIS).,0,0.866,0.0,0.0,0.0,0.0002,0.0,,0.0012,"Non-cancer illness code, self-reported | Array 1__diverticular disease",1.0,17615,"Non-cancer illness code, self-reported | Array 1__diverticular disease < 0.23",0.31,0.32,2,100,2.56
emphysema chronic,C1265792,Chronic emphysema,Chronic emphysema. ,0,0.982,0.0,0.0,0.0,0.0002,0.0004,,0.0,"Non-cancer illness code, self-reported | Array 1__emphysema chronic",1.0,17579,"Non-cancer illness code, self-reported | Array 1__emphysema chronic < 0.23",0.1,0.28,2,136,5.44
Job code at visit officers sergeant,,,,0,1.0,0.0,0.0,0.0,0.0002,0.0096,,0.003,Job code at visit__officers sergeant,1.0,17640,Job code at visit__officers sergeant < 0.24,-0.07,-0.07,2,80,0.28
venous,C0042449,Veins,Veins. The vessels carrying blood away from the CAPILLARY BEDS.,0,0.813,0.0,0.0,0.0,0.0002,0.0037,,0.0,"Non-cancer illness code, self-reported | Array 2__venous",1.0,17654,"Non-cancer illness code, self-reported | Array 2__venous < 0.19",-0.05,-0.05,2,40,0.02
ovarian,C0205065,Ovarian,Ovarian. ,1,0.993,0.0,1.0,0.5,0.0002,0.1444,,0.0005,"Non-cancer illness code, self-reported | Array 0__ovarian",1.0,17630,"Non-cancer illness code, self-reported | Array 0__ovarian < 0.22",0.16,0.16,1,132,0.08
hayfever,C0018621,Hay fever,Hay fever. Allergic rhinitis caused by outdoor allergens.,0,0.728,0.0,0.0,0.0,0.0002,0.1039,,0.0003,"Non-cancer illness code, self-reported | Array 2__hayfever",1.0,17510,"Non-cancer illness code, self-reported | Array 2__hayfever < 0.22",-0.13,-0.13,2,107,0.25
disease diverticulitis,,,,0,1.0,0.0,0.0,0.0,0.0002,0.0,,0.0,"Non-cancer illness code, self-reported | Array 1__disease diverticulitis",1.0,17615,"Non-cancer illness code, self-reported | Array 1__disease diverticulitis < 0.23",0.27,0.27,2,80,0.28
"Medication for cholesterol, blood pressure or diabetes Medication Cholesterol lowering medication|Blood pressure medication|Insulin",,,,0,1.0,0.0,0.0,0.0,0.0001,0.0943,,0.0044,"Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Blood pressure medication|Insulin",1.0,17600,"Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Blood pressure medication|Insulin < 0.50",0.16,0.16,2,80,0.28
ureter stone,C0041951,Ureter,Ureter. One of a pair of thick-walled tubes that transports urine from the KIDNEY PELVIS to the URINARY BLADDER.,0,0.572,0.0,0.0,0.0,0.0001,0.0088,,0.001,"Non-cancer illness code, self-reported | Array 1__ureter stone",1.0,17645,"Non-cancer illness code, self-reported | Array 1__ureter stone < 0.12",0.35,0.54,2,6,0.01
Mouth/teeth dental problems Prefer not to answer,C0576962,Tooth problem,Tooth problem. ,0,0.779,0.0,0.0,0.0,0.0001,0.0336,,0.0053,Mouth/teeth dental problems_Prefer not to answer,1.0,17631,Mouth/teeth dental problems_Prefer not to answer < 0.50,0.16,0.21,2,0,0.0
Mental health conditions ever diagnosed by a professional disorder ptsd,C0038436,Post-Traumatic Stress Disorder,Post-Traumatic Stress Disorder. A class of traumatic stress disorders with symptoms that last more than one month.,0,0.55,0.0,0.0,0.0,0.0001,0.0869,,0.0023,Mental health conditions ever diagnosed by a professional__disorder ptsd,1.0,17618,Mental health conditions ever diagnosed by a professional__disorder ptsd < 0.24,-0.02,-0.02,2,188,0.14
medication ventolin,,,,0,1.0,0.0,0.0,0.0,0.0001,0.0429,,0.0068,Treatment/medication code | Array 0__ventolin,1.0,17649,Treatment/medication code | Array 0__ventolin < 0.24,-0.02,-0.02,2,80,0.28
Job code at visit personnel,,,,0,1.0,0.0,0.0,0.0,0.0001,0.0337,,0.0,Job code at visit__personnel,1.0,17579,Job code at visit__personnel < 0.17,-0.06,-0.06,2,80,0.28
Job code at visit institution managers,C0018704,Health care facility,Health care facility. Institutions which provide medical or health-related services.,0,0.211,0.0,0.0,0.0,0.0001,0.0484,,0.0034,Job code at visit__institution managers,1.0,17642,Job code at visit__institution managers < 0.26,0.01,0.01,2,161,0.18
Malignant neoplasm of female breast,C0006826,Malignant Neoplasms,"Malignant Neoplasms. A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas, Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas.",3,0.328,0.0,1.0,0.3,0.0001,0.0939,,0.0,Malignant neoplasm of female breast,1.0,17246,-1.50 <= Malignant neoplasm of female breast < 3.10,0.02,0.02,1,158,0.01
Mental health conditions ever diagnosed by a professional disorder panic,C0030318,Panic,"Panic. A state of extreme acute, intense anxiety and unreasoning fear accompanied by disorganization of personality function.",0,0.665,0.0,0.0,0.0,0.0001,0.1795,,0.0068,Mental health conditions ever diagnosed by a professional__disorder panic,1.0,17662,Mental health conditions ever diagnosed by a professional__disorder panic < 0.22,-0.08,-0.08,2,102,0.63
ureter,C0041951,Ureter,Ureter. One of a pair of thick-walled tubes that transports urine from the KIDNEY PELVIS to the URINARY BLADDER.,0,0.766,0.0,0.0,0.0,0.0001,0.0088,,0.0028,"Non-cancer illness code, self-reported | Array 1__ureter",1.0,17645,"Non-cancer illness code, self-reported | Array 1__ureter < 0.12",0.19,0.24,2,6,0.01
diverticulitis,C0012813,Diverticulitis,Diverticulitis. Inflammation of a DIVERTICULUM or diverticula.,0,0.923,0.0,0.0,0.0,0.0001,0.0047,,0.004,"Non-cancer illness code, self-reported | Array 2__diverticulitis",1.0,17630,"Non-cancer illness code, self-reported | Array 2__diverticulitis < 0.23",0.32,0.32,2,0,0.0
