feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,Novel/Interesting?,Makes Sense?,COMMENTS
Age angina diagnosed_58,Age angina diagnosed_58,0.0,0.019,0.014,0.002,1,1.0,Age angina diagnosed_58 < 0.50,1135,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 3 anaphylactic reaction","Non-cancer illness code, self-reported | Array 3__anaphylactic reaction",0.0,0.0,0.024,0.001,1,1.0,"Non-cancer illness code, self-reported | Array 3__anaphylactic reaction < 0.19",33,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 gestational","Non-cancer illness code, self-reported | Array 1__gestational",0.0,0.085,0.004,0.0,2,1.0,"Non-cancer illness code, self-reported | Array 1__gestational < 0.19",3531,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 3 allergy","Non-cancer illness code, self-reported | Array 3__allergy",0.0,0.0,0.035,0.0,1,0.99,"Non-cancer illness code, self-reported | Array 3__allergy < 0.18",1214,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 asthma","Non-cancer illness code, self-reported | Array 2__asthma",0.0,0.17,0.008,0.0,1,1.0,"Non-cancer illness code, self-reported | Array 2__asthma < 0.50",655,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 essential","Non-cancer illness code, self-reported | Array 1__essential",0.0,0.165,0.008,0.0,1,1.0,"Non-cancer illness code, self-reported | Array 1__essential < 0.32",5953,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
Cholesterol in Large VLDL,Cholesterol in Large VLDL,0.0,0.02,-0.01,0.0,1,1.01,-3.70 <= Cholesterol in Large VLDL < 2.50,1096,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 tuberculosis","Non-cancer illness code, self-reported | Array 1__tuberculosis",0.0,0.123,0.009,0.003,2,1.0,"Non-cancer illness code, self-reported | Array 1__tuberculosis < 0.29",568,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 tuberculosis tb","Non-cancer illness code, self-reported | Array 1__tuberculosis tb",0.0,0.123,0.009,0.002,2,1.0,"Non-cancer illness code, self-reported | Array 1__tuberculosis tb < 0.29",568,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 anaphylactic reaction","Non-cancer illness code, self-reported | Array 1__anaphylactic reaction",0.0,0.0,0.021,0.002,2,1.0,"Non-cancer illness code, self-reported | Array 1__anaphylactic reaction < 0.18",53,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 3 anaemia","Non-cancer illness code, self-reported | Array 3__anaemia",0.0,0.0,0.036,0.0,2,0.99,"Non-cancer illness code, self-reported | Array 3__anaemia < 0.21",402,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 anaemia","Non-cancer illness code, self-reported | Array 2__anaemia",0.0,0.0,0.038,0.0,2,0.99,"Non-cancer illness code, self-reported | Array 2__anaemia < 0.21",452,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 anaemia","Non-cancer illness code, self-reported | Array 1__anaemia",0.0,0.0,0.023,0.0,2,1.0,"Non-cancer illness code, self-reported | Array 1__anaemia < 0.21",498,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 1 anaphylactic","Non-cancer illness code, self-reported | Array 1__anaphylactic",0.0,0.0,0.021,0.002,0,1.0,"Non-cancer illness code, self-reported | Array 1__anaphylactic < 0.18",21,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 3 gout","Non-cancer illness code, self-reported | Array 3__gout",0.0,0.003,0.018,0.001,0,1.0,"Non-cancer illness code, self-reported | Array 3__gout < 0.50",49,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 3 eczema","Non-cancer illness code, self-reported | Array 3__eczema",0.0,0.003,0.018,0.001,0,1.0,"Non-cancer illness code, self-reported | Array 3__eczema < 0.29",29,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 2 gall","Non-cancer illness code, self-reported | Array 2__gall",0.0,0.028,0.014,0.001,0,1.0,"Non-cancer illness code, self-reported | Array 2__gall < 0.22",51,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
"Non-cancer illness code, self-reported | Array 5 depression","Non-cancer illness code, self-reported | Array 5__depression",0.0,0.092,0.011,0.0,1,1.0,"Non-cancer illness code, self-reported | Array 5__depression < 0.34",763,(celiac AND disease) OR (Coeliac) OR (gluten AND allergy) OR (gluten AND enteropathy),0.0,,,
