name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,cui_nomenclature,feature_level_min_kg_hits,feature_level_sum_kg_hits,sim_score
Sleep - Overall average,0.00249,0.5912,0.009,0.008,1,0.0357,Sleep - Overall average,1.02,80971,89.88,-0.12 <= Sleep - Overall average < 2.60,Sleep - Overall average,Sleep - Overall average,0,0,0.0
Concentration of IDL Particles,0.00245,0.0,-0.033,-0.031,1,0.06038,Concentration of IDL Particles,1.43,2252,3.52,-3.80 <= Concentration of IDL Particles < -2.40,Concentration of IDL Particles,Concentration of IDL Particles,0,0,0.0
Overall health rating_Excellent,0.00244,0.0,-0.046,-0.046,1,0.0012,Overall health rating_Excellent,1.05,81543,93.35,Overall health rating_Excellent < 0.50,Overall health rating_Excellent,Overall health rating_Excellent,0,0,0.0
Cholesterol in IDL,0.00236,0.0,-0.038,-0.036,1,0.06787,Cholesterol in IDL,1.76,1026,1.98,-4.60 <= Cholesterol in IDL < -3.20,Cholesterol in IDL,Cholesterol in IDL,0,0,0.0
Alcohol intake frequency._Once or twice a week,0.00227,0.0,-0.025,-0.025,1,0.00033,Alcohol intake frequency._Once or twice a week,1.04,68558,78.14,Alcohol intake frequency._Once or twice a week < 0.50,Alcohol intake frequency._Once or twice a week,Alcohol intake frequency._Once or twice a week,0,0,0.0
Secondary malignancy of bone,0.00218,0.78476,-0.003,-0.003,1,0.00068,Secondary malignancy of bone,1.01,90685,99.84,-1.30 <= Secondary malignancy of bone < 0.29,Secondary malignancy of bone,Secondary malignancy of bone,0,0,0.0
Benign neoplasm of colon,0.00217,0.78023,0.003,0.002,1,0.0007,Benign neoplasm of colon,1.2,3282,4.29,-8.00 <= Benign neoplasm of colon < -0.15,Benign neoplasm of colon,Benign neoplasm of colon,0,0,0.0
Meat substitutes - vegetarian,0.00216,0.25495,0.004,0.004,1,7e-05,Meat substitutes - vegetarian,1.01,80042,87.96,-0.18 <= Meat substitutes - vegetarian < 3.10,Meat substitutes - vegetarian,Meat substitutes - vegetarian,0,0,0.0
Circulatory disease NEC,0.00215,0.03901,-0.002,-0.002,1,0.00072,Circulatory disease NEC,1.39,1979,3.01,-4.80 <= Circulatory disease NEC < -0.20,Circulatory disease NEC,Circulatory disease NEC,0,0,0.0
Average Diameter for LDL Particles,0.00214,0.0,-0.027,-0.025,1,0.00392,Average Diameter for LDL Particles,1.21,7036,9.26,-5.50 <= Average Diameter for LDL Particles < -0.75,Average Diameter for LDL Particles,Average Diameter for LDL Particles,0,0,0.0
Fluid intelligence score,0.00213,0.01085,-0.008,-0.007,1,0.00012,Fluid intelligence score,1.26,1102,1.52,-3.60 <= Fluid intelligence score < -2.80,Fluid intelligence score,Fluid intelligence score,0,0,0.0
Unspecified monoarthritis,0.00207,0.01051,-0.007,-0.007,1,0.00036,Unspecified monoarthritis,1.36,1483,2.21,Unspecified monoarthritis < -2.60,Unspecified monoarthritis,Unspecified monoarthritis,0,0,0.0
Average Diameter for VLDL Particles,0.00205,0.0,0.031,0.03,1,0.02848,Average Diameter for VLDL Particles,1.87,986,2.01,3.30 <= Average Diameter for VLDL Particles < 5.90,Average Diameter for VLDL Particles,Average Diameter for VLDL Particles,0,0,0.0
Cholesterol in Chylomicrons and Extremely Large VLDL,0.00203,0.0,0.028,0.026,1,0.06983,Cholesterol in Chylomicrons and Extremely Large VLDL,1.33,2792,4.06,2.00 <= Cholesterol in Chylomicrons and Extremely Large VLDL < 4.90,Cholesterol in Chylomicrons and Extremely Large VLDL,Cholesterol in Chylomicrons and Extremely Large VLDL,0,0,0.0
Cholesterol in Small VLDL,0.00197,0.00097,-0.012,-0.012,1,0.05443,Cholesterol in Small VLDL,1.0,81085,88.96,-3.70 <= Cholesterol in Small VLDL < 0.00,Cholesterol in Small VLDL,Cholesterol in Small VLDL,0,0,0.0
Other tests,0.00196,0.01152,-0.012,-0.012,1,0.00035,Other tests,1.01,88080,97.05,-2.40 <= Other tests < 0.10,Other tests,Other tests,0,0,0.0
Obesity,0.00189,0.00325,-0.005,-0.005,1,0.00072,Obesity,1.47,2064,3.31,-7.80 <= Obesity < -0.26,Obesity,Obesity,0,0,0.0
Gastritis and duodenitis,0.00189,0.20507,0.008,0.008,1,0.00035,Gastritis and duodenitis,1.27,2228,3.1,0.49 <= Gastritis and duodenitis < 4.60,Gastritis and duodenitis,Gastritis and duodenitis,0,0,0.0
Z87.3 - Personal history of diseases of the musculoskeletal system and connective tissue,0.00189,0.00972,0.01,0.01,1,0.00027,Z87.3 - Personal history of diseases of the musculoskeletal system and connective tissue,1.0,90836,98.77,-0.03 <= Z87.3 - Personal history of diseases of the musculoskeletal system and connective tissue < 1.10,Z87.3 - Personal history of diseases of the musculoskeletal system and connective tissue,Z87.3 - Personal history of diseases of the musculoskeletal system and connective tissue,0,0,0.0
Concentration of Medium LDL Particles,0.00187,0.0,-0.017,-0.016,1,0.05938,Concentration of Medium LDL Particles,1.38,1141,1.73,-3.70 <= Concentration of Medium LDL Particles < -2.80,Concentration of Medium LDL Particles,Concentration of Medium LDL Particles,0,0,0.0
Pneumococcal pneumonia,0.00186,0.10033,-0.004,-0.004,1,0.00023,Pneumococcal pneumonia,1.0,90494,98.44,-4.70 <= Pneumococcal pneumonia < 5.00,Pneumococcal pneumonia,Pneumococcal pneumonia,0,0,0.0
Cancer of bronchus; lung,0.00182,0.426,0.005,0.005,1,0.00039,Cancer of bronchus; lung,1.0,90707,99.5,-0.09 <= Cancer of bronchus; lung < 0.51,Cancer of bronchus; lung,Cancer of bronchus; lung,0,0,0.0
M79.66 - Pain in limb (Lower leg),0.00178,0.13881,0.006,0.006,1,0.00021,M79.66 - Pain in limb (Lower leg),1.0,90618,98.5,-0.49 <= M79.66 - Pain in limb (Lower leg) < 0.39,M79.66 - Pain in limb (Lower leg),M79.66 - Pain in limb (Lower leg),0,0,0.0
Alcoholism,0.00177,0.10932,0.006,0.006,1,0.00057,Alcoholism,0.99,88470,95.28,-0.25 <= Alcoholism < 0.09,Alcoholism,Alcoholism,0,0,0.0
Concentration of Large HDL Particles,0.00176,0.0,-0.025,-0.024,1,0.06788,Concentration of Large HDL Particles,1.47,954,1.53,-3.10 <= Concentration of Large HDL Particles < -2.30,Concentration of Large HDL Particles,Concentration of Large HDL Particles,0,0,0.0
avMSE,0.00173,0.73519,-0.001,-0.001,1,0.04113,avMSE,1.12,6630,8.11,-4.00 <= avMSE < -0.09,avMSE,avMSE,0,0,0.0
M54.56 - Low back pain (Lumbar region),0.00173,0.00043,0.012,0.012,1,0.00019,M54.56 - Low back pain (Lumbar region),1.0,91086,99.17,-17.00 <= M54.56 - Low back pain (Lumbar region) < 0.75,M54.56 - Low back pain (Lumbar region),M54.56 - Low back pain (Lumbar region),0,0,0.0
Enthesopathy,0.00167,0.29691,0.006,0.006,1,0.00027,Enthesopathy,0.99,89803,97.4,-3.50 <= Enthesopathy < 0.08,Enthesopathy,Enthesopathy,0,0,0.0
Concentration of VLDL Particles,0.00165,0.00736,0.004,0.003,1,0.05242,Concentration of VLDL Particles,1.22,962,1.28,3.60 <= Concentration of VLDL Particles < 6.20,Concentration of VLDL Particles,Concentration of VLDL Particles,0,0,0.0
Septicemia,0.00163,0.00443,-0.008,-0.008,1,0.00015,Septicemia,1.0,90187,98.46,-5.10 <= Septicemia < 0.10,Septicemia,Septicemia,0,0,0.0
Noninfectious gastroenteritis,0.00156,0.66903,0.003,0.003,1,0.0002,Noninfectious gastroenteritis,1.23,1370,1.83,-11.00 <= Noninfectious gastroenteritis < -1.60,Noninfectious gastroenteritis,Noninfectious gastroenteritis,0,0,0.0
"Osteoarthrosis, localized, primary",0.00155,0.2175,-0.005,-0.005,1,0.00056,"Osteoarthrosis, localized, primary",1.45,943,1.5,"-11.00 <= Osteoarthrosis, localized, primary < -2.90","Osteoarthrosis, localized, primary","Osteoarthrosis, localized, primary",0,0,0.0
Shortness of breath,0.00148,0.49737,0.007,0.007,1,0.00032,Shortness of breath,1.19,946,1.23,2.10 <= Shortness of breath < 7.40,Shortness of breath,Shortness of breath,0,0,0.0
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication",0.00141,3e-05,0.014,0.014,1,9e-05,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication",1.23,3018,4.04,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Blood pressure medication",0,0,0.0
Umbilical hernia,0.00141,0.00736,-0.005,-0.005,1,0.00025,Umbilical hernia,1.0,89838,97.61,-1.20 <= Umbilical hernia < 0.56,Umbilical hernia,Umbilical hernia,0,0,0.0
Y83.8 - Other surgical procedures,0.00141,0.03986,0.008,0.008,1,0.00022,Y83.8 - Other surgical procedures,0.99,89841,97.42,-2.00 <= Y83.8 - Other surgical procedures < 0.00,Y83.8 - Other surgical procedures,Y83.8 - Other surgical procedures,0,0,0.0
Z87.4 - Personal history of diseases of the genito-urinary system,0.00134,0.76272,0.003,0.003,1,0.00021,Z87.4 - Personal history of diseases of the genito-urinary system,0.99,89488,97.12,-2.00 <= Z87.4 - Personal history of diseases of the genito-urinary system < 0.02,Z87.4 - Personal history of diseases of the genito-urinary system,Z87.4 - Personal history of diseases of the genito-urinary system,0,0,0.0
Cellulitis and abscess of arm/hand,0.00127,0.16357,0.006,0.006,1,0.00055,Cellulitis and abscess of arm/hand,1.7,969,1.8,2.30 <= Cellulitis and abscess of arm/hand < 7.60,Cellulitis and abscess of arm/hand,Cellulitis and abscess of arm/hand,0,0,0.0
Job code at visit professionals,0.00127,0.0,-0.022,-0.022,1,0.00037,Job code at visit__professionals,1.02,85437,94.93,Job code at visit__professionals < 0.11,Job code at visit professionals,Job code at visit professionals,0,0,0.0
Peripheral enthesopathies and allied syndromes,0.00127,0.18829,0.006,0.006,1,0.00038,Peripheral enthesopathies and allied syndromes,0.99,89222,96.79,-2.10 <= Peripheral enthesopathies and allied syndromes < 0.90,Peripheral enthesopathies and allied syndromes,Peripheral enthesopathies and allied syndromes,0,0,0.0
Chronic airway obstruction,0.00126,0.78351,0.003,0.003,1,0.00039,Chronic airway obstruction,1.2,1483,1.94,Chronic airway obstruction >= 2.40,Chronic airway obstruction,Chronic airway obstruction,0,0,0.0
W19.9 - Unspecified place,0.00124,0.4607,-0.002,-0.002,1,0.00013,W19.9 - Unspecified place,1.0,90852,99.01,-7.00 <= W19.9 - Unspecified place < 0.04,W19.9 - Unspecified place,W19.9 - Unspecified place,0,0,0.0
Hearing loss,0.00124,0.4131,0.006,0.006,1,0.00027,Hearing loss,1.0,90120,97.99,-0.47 <= Hearing loss < 0.54,Hearing loss,Hearing loss,0,0,0.0
Tobacco use disorder,0.0012,0.21959,-0.004,-0.004,1,0.00029,Tobacco use disorder,1.25,1364,1.87,-6.60 <= Tobacco use disorder < -2.00,Tobacco use disorder,Tobacco use disorder,0,0,0.0
Complications of surgical and medical procedures,0.00117,0.01821,0.006,0.006,1,0.00023,Complications of surgical and medical procedures,1.0,90414,98.3,-0.19 <= Complications of surgical and medical procedures < 0.23,Complications of surgical and medical procedures,Complications of surgical and medical procedures,0,0,0.0
Alcohol intake frequency._One to three times a month,0.00116,0.0,-0.028,-0.028,1,0.00042,Alcohol intake frequency._One to three times a month,1.03,82577,92.66,Alcohol intake frequency._One to three times a month < 0.50,Alcohol intake frequency._One to three times a month,Alcohol intake frequency._One to three times a month,0,0,0.0
Overall health rating_Good,0.00107,0.0,-0.048,-0.048,1,0.00115,Overall health rating_Good,1.15,43190,54.33,Overall health rating_Good < 0.50,Overall health rating_Good,Overall health rating_Good,0,0,0.0
Pleurisy; pleural effusion,0.00105,0.20298,0.0,0.0,1,0.00018,Pleurisy; pleural effusion,1.05,1461,1.67,Pleurisy; pleural effusion >= 1.10,Pleurisy; pleural effusion,Pleurisy; pleural effusion,0,0,0.0
Concentration of Small HDL Particles,0.00105,0.0,0.01,0.01,1,0.05416,Concentration of Small HDL Particles,1.44,1117,1.76,2.10 <= Concentration of Small HDL Particles < 2.70,Concentration of Small HDL Particles,Concentration of Small HDL Particles,0,0,0.0
M47.82 - Other spondylosis (Cervical region),0.00103,0.10022,-0.005,-0.005,1,0.00023,M47.82 - Other spondylosis (Cervical region),1.0,90852,98.83,-0.73 <= M47.82 - Other spondylosis (Cervical region) < 0.34,M47.82 - Other spondylosis (Cervical region),M47.82 - Other spondylosis (Cervical region),0,0,0.0
Concentration of HDL Particles,0.00103,0.11155,0.002,0.002,1,0.0387,Concentration of HDL Particles,1.21,2381,3.16,Concentration of HDL Particles < -2.30,Concentration of HDL Particles,Concentration of HDL Particles,0,0,0.0
"Non-cancer illness code, self-reported | Array 6 gout",0.00103,0.0,0.058,0.058,1,0.00088,"Non-cancer illness code, self-reported | Array 6__gout",0.99,91508,99.39,"Non-cancer illness code, self-reported | Array 6__gout < 0.50","Non-cancer illness code, self-reported | Array 6 gout","Non-cancer illness code, self-reported | Array 6 gout",0,0,0.0
M79.86 - Other specified soft tissue disorders (Lower leg),0.00102,0.24132,0.001,0.001,1,0.00027,M79.86 - Other specified soft tissue disorders (Lower leg),1.0,90430,98.33,-0.62 <= M79.86 - Other specified soft tissue disorders (Lower leg) < 1.40,M79.86 - Other specified soft tissue disorders (Lower leg),M79.86 - Other specified soft tissue disorders (Lower leg),0,0,0.0
"M19.99 - Arthrosis, unspecified (Site unspecified)",0.00102,0.75686,0.004,0.004,1,0.0003,"M19.99 - Arthrosis, unspecified (Site unspecified)",0.99,89932,97.29,"-0.86 <= M19.99 - Arthrosis, unspecified (Site unspecified) < 0.02","M19.99 - Arthrosis, unspecified (Site unspecified)","M19.99 - Arthrosis, unspecified (Site unspecified)",0,0,0.0
"Non-cancer illness code, self-reported | Array 1 osteoarthritis",0.001,0.00049,0.012,0.012,1,6e-05,"Non-cancer illness code, self-reported | Array 1__osteoarthritis",1.2,2704,3.54,"Non-cancer illness code, self-reported | Array 1__osteoarthritis >= 0.50","Non-cancer illness code, self-reported | Array 1 osteoarthritis","Non-cancer illness code, self-reported | Array 1 osteoarthritis",0,0,0.0
Cholesterol in Medium VLDL,0.00099,0.0,-0.029,-0.027,1,0.06072,Cholesterol in Medium VLDL,1.64,1417,2.54,Cholesterol in Medium VLDL < -2.90,Cholesterol in Medium VLDL,Cholesterol in Medium VLDL,0,0,0.0
Treatment/medication code | Array 0 arcoxia,0.00095,0.0,0.016,0.016,1,0.0001,Treatment/medication code | Array 0__arcoxia,1.0,91515,99.78,Treatment/medication code | Array 0__arcoxia < 0.24,Treatment/medication code | Array 0 arcoxia,Treatment/medication code | Array 0 arcoxia,0,0,0.0
Treatment/medication code | Array 0 alfacalcidol,0.00095,0.0,0.038,0.038,1,0.00045,Treatment/medication code | Array 0__alfacalcidol,1.0,91465,99.44,Treatment/medication code | Array 0__alfacalcidol < 0.50,Treatment/medication code | Array 0 alfacalcidol,Treatment/medication code | Array 0 alfacalcidol,0,0,0.0
Other and unspecified disc disorder,0.00094,0.11008,0.006,0.006,1,0.00026,Other and unspecified disc disorder,1.0,90789,98.9,-7.00 <= Other and unspecified disc disorder < 3.60,Other and unspecified disc disorder,Other and unspecified disc disorder,0,0,0.0
Age high blood pressure diagnosed_23,0.00092,0.0,0.017,0.017,1,0.0001,Age high blood pressure diagnosed_23,1.0,91528,99.8,Age high blood pressure diagnosed_23 < 0.50,Age high blood pressure diagnosed_23,Age high blood pressure diagnosed_23,0,0,0.0
Z96.6 - Presence of orthopaedic joint implants,0.00087,0.00055,-0.007,-0.007,1,0.0003,Z96.6 - Presence of orthopaedic joint implants,1.33,1458,2.12,-6.30 <= Z96.6 - Presence of orthopaedic joint implants < -0.35,Z96.6 - Presence of orthopaedic joint implants,Z96.6 - Presence of orthopaedic joint implants,0,0,0.0
Osteoarthritis; localized,0.00083,0.01798,-0.004,-0.004,1,0.0002,Osteoarthritis; localized,1.12,947,1.16,-5.50 <= Osteoarthritis; localized < -0.13,Osteoarthritis; localized,Osteoarthritis; localized,0,0,0.0
Cholesterol in Large LDL,0.00081,0.0,-0.027,-0.025,1,0.05718,Cholesterol in Large LDL,1.33,3998,5.79,-4.40 <= Cholesterol in Large LDL < -1.80,Cholesterol in Large LDL,Cholesterol in Large LDL,0,0,0.0
Treatment/medication code | Array 0 capsule,0.00077,0.0,-0.014,-0.014,1,0.00068,Treatment/medication code | Array 0__capsule,1.01,88303,97.26,Treatment/medication code | Array 0__capsule < 0.24,Treatment/medication code | Array 0 capsule,Treatment/medication code | Array 0 capsule,0,0,0.0
Overall health rating_Fair,0.00074,0.0,0.05,0.05,1,0.00121,Overall health rating_Fair,1.24,25623,34.72,Overall health rating_Fair >= 0.50,Overall health rating_Fair,Overall health rating_Fair,0,0,0.0
"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication",0.00073,0.0,0.085,0.085,1,0.00321,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication",1.58,14743,25.45,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication","Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication",0,0,0.0
"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication",0.00071,0.0,0.055,0.055,1,0.00135,"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication",1.49,9276,15.1,"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication","Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication",0,0,0.0
"Non-cancer illness code, self-reported | Array 0 attack myocardial",0.00071,0.0,0.044,0.044,1,0.00084,"Non-cancer illness code, self-reported | Array 0__attack myocardial",1.57,4617,7.92,"Non-cancer illness code, self-reported | Array 0__attack myocardial >= 0.19","Non-cancer illness code, self-reported | Array 0 attack myocardial","Non-cancer illness code, self-reported | Array 0 attack myocardial",0,0,0.0
Concentration of Small LDL Particles,0.0007,0.0,-0.017,-0.016,1,0.04859,Concentration of Small LDL Particles,1.0,80534,87.97,-2.80 <= Concentration of Small LDL Particles < 0.19,Concentration of Small LDL Particles,Concentration of Small LDL Particles,0,0,0.0
Ulcerative colitis,0.00068,0.17928,-0.005,-0.005,1,0.00025,Ulcerative colitis,1.0,91152,99.36,Ulcerative colitis >= -0.18,Ulcerative colitis,Ulcerative colitis,0,0,0.0
"Medication for cholesterol, blood pressure or diabetes Medication_None of the above",0.00067,0.0,-0.072,-0.072,1,0.00266,"Medication for cholesterol, blood pressure or diabetes Medication_None of the above",1.18,53208,68.74,"Medication for cholesterol, blood pressure or diabetes Medication_None of the above < 0.50","Medication for cholesterol, blood pressure or diabetes Medication_None of the above","Medication for cholesterol, blood pressure or diabetes Medication_None of the above",0,0,0.0
Epistaxis or throat hemorrhage,0.00067,0.00241,-0.005,-0.005,1,0.00038,Epistaxis or throat hemorrhage,0.99,90943,98.68,-0.65 <= Epistaxis or throat hemorrhage < 8.90,Epistaxis or throat hemorrhage,Epistaxis or throat hemorrhage,0,0,0.0
Bacterial infection NOS,0.00067,0.17369,-0.0,-0.0,1,0.00041,Bacterial infection NOS,1.32,1113,1.6,0.04 <= Bacterial infection NOS < 7.50,Bacterial infection NOS,Bacterial infection NOS,0,0,0.0
Treatment/medication code | Array 0 ibuprofen,0.00066,0.0,-0.026,-0.026,1,0.00042,Treatment/medication code | Array 0__ibuprofen,1.02,87653,97.28,Treatment/medication code | Array 0__ibuprofen < 0.57,Treatment/medication code | Array 0 ibuprofen,Treatment/medication code | Array 0 ibuprofen,0,0,0.0
Concentration of Very Small VLDL Particles,0.00065,0.00096,-0.01,-0.01,1,0.06596,Concentration of Very Small VLDL Particles,1.12,7399,9.05,-3.90 <= Concentration of Very Small VLDL Particles < -0.95,Concentration of Very Small VLDL Particles,Concentration of Very Small VLDL Particles,0,0,0.0
Mental health conditions ever diagnosed by a professional anxiety,0.00064,0.0,-0.014,-0.014,1,0.00139,Mental health conditions ever diagnosed by a professional__anxiety,1.01,88684,97.61,Mental health conditions ever diagnosed by a professional__anxiety < 0.22,Mental health conditions ever diagnosed by a professional anxiety,Mental health conditions ever diagnosed by a professional anxiety,0,0,0.0
Job code at visit production maintenance,0.00064,0.0254,0.007,0.007,1,3e-05,Job code at visit__production maintenance,1.0,90780,98.91,Job code at visit__production maintenance < 0.18,Job code at visit production maintenance,Job code at visit production maintenance,0,0,0.0
"Major dietary changes in the last 5 years_Yes, because of illness",0.00064,0.0,0.054,0.054,1,0.00133,"Major dietary changes in the last 5 years_Yes, because of illness",1.37,14262,21.41,"Major dietary changes in the last 5 years_Yes, because of illness >= 0.50","Major dietary changes in the last 5 years_Yes, because of illness","Major dietary changes in the last 5 years_Yes, because of illness",0,0,0.0
Average Diameter for HDL Particles,0.00062,0.0,-0.021,-0.02,1,0.02997,Average Diameter for HDL Particles,1.15,7281,9.12,-3.00 <= Average Diameter for HDL Particles < -0.96,Average Diameter for HDL Particles,Average Diameter for HDL Particles,0,0,0.0
Congenital anomalies of great vessels,0.00061,0.16974,0.005,0.005,1,0.00024,Congenital anomalies of great vessels,1.0,90650,98.57,-2.30 <= Congenital anomalies of great vessels < 0.41,Congenital anomalies of great vessels,Congenital anomalies of great vessels,0,0,0.0
Job code at visit officers,0.00061,0.01663,-0.009,-0.009,1,0.00014,Job code at visit__officers,1.01,88472,97.08,Job code at visit__officers < 0.09,Job code at visit officers,Job code at visit officers,0,0,0.0
"Non-cancer illness code, self-reported | Array 2 embolism",0.0006,0.0,0.026,0.026,1,0.00026,"Non-cancer illness code, self-reported | Array 2__embolism",1.0,91326,99.29,"Non-cancer illness code, self-reported | Array 2__embolism < 0.23","Non-cancer illness code, self-reported | Array 2 embolism","Non-cancer illness code, self-reported | Array 2 embolism",0,0,0.0
Syncope and collapse,0.00059,0.02641,-0.003,-0.003,1,0.00028,Syncope and collapse,1.37,988,1.47,-5.90 <= Syncope and collapse < -0.17,Syncope and collapse,Syncope and collapse,0,0,0.0
"Non-cancer illness code, self-reported | Array 1 diabetes",0.00058,0.0,0.022,0.022,1,0.00025,"Non-cancer illness code, self-reported | Array 1__diabetes",1.33,3899,5.66,"Non-cancer illness code, self-reported | Array 1__diabetes >= 0.43","Non-cancer illness code, self-reported | Array 1 diabetes","Non-cancer illness code, self-reported | Array 1 diabetes",0,0,0.0
Myocardial infarction,0.00058,0.01037,-0.004,-0.004,1,0.00086,Myocardial infarction,1.24,1129,1.53,-4.10 <= Myocardial infarction < -0.88,Myocardial infarction,Myocardial infarction,0,0,0.0
Job code at visit police officers,0.00056,0.0436,-0.007,-0.007,1,4e-05,Job code at visit__police officers,1.0,91152,99.66,Job code at visit__police officers < 0.22,Job code at visit police officers,Job code at visit police officers,0,0,0.0
Treatment/medication code | Array 0 5mg,0.00056,0.18563,0.006,0.006,1,0.00024,Treatment/medication code | Array 0__5mg,1.0,90804,98.97,Treatment/medication code | Array 0__5mg < 0.30,Treatment/medication code | Array 0 5mg,Treatment/medication code | Array 0 5mg,0,0,0.0
Dental caries,0.00055,0.06559,-0.004,-0.004,1,0.00017,Dental caries,1.0,90780,98.73,-1.90 <= Dental caries < 3.40,Dental caries,Dental caries,0,0,0.0
Home area population density - urban or rural_Scotland - Accessible Rural,0.00055,0.00028,-0.012,-0.012,1,9e-05,Home area population density - urban or rural_Scotland - Accessible Rural,1.0,91322,99.9,Home area population density - urban or rural_Scotland - Accessible Rural < 0.50,Home area population density - urban or rural_Scotland - Accessible Rural,Home area population density - urban or rural_Scotland - Accessible Rural,0,0,0.0
"Non-cancer illness code, self-reported | Array 1 renal",0.00054,0.0,0.044,0.043,1,0.00068,"Non-cancer illness code, self-reported | Array 1__renal",0.99,91368,99.12,"Non-cancer illness code, self-reported | Array 1__renal < 0.16","Non-cancer illness code, self-reported | Array 1 renal","Non-cancer illness code, self-reported | Array 1 renal",0,0,0.0
Job code at visit chartered,0.00054,0.06838,-0.006,-0.006,1,2e-05,Job code at visit__chartered,1.0,90183,98.69,Job code at visit__chartered < 0.14,Job code at visit chartered,Job code at visit chartered,0,0,0.0
Alcohol-related disorders,0.00054,0.00488,0.009,0.009,1,0.00074,Alcohol-related disorders,0.99,89420,96.4,-0.04 <= Alcohol-related disorders < 0.44,Alcohol-related disorders,Alcohol-related disorders,0,0,0.0
"Non-cancer illness code, self-reported | Array 0 asthma",0.0005,0.0,-0.016,-0.016,1,0.00014,"Non-cancer illness code, self-reported | Array 0__asthma",1.01,86259,95.34,"Non-cancer illness code, self-reported | Array 0__asthma < 0.50","Non-cancer illness code, self-reported | Array 0 asthma","Non-cancer illness code, self-reported | Array 0 asthma",0,0,0.0
Complications of transplants and reattached limbs,0.00049,0.1044,-0.002,-0.002,1,0.00019,Complications of transplants and reattached limbs,0.99,89350,97.0,-1.40 <= Complications of transplants and reattached limbs < 0.39,Complications of transplants and reattached limbs,Complications of transplants and reattached limbs,0,0,0.0
"Non-cancer illness code, self-reported | Array 3 kidney",0.00049,0.0,0.029,0.029,1,0.0004,"Non-cancer illness code, self-reported | Array 3__kidney",0.99,91272,99.14,"Non-cancer illness code, self-reported | Array 3__kidney < 0.11","Non-cancer illness code, self-reported | Array 3 kidney","Non-cancer illness code, self-reported | Array 3 kidney",0,0,0.0
"Non-cancer illness code, self-reported | Array 0 infarction",0.00049,0.0,0.044,0.044,1,0.00084,"Non-cancer illness code, self-reported | Array 0__infarction",1.57,4618,7.92,"Non-cancer illness code, self-reported | Array 0__infarction >= 0.19","Non-cancer illness code, self-reported | Array 0 infarction","Non-cancer illness code, self-reported | Array 0 infarction",0,0,0.0
Vascular/heart problems diagnosed by doctor_Angina,0.00049,0.07803,-0.006,-0.006,1,2e-05,Vascular/heart problems diagnosed by doctor_Angina,1.0,90076,98.57,Vascular/heart problems diagnosed by doctor_Angina < 0.50,Vascular/heart problems diagnosed by doctor_Angina,Vascular/heart problems diagnosed by doctor_Angina,0,0,0.0
Y83.6 - Removal of other organ (partial) (total),0.00048,0.06936,-0.006,-0.006,1,0.00019,Y83.6 - Removal of other organ (partial) (total),1.0,90691,98.89,-6.50 <= Y83.6 - Removal of other organ (partial) (total) < 3.20,Y83.6 - Removal of other organ (partial) (total),Y83.6 - Removal of other organ (partial) (total),0,0,0.0
"Other diseases of respiratory system, NEC",0.00047,0.0058,-0.006,-0.006,1,0.00029,"Other diseases of respiratory system, NEC",1.01,1693,1.87,"Other diseases of respiratory system, NEC >= 2.10","Other diseases of respiratory system, NEC","Other diseases of respiratory system, NEC",0,0,0.0
Treatment/medication code | Array 0 5mg capsule,0.00047,3e-05,0.014,0.014,1,9e-05,Treatment/medication code | Array 0__5mg capsule,1.0,91198,99.3,Treatment/medication code | Array 0__5mg capsule < 0.41,Treatment/medication code | Array 0 5mg capsule,Treatment/medication code | Array 0 5mg capsule,0,0,0.0
