feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,Novel/Interesting?,Makes Sense?,COMMENTS
"Non-cancer illness code, self-reported | Array 1 emphysema chronic","Non-cancer illness code, self-reported | Array 1__emphysema chronic",0.001,0.075,-0.016,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 1__emphysema chronic < 0.23",48,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Mouth/teeth dental problems_Mouth ulcers|Painful gums,Mouth/teeth dental problems_Mouth ulcers|Painful gums,0.001,0.137,0.013,0.0,0,1.0,Mouth/teeth dental problems_Mouth ulcers|Painful gums < 0.50,1418,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Ethnic background_British,Ethnic background_British,0.001,0.021,-0.021,0.0,0,1.19,Ethnic background_British < 0.50,4672,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Cholesterol in Medium VLDL,Cholesterol in Medium VLDL,0.001,0.004,-0.027,0.0,0,1.26,-2.20 <= Cholesterol in Medium VLDL < -0.67,412,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 3 reflux","Non-cancer illness code, self-reported | Array 3__reflux",0.0,0.045,-0.018,0.006,0,1.01,"Non-cancer illness code, self-reported | Array 3__reflux < 0.28",131,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Time spend outdoors in summer_12,Time spend outdoors in summer_12,0.0,0.071,0.016,0.003,0,1.0,Time spend outdoors in summer_12 < 0.50,33,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 3 migraine","Non-cancer illness code, self-reported | Array 3__migraine",0.0,0.115,0.014,0.002,0,1.0,"Non-cancer illness code, self-reported | Array 3__migraine < 0.50",68,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 3 gall","Non-cancer illness code, self-reported | Array 3__gall",0.0,0.034,0.014,0.002,0,1.0,"Non-cancer illness code, self-reported | Array 3__gall < 0.22",36,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 2 type","Non-cancer illness code, self-reported | Array 2__type",0.0,0.0,0.047,0.003,3,0.99,"Non-cancer illness code, self-reported | Array 2__type < 0.31",16638,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 5 problem","Non-cancer illness code, self-reported | Array 5__problem",0.0,0.144,0.013,0.0,1,1.0,"Non-cancer illness code, self-reported | Array 5__problem < 0.50",2390,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 4 syndrome","Non-cancer illness code, self-reported | Array 4__syndrome",0.0,0.009,0.025,0.0,1,1.0,"Non-cancer illness code, self-reported | Array 4__syndrome < 0.21",3317,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 3 disc","Non-cancer illness code, self-reported | Array 3__disc",0.0,0.009,0.024,0.0,1,1.0,"Non-cancer illness code, self-reported | Array 3__disc < 0.33",283,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Age angina diagnosed_59,Age angina diagnosed_59,0.0,0.191,0.012,0.0,1,1.0,Age angina diagnosed_59 < 0.50,1147,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Age angina diagnosed_infrequent_,Age angina diagnosed_infrequent_,0.0,0.018,0.021,0.0,0,1.35,Age angina diagnosed_infrequent_ >= 0.50,38,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 4 irritable","Non-cancer illness code, self-reported | Array 4__irritable",0.0,0.019,0.021,0.001,0,1.0,"Non-cancer illness code, self-reported | Array 4__irritable < 0.23",42,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 3 prolapsed","Non-cancer illness code, self-reported | Array 3__prolapsed",0.0,0.015,0.022,0.001,0,1.0,"Non-cancer illness code, self-reported | Array 3__prolapsed < 0.17",39,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
Home area population density - urban or rural_Scotland - Accessible Rural,Home area population density - urban or rural_Scotland - Accessible Rural,0.0,0.04,-0.018,0.001,0,1.0,Home area population density - urban or rural_Scotland - Accessible Rural < 0.50,300,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 6 high cholesterol","Non-cancer illness code, self-reported | Array 6__high cholesterol",0.0,0.022,0.021,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 6__high cholesterol < 0.29",261,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 4 kidney","Non-cancer illness code, self-reported | Array 4__kidney",0.0,0.022,0.02,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 4__kidney < 0.39",1786,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 3 irritable","Non-cancer illness code, self-reported | Array 3__irritable",0.0,0.169,0.012,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 3__irritable < 0.23",48,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 1 stroke","Non-cancer illness code, self-reported | Array 1__stroke",0.0,0.032,0.019,0.0,0,1.0,"Non-cancer illness code, self-reported | Array 1__stroke < 0.50",1181,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 4 disorder","Non-cancer illness code, self-reported | Array 4__disorder",0.0,0.094,0.014,0.0,2,1.0,"Non-cancer illness code, self-reported | Array 4__disorder < 0.86",17964,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 3 disease","Non-cancer illness code, self-reported | Array 3__disease",0.0,0.014,0.022,0.001,4,0.99,"Non-cancer illness code, self-reported | Array 3__disease < 0.20",23875,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
"Non-cancer illness code, self-reported | Array 2 diabetes","Non-cancer illness code, self-reported | Array 2__diabetes",0.0,0.0,0.041,0.0,6,1.63,"Non-cancer illness code, self-reported | Array 2__diabetes >= 0.73",3407,(Retinal Vein Occlusion) OR (retinal artery occlusion) OR (CRVO),0.0,,,
