feature_name,raw_name,feature_importance,p_val,corr,MutualInfoTarget,Co-occurrence Count,F.Split-Lift (y==1),F.Split-Feature Split,Query Count,Target,sim_score,shortest_path_length,simple_path_length,Novel/Interesting?,Makes Sense?,COMMENTS
Osteoarthritis localized,Osteoarthritis; localized,0,0.002,-0.007,0,0,1.3,-6.60 <= Osteoarthritis; localized < -0.57,7372,(Cholelithiasis) OR (Gallbladder disease),0.621,2,100,,,
"Never eat eggs, dairy, wheat, sugar Wheat products|Sugar or foods/drinks containing sugar","Never eat eggs, dairy, wheat, sugar_Wheat products|Sugar or foods/drinks containing sugar",0,0.046,0.005,0,0,1.19,"Never eat eggs, dairy, wheat, sugar_Wheat products|Sugar or foods/drinks containing sugar >= 0.50",5672,(Cholelithiasis) OR (Gallbladder disease),0.394,99,2,,,
"Never eat eggs, dairy, wheat, sugar Wheat products","Never eat eggs, dairy, wheat, sugar_Wheat products",0,0,0.009,0,0,1.23,"Never eat eggs, dairy, wheat, sugar_Wheat products >= 0.50",5672,(Cholelithiasis) OR (Gallbladder disease),0.425,99,2,,,
"Never eat eggs, dairy, wheat, sugar Prefer not to answer","Never eat eggs, dairy, wheat, sugar_Prefer not to answer",0,0.021,0.005,0,0,1.27,"Never eat eggs, dairy, wheat, sugar_Prefer not to answer >= 0.50",5672,(Cholelithiasis) OR (Gallbladder disease),0.416,99,2,,,
"Never eat eggs, dairy, wheat, sugar Eggs or foods containing eggs|Sugar or foods/drinks containing sugar","Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs|Sugar or foods/drinks containing sugar",0,0.004,0.007,0,0,1.27,"Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs|Sugar or foods/drinks containing sugar >= 0.50",5672,(Cholelithiasis) OR (Gallbladder disease),0.348,99,2,,,
"Never eat eggs, dairy, wheat, sugar Eggs or foods containing eggs","Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs",0,0.036,0.005,0,0,1.13,"Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs >= 0.50",5672,(Cholelithiasis) OR (Gallbladder disease),0.389,99,2,,,
"Never eat eggs, dairy, wheat, sugar Dairy products|Sugar or foods/drinks containing sugar","Never eat eggs, dairy, wheat, sugar_Dairy products|Sugar or foods/drinks containing sugar",0,0.015,0.006,0,0,1.26,"Never eat eggs, dairy, wheat, sugar_Dairy products|Sugar or foods/drinks containing sugar >= 0.50",5672,(Cholelithiasis) OR (Gallbladder disease),0.359,99,2,,,
Myopia diagnosis moderate low myopia,Myopia diagnosis_moderate/low myopia,0,0.002,-0.007,0,0,1.01,Myopia diagnosis_moderate/low myopia < 0.50,644,(Cholelithiasis) OR (Gallbladder disease),0.668,2,0,,,
Mouth/teeth dental problems Mouth ulcers|Painful gums,Mouth/teeth dental problems_Mouth ulcers|Painful gums,0,0.014,0.006,0,0,1.32,Mouth/teeth dental problems_Mouth ulcers|Painful gums >= 0.50,3796,(Cholelithiasis) OR (Gallbladder disease),0.279,2,292,,,
Mouth teeth dental problems Prefer not to answer,Mouth/teeth dental problems_Prefer not to answer,0,0.018,0.005,0,0,1.29,Mouth/teeth dental problems_Prefer not to answer >= 0.50,105,(Cholelithiasis) OR (Gallbladder disease),0.779,2,0,,,
Mineral and other dietary supplements Fish oil (including cod liver oil)|Glucosamine|Selenium,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Selenium,0,0.004,-0.007,0,0,1,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Selenium < 0.50,1113,(Cholelithiasis) OR (Gallbladder disease),0.403,99,100,,,
Mineral and other dietary supplements Fish oil (including cod liver oil)|Glucosamine|Calcium|Selenium,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Calcium|Selenium,0,0.019,-0.005,0,0,1,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Calcium|Selenium < 0.50,1113,(Cholelithiasis) OR (Gallbladder disease),0.461,99,100,,,
Mineral and other dietary supplements Fish oil (including cod liver oil)|Glucosamine|Calcium,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Calcium,0,0.01,-0.006,0,0,1,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Calcium < 0.50,1113,(Cholelithiasis) OR (Gallbladder disease),0.467,99,100,,,
Mineral and other dietary supplements Fish oil (including cod liver oil)|Glucosamine,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine,0,0,-0.011,0,0,1.01,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine < 0.50,1113,(Cholelithiasis) OR (Gallbladder disease),0.454,99,100,,,
M25.55 - Pain in joint (Pelvic region and thigh),M25.55 - Pain in joint (Pelvic region and thigh),0,0.09,0.007,0,0,1.99,6.30 <= M25.55 - Pain in joint (Pelvic region and thigh) < 9.00,50,(Cholelithiasis) OR (Gallbladder disease),0.247,99,26,,,
Job code at visit solicitors lawyers,Job code at visit__solicitors lawyers,0,0,-0.009,0,0,1,Job code at visit__solicitors lawyers < 0.19,3605,(Cholelithiasis) OR (Gallbladder disease),0.619,2,0,,,
Job code at visit lawyers judges,Job code at visit__lawyers judges,0,0,-0.009,0,0,1,Job code at visit__lawyers judges < 0.19,3605,(Cholelithiasis) OR (Gallbladder disease),0.671,2,0,,,
Job code at visit information communication,Job code at visit__information communication,0,0.002,-0.007,0,0,1,Job code at visit__information communication < 0.20,8209,(Cholelithiasis) OR (Gallbladder disease),0.384,99,123,,,
Job code at visit electrical fitters,Job code at visit__electrical fitters,0,0.038,-0.005,0,0,1,Job code at visit__electrical fitters < 0.23,23,(Cholelithiasis) OR (Gallbladder disease),0.776,99,18,,,
Inflammatory and toxic neuropathy,Inflammatory and toxic neuropathy,0,0,0.011,0,0,1.72,8.20 <= Inflammatory and toxic neuropathy < 16.00,576,(Cholelithiasis) OR (Gallbladder disease),0.42,99,3,,,
Illnesses of siblings 4 Heart disease,Illnesses of siblings_4_Heart disease,0,0.002,0.007,0,0,1.45,Illnesses of siblings_4_Heart disease >= 0.50,35,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Illnesses of siblings 2 Heart disease,Illnesses of siblings_2_Heart disease,0,0.016,0.006,0,0,1.13,Illnesses of siblings_2_Heart disease >= 0.50,49,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Illnesses of siblings 2 Do not know group 1,Illnesses of siblings_2_Do not know (group 1),0,0.04,0.005,0,0,1.65,Illnesses of siblings_2_Do not know (group 1) >= 0.50,1196,(Cholelithiasis) OR (Gallbladder disease),0.387,2,11,,,
Illnesses of mother 2 Heart disease,Illnesses of mother_2_Heart disease,0,0.001,0.008,0,0,1.12,Illnesses of mother_2_Heart disease >= 0.50,165,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Illnesses of mother 1 Heart disease,Illnesses of mother_1_Heart disease,0,0.007,0.006,0,0,1.07,Illnesses of mother_1_Heart disease >= 0.50,184,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Home area population density  urban or rural Scotland  Other Urban Area,Home area population density - urban or rural_Scotland - Other Urban Area,0,0.045,0.005,0,0,1.14,Home area population density - urban or rural_Scotland - Other Urban Area >= 0.50,361,(Cholelithiasis) OR (Gallbladder disease),0.276,2,170,,,
Home area population density  urban or rural Scotland  Accessible Small Town,Home area population density - urban or rural_Scotland - Accessible Small Town,0,0.005,0.006,0,0,1.38,Home area population density - urban or rural_Scotland - Accessible Small Town >= 0.50,284,(Cholelithiasis) OR (Gallbladder disease),0.234,2,170,,,
Health satisfaction Extremely happy,Health satisfaction_Extremely happy,0,0.068,-0.004,0,0,1,Health satisfaction_Extremely happy < 0.50,36,(Cholelithiasis) OR (Gallbladder disease),0.68,2,37,,,
Frequency of urination and polyuria,Frequency of urination and polyuria,0,0.021,0.003,0,0,2.01,12.00 <= Frequency of urination and polyuria < 13.00,336,(Cholelithiasis) OR (Gallbladder disease),0.667,2,29,,,
Fluid intelligence score,Fluid intelligence score,0,0,-0.008,0,0,1.02,#NAME?,884,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Falls in the last year More than one fall,Falls in the last year_More than one fall,0,0,0.02,0,0,1.21,Falls in the last year_More than one fall >= 0.50,43,(Cholelithiasis) OR (Gallbladder disease),0.653,2,205,,,
Eye problems/disorders Injury or trauma resulting in loss of vision,Eye problems/disorders_Injury or trauma resulting in loss of vision,0,0.006,0.006,0,0,1.29,Eye problems/disorders_Injury or trauma resulting in loss of vision >= 0.50,33,(Cholelithiasis) OR (Gallbladder disease),0.405,99,11,,,
Eye problems disorders Diabetes related eye disease Macular degeneration,Eye problems/disorders_Diabetes related eye disease|Macular degeneration,0,0.036,0.005,0,0,1,Eye problems/disorders_Diabetes related eye disease|Macular degeneration < 0.50,69,(Cholelithiasis) OR (Gallbladder disease),0.349,2,181,,,
Eye problems disorders Diabetes related eye disease Glaucoma Cataract,Eye problems/disorders_Diabetes related eye disease|Glaucoma|Cataract,0,0.01,0.006,0,0,1,Eye problems/disorders_Diabetes related eye disease|Glaucoma|Cataract < 0.50,40,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Eye problems disorders Diabetes related eye disease Glaucoma,Eye problems/disorders_Diabetes related eye disease|Glaucoma,0,0.032,0.005,0,0,1.66,Eye problems/disorders_Diabetes related eye disease|Glaucoma >= 0.50,70,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
DVT blood clot in leg Age deep vein thrombosis diagnosed,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_55",0,0,0.008,0,0,1.95,"(DVT, blood clot in leg) Age deep-vein thrombosis diagnosed_55 >= 0.50",312,(Cholelithiasis) OR (Gallbladder disease),0.665,2,107,,,
Complications of cardiac vascular device implant and graft,"Complications of cardiac/vascular device, implant, and graft",0,0.151,0.008,0,0,2.2,#NAME?,2202,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Cholesterol in Medium HDL,Cholesterol in Medium HDL,0,0,-0.017,0,0,1.97,#NAME?,1306,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Bipolar disorder status Bipolar Type I Mania,Bipolar disorder status_Bipolar Type I (Mania),0,0.004,0.007,0,0,1.5,Bipolar disorder status_Bipolar Type I (Mania) >= 0.50,195,(Cholelithiasis) OR (Gallbladder disease),0.583,2,0,,,
Bipolar and major depression status Probable Recurrent major depression severe,Bipolar and major depression status_Probable Recurrent major depression (severe),0,0.009,0.006,0,0,1.13,Bipolar and major depression status_Probable Recurrent major depression (severe) >= 0.50,41,(Cholelithiasis) OR (Gallbladder disease),0.445,3,131,,,
Average total household income before tax,Average total household income before tax_Do not know,0,0,0.014,0,0,1.2,Average total household income before tax_Do not know >= 0.50,35,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Alcohol drinker status Previous,Alcohol drinker status_Previous,0,0,0.02,0,0,1.31,Alcohol drinker status_Previous >= 0.50,29,(Cholelithiasis) OR (Gallbladder disease),0.691,99,68,,,
Age other serious eye condition diagnosed,Age other serious eye condition diagnosed_55,0,0.045,0.005,0,0,1,Age other serious eye condition diagnosed_55 < 0.50,137,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
(AD) alzheimer's disease genetic risk,(AD) alzheimer's disease genetic risk,0.011,0.001,-0.006,0,1,1.24,(AD) alzheimer's disease genetic risk < -2.00,1089,(Cholelithiasis) OR (Gallbladder disease),0.664,2,32,,,
Health satisfaction Very happy,Health satisfaction_Very happy,0.002,0,-0.023,0.001,1,1.02,Health satisfaction_Very happy < 0.50,2423,(Cholelithiasis) OR (Gallbladder disease),0.668,2,37,,,
Secondary malignancy of respiratory organs,Secondary malignancy of respiratory organs,0.002,0.304,0.002,0,1,1,#NAME?,504,(Cholelithiasis) OR (Gallbladder disease),0.607,2,0,,,
SLE systemic lupus erythematosus genetic risk,(SLE) systemic lupus erythematosus genetic risk,0.002,0.097,0.003,0,1,1.56,#NAME?,3042,(Cholelithiasis) OR (Gallbladder disease),0.212,2,142,,,
Apolipoprotein B to Apolipoprotein A1 ratio,Apolipoprotein B to Apolipoprotein A1 ratio,0.002,0,0.016,0,1,1.27,Apolipoprotein B to Apolipoprotein A1 ratio >= 3.10,1576,(Cholelithiasis) OR (Gallbladder disease),0.641,2,0,,,
PD parkinson s disease genetic risk,(PD) parkinson's disease genetic risk,0.001,0.032,-0.005,0.001,1,1.69,0.03 <= (PD) parkinson's disease genetic risk < 0.03,4635,(Cholelithiasis) OR (Gallbladder disease),0.581,2,152,,,
Fracture resulting from simple fall,Fracture resulting from simple fall_None,0,0.067,-0.004,0.029,1,1.04,Fracture resulting from simple fall_None < 0.50,322,(Cholelithiasis) OR (Gallbladder disease),0.585,2,198,,,
Illnesses of siblings,Illnesses of siblings_2_None,0,0,-0.015,0.028,1,1.14,Illnesses of siblings_2_None < 0.50,2826,(Cholelithiasis) OR (Gallbladder disease),0.444,2,11,,,
Doctor diagnosed COPD chronic obstructive pulmonary disease,Doctor diagnosed COPD (chronic obstructive pulmonary disease)_No,0,0,-0.016,0.004,1,1.03,Doctor diagnosed COPD (chronic obstructive pulmonary disease)_No < 0.50,2612,(Cholelithiasis) OR (Gallbladder disease),0.341,2,55,,,
Mineral and other dietary supplements Fish oil (including cod liver oil),Mineral and other dietary supplements_Fish oil (including cod liver oil),0,0,-0.008,0.003,1,1.01,Mineral and other dietary supplements_Fish oil (including cod liver oil) < 0.50,1192,(Cholelithiasis) OR (Gallbladder disease),0.536,2,20,,,
medication chondroitin,Treatment/medication code | Array 0__chondroitin,0,0.014,-0.006,0.002,1,1,Treatment/medication code | Array 0__chondroitin < 0.31,5869,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Neuroticism score,Neuroticism score,0,0,0.02,0.002,1,1.17,Neuroticism score >= 1.80,3825,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication multivitamin mineral,Treatment/medication code | Array 0__multivitamin mineral,0,0.017,-0.005,0.001,1,1,Treatment/medication code | Array 0__multivitamin mineral < 0.22,403,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Qualifications A levels AS levels or equivalent Other professional qualifications eg nursing teaching,"Qualifications_A levels/AS levels or equivalent|Other professional qualifications eg: nursing, teaching",0,0.048,-0.005,0.001,1,1,"Qualifications_A levels/AS levels or equivalent|Other professional qualifications eg: nursing, teaching < 0.50",4418,(Cholelithiasis) OR (Gallbladder disease),0.357,3,317,,,
"M81.99 - Osteoporosis, unspecified (Site unspecified)","M81.99 - Osteoporosis, unspecified (Site unspecified)",0,0,0.009,0.001,1,2.2,"7.80 <= M81.99 - Osteoporosis, unspecified (Site unspecified) < 10.00",26,(Cholelithiasis) OR (Gallbladder disease),0.251,2,0,,,
Illnesses of siblings 1 Do not know group 2,Illnesses of siblings_1_Do not know (group 2),0,0.001,0.007,0.001,1,1.09,Illnesses of siblings_1_Do not know (group 2) >= 0.50,1301,(Cholelithiasis) OR (Gallbladder disease),0.408,2,11,,,
anxiety panic,"Non-cancer illness code, self-reported | Array 3__anxiety panic",0,0.005,0.006,0,1,1.45,"Non-cancer illness code, self-reported | Array 3__anxiety panic >= 0.22",11534,(Cholelithiasis) OR (Gallbladder disease),0.821,2,76,,,
Skin colour Very fair,Skin colour_Very fair,0,0.001,0.008,0,1,1.08,Skin colour_Very fair >= 0.50,493,(Cholelithiasis) OR (Gallbladder disease),0.673,2,16,,,
Qualifications A levels AS levels or equivalent O levels GCSEs or equivalent Other professional qualifications eg nursing teaching,"Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",0,0.004,-0.007,0,1,1,"Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching < 0.50",4418,(Cholelithiasis) OR (Gallbladder disease),0.319,3,317,,,
Opiates and related narcotics causing adverse effects in therapeutic use,Opiates and related narcotics causing adverse effects in therapeutic use,0,0.009,0.008,0,1,1.85,6.20 <= Opiates and related narcotics causing adverse effects in therapeutic use < 14.00,3679,(Cholelithiasis) OR (Gallbladder disease),0.326,2,0,,,
Mental health conditions ever diagnosed by a professional social phobia,Mental health conditions ever diagnosed by a professional__social phobia,0,0.027,0.006,0,1,1.53,0.16 <= Mental health conditions ever diagnosed by a professional__social phobia < 0.22,6492,(Cholelithiasis) OR (Gallbladder disease),0.723,2,124,,,
Mental health conditions ever diagnosed by a professional group mania,Mental health conditions ever diagnosed by a professional__group mania,0,0.018,-0.005,0,1,1,Mental health conditions ever diagnosed by a professional__group mania < 0.22,7638,(Cholelithiasis) OR (Gallbladder disease),0.604,99,78,,,
Job code at visit quantity surveyors,Job code at visit__quantity surveyors,0,0.034,-0.004,0,1,1,Job code at visit__quantity surveyors < 0.19,1443,(Cholelithiasis) OR (Gallbladder disease),0.596,2,11,,,
Job code at visit judges coroners,Job code at visit__judges coroners,0,0,-0.009,0,1,1,Job code at visit__judges coroners < 0.19,4861,(Cholelithiasis) OR (Gallbladder disease),0.755,2,14,,,
Inflammation of eyelids,Inflammation of eyelids,0,0.044,0.004,0,1,1.07,Inflammation of eyelids >= 1.90,3081,(Cholelithiasis) OR (Gallbladder disease),0.584,2,1,,,
Eye problems disorders Other serious eye condition,Eye problems/disorders_Other serious eye condition,0,0.014,0.006,0,1,1.14,Eye problems/disorders_Other serious eye condition >= 0.50,87,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Eye problems disorders Diabetes related eye disease,Eye problems/disorders_Diabetes related eye disease,0,0.013,0.006,0,1,1.22,Eye problems/disorders_Diabetes related eye disease >= 0.50,247,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Age emphysema chronic bronchitis diagnosed,Age emphysema/chronic bronchitis diagnosed_15,0,0,0.01,0,1,1,Age emphysema/chronic bronchitis diagnosed_15 < 0.50,413,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Sleep - Overall average,Sleep - Overall average,0.014,0.003,0.015,0,2,1.39,1.50 <= Sleep - Overall average < 4.80,23468,(Cholelithiasis) OR (Gallbladder disease),0.542,2,0,,,
Myopia diagnosis,Myopia diagnosis_None,0.007,0,0.012,0.032,2,1.02,Myopia diagnosis_None >= 0.50,20990,(Cholelithiasis) OR (Gallbladder disease),0.661,2,0,,,
MS multiple sclerosis genetic risk,(MS) multiple sclerosis genetic risk,0.003,0.942,0.001,0,2,1.18,#NAME?,3879,(Cholelithiasis) OR (Gallbladder disease),0.234,99,70,,,
gord gastric,"Non-cancer illness code, self-reported | Array 2__gord gastric",0.001,0,0.014,0,2,1.4,"Non-cancer illness code, self-reported | Array 2__gord gastric >= 0.14",293,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Precordial pain,Precordial pain,0.001,0.002,0.01,0,2,2.08,Precordial pain >= 11.00,1050,(Cholelithiasis) OR (Gallbladder disease),0.762,2,177,,,
Microalbumin in urine,Microalbumin in urine,0.001,0.043,-0.004,0,2,1.15,0.00 <= Microalbumin in urine < 10.00,935,(Cholelithiasis) OR (Gallbladder disease),0.856,2,184,,,
BC breast cancer genetic risk,(BC) breast cancer genetic risk,0.001,0.053,0.004,0,2,1.01,(BC) breast cancer genetic risk >= -0.46,2583,(Cholelithiasis) OR (Gallbladder disease),0.212,99,163,,,
Falls in the last year No falls,Falls in the last year_No falls,0,0,-0.016,0.033,2,1.09,Falls in the last year_No falls < 0.50,904,(Cholelithiasis) OR (Gallbladder disease),0.385,2,205,,,
Mouth/teeth dental problems None of the above,Mouth/teeth dental problems_None of the above,0,0,-0.027,0.03,2,1.1,Mouth/teeth dental problems_None of the above < 0.50,14506,(Cholelithiasis) OR (Gallbladder disease),0.791,2,0,,,
hayfever allergic,"Non-cancer illness code, self-reported | Array 0__hayfever allergic",0,0.004,-0.007,0.001,2,1,"Non-cancer illness code, self-reported | Array 0__hayfever allergic < 0.22",15343,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Mouth/teeth dental problems Mouth ulcers|Painful gums|Toothache|Dentures,Mouth/teeth dental problems_Mouth ulcers|Painful gums|Toothache|Dentures,0,0.009,0.006,0.001,2,1,Mouth/teeth dental problems_Mouth ulcers|Painful gums|Toothache|Dentures < 0.50,14506,(Cholelithiasis) OR (Gallbladder disease),0.715,2,0,,,
vaginal,"Non-cancer illness code, self-reported | Array 2__vaginal",0,0.016,0.006,0,2,1.46,"Non-cancer illness code, self-reported | Array 2__vaginal >= 0.17",4801,(Cholelithiasis) OR (Gallbladder disease),0.625,99,7,,,
spondylosis,"Non-cancer illness code, self-reported | Array 4__spondylosis",0,0.025,0.005,0,2,1.57,"Non-cancer illness code, self-reported | Array 4__spondylosis >= 0.29",12450,(Cholelithiasis) OR (Gallbladder disease),0.852,2,194,,,
panic attacks,"Non-cancer illness code, self-reported | Array 3__panic attacks",0,0.005,0.006,0,2,1.45,"Non-cancer illness code, self-reported | Array 3__panic attacks >= 0.22",14874,(Cholelithiasis) OR (Gallbladder disease),0.815,2,0,,,
osteoarthritis,"Non-cancer illness code, self-reported | Array 4__osteoarthritis",0,0.003,0.007,0,2,1.26,"Non-cancer illness code, self-reported | Array 4__osteoarthritis >= 0.50",3491,(Cholelithiasis) OR (Gallbladder disease),0.576,99,132,,,
medication ranitidine,Treatment/medication code | Array 0__ranitidine,0,0.047,0.005,0,2,1.33,Treatment/medication code | Array 0__ranitidine >= 0.50,2402,(Cholelithiasis) OR (Gallbladder disease),0.875,2,2,,,
medication multivitamin,Treatment/medication code | Array 0__multivitamin,0,0.017,-0.005,0,2,1,Treatment/medication code | Array 0__multivitamin < 0.22,1977,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication cod liver,Treatment/medication code | Array 0__cod liver,0,0.004,-0.007,0,2,1,Treatment/medication code | Array 0__cod liver < 0.37,262,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
medication cod,Treatment/medication code | Array 0__cod,0,0.004,-0.007,0,2,1,Treatment/medication code | Array 0__cod < 0.37,2249,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
iron,"Non-cancer illness code, self-reported | Array 6__iron",0,0.004,0.007,0,2,1,"Non-cancer illness code, self-reported | Array 6__iron < 0.23",7246,(Cholelithiasis) OR (Gallbladder disease),0.851,99,0,,,
heart,"Non-cancer illness code, self-reported | Array 0__heart",0,0,0.014,0,2,1.27,"0.18 <= Non-cancer illness code, self-reported | Array 0__heart < 0.38",178,(Cholelithiasis) OR (Gallbladder disease),0.715,99,0,,,
hayfever,"Non-cancer illness code, self-reported | Array 0__hayfever",0,0.004,-0.007,0,2,1,"Non-cancer illness code, self-reported | Array 0__hayfever < 0.22",15465,(Cholelithiasis) OR (Gallbladder disease),0.728,2,62,,,
cervical spondylosis,"Non-cancer illness code, self-reported | Array 4__cervical spondylosis",0,0.025,0.005,0,2,1.57,"Non-cancer illness code, self-reported | Array 4__cervical spondylosis >= 0.29",12450,(Cholelithiasis) OR (Gallbladder disease),0.878,2,316,,,
"Panic attack caused by medical condition, medication, drugs or alcohol","Panic attack caused by medical condition, medication, drugs or alcohol_Do not know",0,0.031,0.005,0,2,1.26,"Panic attack caused by medical condition, medication, drugs or alcohol_Do not know >= 0.50",14874,(Cholelithiasis) OR (Gallbladder disease),0.63,2,0,,,
Mouth/teeth dental problems infrequent,Mouth/teeth dental problems_infrequent_,0,0.043,-0.005,0,2,1,Mouth/teeth dental problems_infrequent_ < 0.50,14506,(Cholelithiasis) OR (Gallbladder disease),0.694,2,0,,,
Mouth/teeth dental problems Painful gums|Toothache,Mouth/teeth dental problems_Painful gums|Toothache,0,0,0.009,0,2,1.72,Mouth/teeth dental problems_Painful gums|Toothache >= 0.50,14506,(Cholelithiasis) OR (Gallbladder disease),0.73,2,0,,,
Mouth/teeth dental problems Painful gums|Bleeding gums|Loose teeth|Dentures,Mouth/teeth dental problems_Painful gums|Bleeding gums|Loose teeth|Dentures,0,0.004,0.007,0,2,1,Mouth/teeth dental problems_Painful gums|Bleeding gums|Loose teeth|Dentures < 0.50,14506,(Cholelithiasis) OR (Gallbladder disease),0.668,2,0,,,
Mouth/teeth dental problems Mouth ulcers|Painful gums|Bleeding gums|Loose teeth,Mouth/teeth dental problems_Mouth ulcers|Painful gums|Bleeding gums|Loose teeth,0,0.015,0.006,0,2,1,Mouth/teeth dental problems_Mouth ulcers|Painful gums|Bleeding gums|Loose teeth < 0.50,14506,(Cholelithiasis) OR (Gallbladder disease),0.642,2,0,,,
Mouth/teeth dental problems Bleeding gums|Dentures,Mouth/teeth dental problems_Bleeding gums|Dentures,0,0,0.008,0,2,1.29,Mouth/teeth dental problems_Bleeding gums|Dentures >= 0.50,14506,(Cholelithiasis) OR (Gallbladder disease),0.625,2,0,,,
Mineral and other dietary supplements Iron,Mineral and other dietary supplements_Iron,0,0.001,0.008,0,2,1.24,Mineral and other dietary supplements_Iron >= 0.50,262,(Cholelithiasis) OR (Gallbladder disease),0.301,2,46,,,
Job code at visit nursing auxiliaries,Job code at visit__nursing auxiliaries,0,0.048,0.005,0,2,1.2,Job code at visit__nursing auxiliaries >= 0.24,9598,(Cholelithiasis) OR (Gallbladder disease),0.684,2,0,,,
Job code at visit construction trades,Job code at visit__construction trades,0,0,-0.008,0,2,1,Job code at visit__construction trades < 0.27,11797,(Cholelithiasis) OR (Gallbladder disease),0.573,99,69,,,
General pain for 3 months infrequent,General pain for 3+ months_infrequent_,0,0.044,0.005,0,2,1,All values,142,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
Ethnic background Pakistani,Ethnic background_Pakistani,0,0.048,0.005,0,2,1.23,Ethnic background_Pakistani >= 0.50,1090,(Cholelithiasis) OR (Gallbladder disease),0.866,2,0,,,
(PSA) Time since last prostate specific antigen test Less than a year ago,(PSA) Time since last prostate specific antigen test_Less than a year ago,0,0,-0.01,0,2,1.01,(PSA) Time since last prostate specific antigen test_Less than a year ago < 0.50,9653,(Cholelithiasis) OR (Gallbladder disease),0.587,2,213,,,
Albumin,Albumin,0.009,0,-0.019,0,3,1.41,Albumin < -2.40,1692,(Cholelithiasis) OR (Gallbladder disease),0.596,2,0,,,
Chest pain due to walking ceases when standing still,Chest pain due to walking ceases when standing still_None,0.004,0,-0.035,0.027,3,1.36,Chest pain due to walking ceases when standing still_None < 0.50,12206,(Cholelithiasis) OR (Gallbladder disease),0.194,3,149,,,
medication omeprazole,Treatment/medication code | Array 0__omeprazole,0.004,0,0.016,0,3,1.47,Treatment/medication code | Array 0__omeprazole >= 0.50,5217,(Cholelithiasis) OR (Gallbladder disease),0.823,2,278,,,
RA rheumatoid arthritis genetic risk,(RA) rheumatoid arthritis genetic risk,0.004,0.002,0.006,0,3,1.66,(RA) rheumatoid arthritis genetic risk < -2.80,4665,(Cholelithiasis) OR (Gallbladder disease),0.422,2,111,,,
CD crohn s disease genetic risk,(CD) crohn's disease genetic risk,0.002,0.129,0.003,0.001,3,2.08,-2.10 <= (CD) crohn's disease genetic risk < -2.10,1573,(Cholelithiasis) OR (Gallbladder disease),0.633,3,65,,,
Gestational diabetes only,Gestational diabetes only_None,0.001,0,-0.011,0.035,3,1.18,Gestational diabetes only_None < 0.50,4517,(Cholelithiasis) OR (Gallbladder disease),0.739,2,138,,,
Leg pain when standing still or sitting,Leg pain when standing still or sitting_None,0,0,-0.01,0.029,3,1.09,Leg pain when standing still or sitting_None < 0.50,12206,(Cholelithiasis) OR (Gallbladder disease),0.355,3,149,,,
Number of self reported cancers,Number of self-reported cancers,0,0.001,0.008,0.011,3,1.21,Number of self-reported cancers >= 7.20,5002,(Cholelithiasis) OR (Gallbladder disease),1,2,74,,,
