feature_name,cui,cui_nomenclature,cui_def,KG_Hits,sim_score,feature_level_min_kg_hits,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length
Osteoarthritis; localized,C2350242,"Osteoarthritis, Spine","Osteoarthritis, Spine. A degenerative joint disease involving the SPINE. It is characterized by progressive deterioration of the spinal articular cartilage (CARTILAGE, ARTICULAR), usually with hardening of the subchondral bone and outgrowth of bone spurs (OSTEOPHYTE).",0,0.494,0.0,0.0,0.0,0.0001,0.002,-0.007,0.0,Osteoarthritis; localized,1.3,1501,-6.60 <= Osteoarthritis; localized < -0.57,0.21,0.29,99,132,inf
Osteoarthritis; localized,C0392752,Localized,Localized. Being confined or restricted to a particular location. [HPO:probinson],0,0.415,0.0,0.0,0.0,0.0001,0.002,-0.007,0.0,Osteoarthritis; localized,1.3,1501,-6.60 <= Osteoarthritis; localized < -0.57,0.21,0.29,3,0,0.0
ureter,C0041951,Ureter,Ureter. One of a pair of thick-walled tubes that transports urine from the KIDNEY PELVIS to the URINARY BLADDER.,0,0.766,0.0,0.0,0.0,0.0001,0.0082,0.006,0.0008,"Non-cancer illness code, self-reported | Array 1__ureter",1.39,450,"Non-cancer illness code, self-reported | Array 1__ureter >= 0.12",0.16,0.22,2,201,0.24
ureter,C4483893,Abdomen+Pelvis>Ureter,Abdomen+Pelvis>Ureter. ,0,0.776,0.0,0.0,0.0,0.0001,0.0082,0.006,0.0008,"Non-cancer illness code, self-reported | Array 1__ureter",1.39,450,"Non-cancer illness code, self-reported | Array 1__ureter >= 0.12",0.16,0.22,99,253,inf
Z60.2 - Living alone,C0595998,Household composition,Household composition. ,0,0.526,0.0,0.0,0.0,0.0001,0.0837,0.006,0.0011,Z60.2 - Living alone,2.0,165,11.00 <= Z60.2 - Living alone < 13.00,-0.06,-0.06,2,132,0.18
Z60.2 - Living alone,C4520849,Living,Living. ,0,0.445,0.0,0.0,0.0,0.0001,0.0837,0.006,0.0011,Z60.2 - Living alone,2.0,165,11.00 <= Z60.2 - Living alone < 13.00,-0.06,-0.06,99,85,inf
Z60.2 - Living alone,C4551704,Alive,Alive. Showing characteristics of life; displaying signs of life.,0,0.269,0.0,0.0,0.0,0.0001,0.0837,0.006,0.0011,Z60.2 - Living alone,2.0,165,11.00 <= Z60.2 - Living alone < 13.00,-0.06,-0.06,99,213,inf
"Disorders of uterus, NEC",C0042131,Uterine Diseases,Uterine Diseases. Pathological processes involving any part of the UTERUS.,0,0.943,0.0,0.0,0.0,0.0001,0.5656,0.001,0.0,"Disorders of uterus, NEC",1.06,186,"-23.00 <= Disorders of uterus, NEC < -14.00",0.19,0.19,2,343,4.04
kidney stone,C0227665,Both kidneys,Both kidneys. ,0,0.457,0.0,2.0,0.5,0.0001,0.0,0.011,0.0001,"Non-cancer illness code, self-reported | Array 2__kidney stone",1.81,329,"Non-cancer illness code, self-reported | Array 2__kidney stone >= 0.12",0.42,0.46,2,8,0.08
kidney stone,C0203408,Echography of kidney,Echography of kidney. The use of ultrasound to image the kidney.,0,0.357,0.0,2.0,0.5,0.0001,0.0,0.011,0.0001,"Non-cancer illness code, self-reported | Array 2__kidney stone",1.81,329,"Non-cancer illness code, self-reported | Array 2__kidney stone >= 0.12",0.42,0.46,2,0,0.0
stomach,C3714551,Stomach structure,"Stomach structure. An area of the stomach, not otherwise specified.",0,0.751,0.0,1.0,0.3,0.0001,0.0001,0.008,0.0001,"Non-cancer illness code, self-reported | Array 0__stomach",1.98,100,"Non-cancer illness code, self-reported | Array 0__stomach >= 0.62",0.19,0.19,99,38,inf
stomach,C4266636,Abdomen>Stomach,Abdomen>Stomach. ,0,0.814,0.0,1.0,0.3,0.0001,0.0001,0.008,0.0001,"Non-cancer illness code, self-reported | Array 0__stomach",1.98,100,"Non-cancer illness code, self-reported | Array 0__stomach >= 0.62",0.19,0.19,99,0,0.0
Mental health conditions ever diagnosed by a professional anxiety social,C0728831,Social,Social. Relating to human society and its members.,0,0.21,0.0,0.0,0.0,0.0001,0.0266,0.006,0.0,Mental health conditions ever diagnosed by a professional__anxiety social,1.53,208,0.16 <= Mental health conditions ever diagnosed by a professional__anxiety social < 0.22,-0.0,-0.0,99,44,inf
Frequency of urination and polyuria,C0042034,Urination,"Urination. Discharge of URINE, liquid waste processed by the KIDNEY, from the body.",0,0.667,0.0,0.0,0.0,0.0001,0.0211,0.003,0.0,Frequency of urination and polyuria,2.01,153,12.00 <= Frequency of urination and polyuria < 13.00,0.08,0.18,2,29,0.07
Frequency of urination and polyuria,C0032617,Polyuria,"Polyuria. Urination of a large volume of urine with an increase in urinary frequency, commonly seen in diabetes (DIABETES MELLITUS; DIABETES INSIPIDUS).",0,0.8,0.0,0.0,0.0,0.0001,0.0211,0.003,0.0,Frequency of urination and polyuria,2.01,153,12.00 <= Frequency of urination and polyuria < 13.00,0.08,0.18,2,0,0.0
stone ureter,C0041951,Ureter,Ureter. One of a pair of thick-walled tubes that transports urine from the KIDNEY PELVIS to the URINARY BLADDER.,0,0.569,0.0,1.0,0.3,0.0001,0.0,0.011,0.0001,"Non-cancer illness code, self-reported | Array 2__stone ureter",1.81,329,"Non-cancer illness code, self-reported | Array 2__stone ureter >= 0.12",0.27,0.49,2,201,0.24
stone ureter,C4483893,Abdomen+Pelvis>Ureter,Abdomen+Pelvis>Ureter. ,0,0.468,0.0,1.0,0.3,0.0001,0.0,0.011,0.0001,"Non-cancer illness code, self-reported | Array 2__stone ureter",1.81,329,"Non-cancer illness code, self-reported | Array 2__stone ureter >= 0.12",0.27,0.49,99,253,inf
Mental health conditions ever diagnosed by a professional social phobia,C0031572,"Phobia, Social","Phobia, Social. An anxiety disorder characterized by an intense, irrational fear of one or more social or performance situations in which the individual believes that he or she will be scrutinized by others. Exposure to social situations immediately provokes an anxiety response. In adults, the social phobia is recognized as excessive or unreasonable.",0,0.723,0.0,0.0,0.0,0.0001,0.0266,0.006,0.0,Mental health conditions ever diagnosed by a professional__social phobia,1.53,208,0.16 <= Mental health conditions ever diagnosed by a professional__social phobia < 0.22,-0.01,-0.01,2,124,0.44
Illnesses of siblings 3 Stroke,C0037047,Sibling,"Sibling. Persons or animals having at least one parent in common. (American College Dictionary, 3d ed)",0,0.207,0.0,0.0,0.0,0.0001,0.0012,0.007,0.001,Illnesses of siblings_3_Stroke,1.48,462,Illnesses of siblings_3_Stroke >= 0.50,0.09,0.09,2,11,0.0
Illnesses of siblings 3 Stroke,C0038454,Cerebrovascular accident,"Cerebrovascular accident. A group of pathological conditions characterized by sudden, non-convulsive loss of neurological function due to BRAIN ISCHEMIA or INTRACRANIAL HEMORRHAGES. Stroke is classified by the type of tissue NECROSIS, such as the anatomic location, vasculature involved, etiology, age of the affected individual, and hemorrhagic vs. non-hemorrhagic nature. (From Adams et al., Principles of Neurology, 6th ed, pp777-810)",0,0.53,0.0,0.0,0.0,0.0001,0.0012,0.007,0.001,Illnesses of siblings_3_Stroke,1.48,462,Illnesses of siblings_3_Stroke >= 0.50,0.09,0.09,2,162,0.03
disorder,C0004936,Mental disorders,"Mental disorders. Psychiatric illness or diseases manifested by breakdowns in the adaptational process expressed primarily as abnormalities of thought, feeling, and behavior producing either distress or impairment of function.",0,0.468,0.0,0.0,0.0,0.0,0.0009,0.008,0.0,"Non-cancer illness code, self-reported | Array 4__disorder",1.44,145,"Non-cancer illness code, self-reported | Array 4__disorder >= 0.87",0.12,0.29,2,0,0.0
osteoporosis,C0029456,Osteoporosis,"Osteoporosis. Reduction of bone mass without alteration in the composition of bone, leading to fractures. Primary osteoporosis can be of two major types: postmenopausal osteoporosis (OSTEOPOROSIS, POSTMENOPAUSAL) and age-related or senile osteoporosis.",0,0.78,0.0,0.0,0.0,0.0,0.029,0.005,0.0018,"Non-cancer illness code, self-reported | Array 6__osteoporosis",1.0,189534,"Non-cancer illness code, self-reported | Array 6__osteoporosis < 0.50",0.13,0.24,2,0,0.0
osteoporosis,C2911643,Encounter due to family history of osteoporosis,Encounter due to family history of osteoporosis. ,0,0.726,0.0,0.0,0.0,0.0,0.029,0.005,0.0018,"Non-cancer illness code, self-reported | Array 6__osteoporosis",1.0,189534,"Non-cancer illness code, self-reported | Array 6__osteoporosis < 0.50",0.13,0.24,99,0,0.0
stone bladder,C0005684,Malignant neoplasm of urinary bladder,Malignant neoplasm of urinary bladder. A primary or metastatic malignant neoplasm involving the bladder.,0,0.37,0.0,2.0,0.7,0.0,0.0,0.009,0.002,"Non-cancer illness code, self-reported | Array 6__stone bladder",1.0,189567,"Non-cancer illness code, self-reported | Array 6__stone bladder < 0.12",0.34,0.48,2,244,0.13
diverticular disease,C4317009,Diverticular Diseases,Diverticular Diseases. Diseases of the DIVERTICULUM often due to infection and/or inflammation (DIVERTICULITIS).,0,0.866,0.0,0.0,0.0,0.0,0.0028,0.007,0.0001,"Non-cancer illness code, self-reported | Array 0__diverticular disease",1.4,558,"Non-cancer illness code, self-reported | Array 0__diverticular disease >= 0.23",0.32,0.34,2,0,0.0
diverticular disease,C0012819,Diverticular disease of colon,"Diverticular disease of colon. A pathological condition characterized by the presence of a number of COLONIC DIVERTICULA in the COLON. Its pathogenesis is multifactorial, including colon aging, motor dysfunction, increases in intraluminal pressure, and lack of dietary fibers.",0,0.81,0.0,0.0,0.0,0.0,0.0028,0.007,0.0001,"Non-cancer illness code, self-reported | Array 0__diverticular disease",1.4,558,"Non-cancer illness code, self-reported | Array 0__diverticular disease >= 0.23",0.32,0.34,2,181,3.29
bronchitis,C0006277,Bronchitis,"Bronchitis. Inflammation of the large airways in the lung including any part of the BRONCHI, from the PRIMARY BRONCHI to the TERTIARY BRONCHI.",0,0.765,0.0,0.0,0.0,0.0,0.0465,0.008,0.0,"Non-cancer illness code, self-reported | Array 0__bronchitis",1.37,1559,"0.22 <= Non-cancer illness code, self-reported | Array 0__bronchitis < 0.72",0.33,0.37,2,57,0.19
emphysema,C0013990,Pathological accumulation of air in tissues,Pathological accumulation of air in tissues. A pathological accumulation of air in tissues or organs.,0,0.707,0.0,0.0,0.0,0.0,0.0,0.011,0.0002,"Non-cancer illness code, self-reported | Array 0__emphysema",1.39,1578,"Non-cancer illness code, self-reported | Array 0__emphysema >= 0.23",0.19,0.31,2,185,0.25
emphysema,C0034067,Pulmonary Emphysema,Pulmonary Emphysema. Enlargement of air spaces distal to the TERMINAL BRONCHIOLES where gas-exchange normally takes place. This is usually due to destruction of the alveolar wall. Pulmonary emphysema can be classified by the location and distribution of the lesions.,0,0.779,0.0,0.0,0.0,0.0,0.0,0.011,0.0002,"Non-cancer illness code, self-reported | Array 0__emphysema",1.39,1578,"Non-cancer illness code, self-reported | Array 0__emphysema >= 0.23",0.19,0.31,2,224,0.8
emphysema chronic,C1265792,Chronic emphysema,Chronic emphysema. ,0,0.982,0.0,0.0,0.0,0.0,0.0,0.011,0.0,"Non-cancer illness code, self-reported | Array 0__emphysema chronic",1.37,1559,"Non-cancer illness code, self-reported | Array 0__emphysema chronic >= 0.23",0.1,0.29,2,169,6.76
angina,C0002962,Angina Pectoris,"Angina Pectoris. The symptom of paroxysmal pain consequent to MYOCARDIAL ISCHEMIA usually of distinctive character, location and radiation. It is thought to be provoked by a transient stressful situation during which the oxygen requirements of the MYOCARDIUM exceed that supplied by the CORONARY CIRCULATION.",0,0.688,0.0,0.0,0.0,0.0,0.0,0.017,0.0006,"Non-cancer illness code, self-reported | Array 0__angina",1.3,5495,"Non-cancer illness code, self-reported | Array 0__angina >= 0.50",0.11,0.11,2,0,0.0
embolism dvt,C0013922,Embolism,Embolism. Blocking of a blood vessel by an embolus which can be a blood clot or other undissolved material in the blood stream.,0,0.655,0.0,0.0,0.0,0.0,0.0402,0.005,0.0001,"Non-cancer illness code, self-reported | Array 0__embolism dvt",1.24,747,"Non-cancer illness code, self-reported | Array 0__embolism dvt >= 0.23",0.07,0.07,2,50,0.05
embolism dvt,C1704212,Embolus,"Embolus. A mass of clotted blood or other formed elements, such as bubbles of air, calcium fragments, etc. brought by the blood from another vessel and forced into a smaller one, thus obstructing the circulation.",0,0.597,0.0,0.0,0.0,0.0,0.0402,0.005,0.0001,"Non-cancer illness code, self-reported | Array 0__embolism dvt",1.24,747,"Non-cancer illness code, self-reported | Array 0__embolism dvt >= 0.23",0.07,0.07,2,0,0.0
diverticulitis,C0012813,Diverticulitis,Diverticulitis. Inflammation of a DIVERTICULUM or diverticula.,0,0.923,0.0,0.0,0.0,0.0,0.0028,0.007,0.0002,"Non-cancer illness code, self-reported | Array 0__diverticulitis",1.4,558,"Non-cancer illness code, self-reported | Array 0__diverticulitis >= 0.23",0.33,0.34,2,58,0.21
diverticulitis,C0810029,Diverticulosis and Diverticulitis,"Diverticulosis and Diverticulitis. <p>Diverticula are small pouches that bulge outward through the colon, or large intestine. If you have these pouches, you have a condition called diverticulosis. It becomes more common as people age. About half of all people over age 60 have it. Doctors believe the main cause is a low-fiber diet.</p> <p>Most people with diverticulosis don't have symptoms. Sometimes it causes mild cramps, bloating or constipation. Diverticulosis is often found through tests ordered for something else. For example, it is often found during a colonoscopy to screen for cancer. A high-fiber diet and mild pain reliever will often relieve symptoms.</p> <p>If the pouches become inflamed or infected, you have a condition called diverticulitis. The most common symptom is abdominal pain, usually on the left side. You may also have fever, nausea, vomiting, chills, cramping, and constipation. In serious cases, diverticulitis can lead to bleeding, tears, or blockages. Your doctor will do a physical exam and imaging tests to diagnose it. Treatment may include antibiotics, pain relievers, and a liquid diet. A serious case may require a hospital stay or surgery.</p> <p class="""">NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>",0,0.815,0.0,0.0,0.0,0.0,0.0028,0.007,0.0002,"Non-cancer illness code, self-reported | Array 0__diverticulitis",1.4,558,"Non-cancer illness code, self-reported | Array 0__diverticulitis >= 0.23",0.33,0.34,99,468,inf
dvt,C0149871,Deep Vein Thrombosis,"Deep Vein Thrombosis. A blood clot in a deep vein, predominantly in the lower extremity, but may include the pelvis or upper extremity.",0,0.391,0.0,0.0,0.0,0.0,0.0014,0.007,0.001,"Non-cancer illness code, self-reported | Array 0__dvt",1.24,747,"0.18 <= Non-cancer illness code, self-reported | Array 0__dvt < 0.36",0.03,0.06,2,107,0.09
dvt,C0151950,Deep thrombophlebitis,Deep thrombophlebitis. ,0,0.507,0.0,0.0,0.0,0.0,0.0014,0.007,0.001,"Non-cancer illness code, self-reported | Array 0__dvt",1.24,747,"0.18 <= Non-cancer illness code, self-reported | Array 0__dvt < 0.36",0.03,0.06,2,10,0.36
ureter stone,C0041951,Ureter,Ureter. One of a pair of thick-walled tubes that transports urine from the KIDNEY PELVIS to the URINARY BLADDER.,0,0.572,0.0,0.0,0.0,0.0,0.0,0.011,0.0,"Non-cancer illness code, self-reported | Array 2__ureter stone",1.81,329,"Non-cancer illness code, self-reported | Array 2__ureter stone >= 0.12",0.29,0.48,2,201,0.24
ureter stone,C4483893,Abdomen+Pelvis>Ureter,Abdomen+Pelvis>Ureter. ,0,0.467,0.0,0.0,0.0,0.0,0.0,0.011,0.0,"Non-cancer illness code, self-reported | Array 2__ureter stone",1.81,329,"Non-cancer illness code, self-reported | Array 2__ureter stone >= 0.12",0.29,0.48,99,253,inf
venous,C0042449,Veins,Veins. The vessels carrying blood away from the CAPILLARY BEDS.,0,0.813,0.0,0.0,0.0,0.0,0.0384,0.005,0.0,"Non-cancer illness code, self-reported | Array 2__venous",1.36,380,"Non-cancer illness code, self-reported | Array 2__venous >= 0.19",-0.06,-0.06,2,0,0.0
venous,C0348013,Venous,"Venous. Of, or pertaining to, or contained in, or performing the function of the veins.",0,0.853,0.0,0.0,0.0,0.0,0.0384,0.005,0.0,"Non-cancer illness code, self-reported | Array 2__venous",1.36,380,"Non-cancer illness code, self-reported | Array 2__venous >= 0.19",-0.06,-0.06,3,0,0.0
venous thrombosis,C0042487,Venous Thrombosis,Venous Thrombosis. The formation or presence of a blood clot (THROMBUS) within a vein.,0,0.943,0.0,0.0,0.0,0.0,0.0192,0.005,0.0,"Non-cancer illness code, self-reported | Array 2__venous thrombosis",1.38,374,"Non-cancer illness code, self-reported | Array 2__venous thrombosis >= 0.19",0.01,0.16,2,78,0.1
allergic,C0700624,Allergic,"Allergic. Pertaining to, caused by, affected with or of the nature of allergy.",0,0.833,0.0,0.0,0.0,0.0,0.0039,-0.007,0.0,"Non-cancer illness code, self-reported | Array 0__allergic",1.0,187071,"Non-cancer illness code, self-reported | Array 0__allergic < 0.22",0.02,0.02,99,0,0.0
allergic rhinitis,C2607914,Allergic rhinitis (disorder),"Allergic rhinitis (disorder). Inflammation of the nasal mucous membranes caused by an IgE-mediated response to external allergens. The inflammation may also involve the mucous membranes of the sinuses, eyes, middle ear, and pharynx. Symptoms include sneezing, nasal congestion, rhinorrhea, and itching. It may lead to fatigue, drowsiness, and malaise thus causing impairment of the quality of life.",0,0.871,0.0,0.0,0.0,0.0,0.0039,-0.007,0.0004,"Non-cancer illness code, self-reported | Array 0__allergic rhinitis",1.0,187071,"Non-cancer illness code, self-reported | Array 0__allergic rhinitis < 0.22",-0.08,-0.08,2,92,46.0
deep,C0205125,Deep (qualifier value),Deep (qualifier value). Extending relatively far inward.,0,0.788,0.0,0.0,0.0,0.0,0.012,0.006,0.0006,"Non-cancer illness code, self-reported | Array 0__deep",1.15,2621,"Non-cancer illness code, self-reported | Array 0__deep >= 0.19",0.04,0.04,3,116,0.95
uterine prolapse,C0042140,Uterine Prolapse,Uterine Prolapse. Downward displacement of the UTERUS. It is classified in various degrees: in the first degree the UTERINE CERVIX is within the vaginal orifice; in the second degree the cervix is outside the orifice; in the third degree the entire uterus is outside the orifice.,0,0.894,0.0,0.0,0.0,0.0,0.0163,0.006,0.0,"Non-cancer illness code, self-reported | Array 2__uterine prolapse",1.46,271,"Non-cancer illness code, self-reported | Array 2__uterine prolapse >= 0.17",0.17,0.2,2,299,4.82
chronic bronchitis,C0008677,"Bronchitis, Chronic","Bronchitis, Chronic. A subcategory of CHRONIC OBSTRUCTIVE PULMONARY DISEASE. The disease is characterized by hypersecretion of mucus accompanied by a chronic (more than 3 months in 2 consecutive years) productive cough. Infectious agents are a major cause of chronic bronchitis.",0,0.849,0.0,0.0,0.0,0.0,0.0,0.011,0.0,"Non-cancer illness code, self-reported | Array 0__chronic bronchitis",1.37,1559,"Non-cancer illness code, self-reported | Array 0__chronic bronchitis >= 0.23",0.25,0.33,2,0,0.0
cataract,C0086543,Cataract,"Cataract. Partial or complete opacity on or in the lens or capsule of one or both eyes, impairing vision or causing blindness. The many kinds of cataract are classified by their morphology (size, shape, location) or etiology (cause and time of occurrence). (Dorland, 27th ed)",0,0.815,0.0,0.0,0.0,0.0,0.0334,-0.005,0.0,"Non-cancer illness code, self-reported | Array 0__cataract",1.0,188590,"Non-cancer illness code, self-reported | Array 0__cataract < 0.50",0.18,0.3,2,0,0.0
vaginal,C0042232,Vagina,"Vagina. The genital canal in the female, extending from the UTERUS to the VULVA. (Stedman, 25th ed)",0,0.686,0.0,0.0,0.0,0.0,0.0163,0.006,0.0,"Non-cancer illness code, self-reported | Array 2__vaginal",1.46,271,"Non-cancer illness code, self-reported | Array 2__vaginal >= 0.17",0.05,0.05,2,133,0.08
vaginal,C1272941,Vaginal Dosage Form,Vaginal Dosage Form. A substance intended for administration in or around the vagina.,0,0.625,0.0,0.0,0.0,0.0,0.0163,0.006,0.0,"Non-cancer illness code, self-reported | Array 2__vaginal",1.46,271,"Non-cancer illness code, self-reported | Array 2__vaginal >= 0.17",0.05,0.05,99,7,inf
vaginal,C1522570,Vaginal Route of Drug Administration,"Vaginal Route of Drug Administration. Administration of a drug into the vagina. The medication usually has the form of a solution, tablet, cream, gel, or suppository. The drug is slowly absorbed through the vaginal wall with predominantly local, but some systemic effects.",0,0.578,0.0,0.0,0.0,0.0,0.0163,0.006,0.0,"Non-cancer illness code, self-reported | Array 2__vaginal",1.46,271,"Non-cancer illness code, self-reported | Array 2__vaginal >= 0.17",0.05,0.05,99,46,inf
vaginal prolapse,C0205990,Vaginal Prolapse,Vaginal Prolapse. ,0,0.978,0.0,0.0,0.0,0.0,0.0163,0.006,0.0,"Non-cancer illness code, self-reported | Array 2__vaginal prolapse",1.46,271,"Non-cancer illness code, self-reported | Array 2__vaginal prolapse >= 0.17",0.18,0.18,2,0,0.0
disc,C0180459,Disks (device),"Disks (device). Any device component shaped like a disk, especially those used for data storage.",0,0.628,0.0,0.0,0.0,0.0,0.0455,0.004,0.0005,"Non-cancer illness code, self-reported | Array 0__disc",1.19,900,"0.33 <= Non-cancer illness code, self-reported | Array 0__disc < 0.72",0.09,0.26,2,153,0.34
disc,C0993608,Disk Drug Form,"Disk Drug Form. A flat, circular shaped form composed of a solid or powder that contains active and/or inert ingredient(s).",0,0.622,0.0,0.0,0.0,0.0,0.0455,0.004,0.0005,"Non-cancer illness code, self-reported | Array 0__disc",1.19,900,"0.33 <= Non-cancer illness code, self-reported | Array 0__disc < 0.72",0.09,0.26,99,4,inf
disc,C1556138,Disc - Body Part,Disc - Body Part. Any body structure resembling a flat circular plate.,0,0.76,0.0,0.0,0.0,0.0,0.0455,0.004,0.0005,"Non-cancer illness code, self-reported | Array 0__disc",1.19,900,"0.33 <= Non-cancer illness code, self-reported | Array 0__disc < 0.72",0.09,0.26,99,114,inf
attack,C0699795,Attack device,Attack device. ,0,0.356,0.0,0.0,0.0,0.0,0.0,0.014,0.0004,"Non-cancer illness code, self-reported | Array 0__attack",1.27,5530,"Non-cancer illness code, self-reported | Array 0__attack >= 0.30",0.06,0.12,99,146,inf
attack,C1261512,Attack behavior,Attack behavior. behavior,0,0.457,0.0,0.0,0.0,0.0,0.0,0.014,0.0004,"Non-cancer illness code, self-reported | Array 0__attack",1.27,5530,"Non-cancer illness code, self-reported | Array 0__attack >= 0.30",0.06,0.12,2,65,32.5
attack,C1304680,Observation of attack,Observation of attack. sudden onset of a disease,0,0.595,0.0,0.0,0.0,0.0,0.0,0.014,0.0004,"Non-cancer illness code, self-reported | Array 0__attack",1.27,5530,"Non-cancer illness code, self-reported | Array 0__attack >= 0.30",0.06,0.12,99,119,inf
valve,C0184252,Medical Valves,Medical Valves. ,0,0.886,0.0,0.0,0.0,0.0,0.0288,0.003,0.0,"Non-cancer illness code, self-reported | Array 2__valve",1.28,284,"Non-cancer illness code, self-reported | Array 2__valve >= 0.16",-0.02,0.03,2,240,0.85
valve,C1186983,anatomic valve,anatomic valve. ,0,0.864,0.0,0.0,0.0,0.0,0.0288,0.003,0.0,"Non-cancer illness code, self-reported | Array 2__valve",1.28,284,"Non-cancer illness code, self-reported | Array 2__valve >= 0.16",-0.02,0.03,2,233,1.46
valve,C1704414,Valve Device,Valve Device. A mechanical device designed to control the flow of a fluid.,0,0.742,0.0,0.0,0.0,0.0,0.0288,0.003,0.0,"Non-cancer illness code, self-reported | Array 2__valve",1.28,284,"Non-cancer illness code, self-reported | Array 2__valve >= 0.16",-0.02,0.03,99,0,0.0
attack myocardial,C0699795,Attack device,Attack device. ,0,0.298,0.0,0.0,0.0,0.0,0.0,0.015,0.0009,"Non-cancer illness code, self-reported | Array 0__attack myocardial",1.27,5530,"Non-cancer illness code, self-reported | Array 0__attack myocardial >= 0.19",0.06,0.06,99,146,inf
attack myocardial,C1261512,Attack behavior,Attack behavior. behavior,0,0.186,0.0,0.0,0.0,0.0,0.0,0.015,0.0009,"Non-cancer illness code, self-reported | Array 0__attack myocardial",1.27,5530,"Non-cancer illness code, self-reported | Array 0__attack myocardial >= 0.19",0.06,0.06,2,65,32.5
attack myocardial,C1304680,Observation of attack,Observation of attack. sudden onset of a disease,0,0.445,0.0,0.0,0.0,0.0,0.0,0.015,0.0009,"Non-cancer illness code, self-reported | Array 0__attack myocardial",1.27,5530,"Non-cancer illness code, self-reported | Array 0__attack myocardial >= 0.19",0.06,0.06,99,119,inf
attack myocardial,C0027061,Myocardium,"Myocardium. The muscle tissue of the HEART. It is composed of striated, involuntary muscle cells (MYOCYTES, CARDIAC) connected to form the contractile pump to generate blood flow.",0,0.581,0.0,0.0,0.0,0.0,0.0,0.015,0.0009,"Non-cancer illness code, self-reported | Array 0__attack myocardial",1.27,5530,"Non-cancer illness code, self-reported | Array 0__attack myocardial >= 0.19",0.06,0.06,2,0,0.0
attack myocardial,C1522564,Myocardial,Myocardial. Of or pertaining to the myocardium.,0,0.671,0.0,0.0,0.0,0.0,0.0,0.015,0.0009,"Non-cancer illness code, self-reported | Array 0__attack myocardial",1.27,5530,"Non-cancer illness code, self-reported | Array 0__attack myocardial >= 0.19",0.06,0.06,3,0,0.0
enlarged,C0442800,Enlarged,Enlarged. ,0,0.982,0.0,0.0,0.0,0.0,0.0024,-0.007,0.0004,"Non-cancer illness code, self-reported | Array 0__enlarged",1.0,188821,"Non-cancer illness code, self-reported | Array 0__enlarged < 0.29",0.13,0.28,99,0,0.0
enlarged,C1293134,Enlargement procedure,Enlargement procedure. The act of increasing (something) in size or volume or quantity or scope.,0,0.694,0.0,0.0,0.0,0.0,0.0024,-0.007,0.0004,"Non-cancer illness code, self-reported | Array 0__enlarged",1.0,188821,"Non-cancer illness code, self-reported | Array 0__enlarged < 0.29",0.13,0.28,2,142,0.93
stroke,C0038454,Cerebrovascular accident,"Cerebrovascular accident. A group of pathological conditions characterized by sudden, non-convulsive loss of neurological function due to BRAIN ISCHEMIA or INTRACRANIAL HEMORRHAGES. Stroke is classified by the type of tissue NECROSIS, such as the anatomic location, vasculature involved, etiology, age of the affected individual, and hemorrhagic vs. non-hemorrhagic nature. (From Adams et al., Principles of Neurology, 6th ed, pp777-810)",0,0.614,0.0,0.0,0.0,0.0,0.018,0.005,0.0006,"Non-cancer illness code, self-reported | Array 0__stroke",1.15,2499,"Non-cancer illness code, self-reported | Array 0__stroke >= 0.78",0.07,0.1,2,162,0.03
ulcers,C0149745,Oral Ulcer,"Oral Ulcer. A loss of mucous substance of the mouth showing local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue. It is the result of a variety of causes, e.g., denture irritation, aphthous stomatitis (STOMATITIS, APHTHOUS); NOMA; necrotizing gingivitis (GINGIVITIS, NECROTIZING ULCERATIVE); TOOTHBRUSHING; and various irritants. (From Jablonski, Dictionary of Dentistry, 1992, p842)",0,0.482,0.0,1.0,0.3,0.0,0.0007,0.007,0.0006,"Non-cancer illness code, self-reported | Array 0__ulcers",1.52,333,"Non-cancer illness code, self-reported | Array 0__ulcers >= 0.24",0.27,0.27,2,18,0.1
ulcers,C4759657,Anal Ulcer,"Anal Ulcer. A painful tear in the lining of the anal canal, often accompanied by bleeding on defecation. It is usually the result of a traumatic bowel movement or anal sexual penetration.",0,0.477,0.0,1.0,0.3,0.0,0.0007,0.007,0.0006,"Non-cancer illness code, self-reported | Array 0__ulcers",1.52,333,"Non-cancer illness code, self-reported | Array 0__ulcers >= 0.24",0.27,0.27,99,10,inf
enlarged prostate,C0442800,Enlarged,Enlarged. ,0,0.564,0.0,0.0,0.0,0.0,0.0024,-0.007,0.0,"Non-cancer illness code, self-reported | Array 0__enlarged prostate",1.0,188821,"Non-cancer illness code, self-reported | Array 0__enlarged prostate < 0.29",0.26,0.27,99,0,0.0
enlarged prostate,C1293134,Enlargement procedure,Enlargement procedure. The act of increasing (something) in size or volume or quantity or scope.,0,0.441,0.0,0.0,0.0,0.0,0.0024,-0.007,0.0,"Non-cancer illness code, self-reported | Array 0__enlarged prostate",1.0,188821,"Non-cancer illness code, self-reported | Array 0__enlarged prostate < 0.29",0.26,0.27,2,142,0.93
