Query,name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,feature_level_sum_kg_hits,sim_score,KG_Hits,cui,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication","Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication",0.001,0.0,0.085,0.085,1,0.003,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication",1.58,14743,25.45,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication",0,0.0,0,,oesophagus cancer,228428,80017,114,0.0,-2.115,0,1
"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication","Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication",0.005,0.0,0.055,0.055,1,0.001,"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication",1.49,9276,15.1,"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication",0,0.0,0,,oesophagus cancer,18986,80017,6,0.0,-2.775,0,1
"Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Blood pressure medication|Insulin","Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Blood pressure medication|Insulin",0.0,0.024,0.007,0.007,1,0.0,"Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Blood pressure medication|Insulin",1.21,1006,1.33,"Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Blood pressure medication|Insulin >= 0.50","Medication for cholesterol, blood pressure or diabetes Medication_Cholesterol lowering medication|Blood pressure medication|Insulin",0,0.0,0,,oesophagus cancer,713606,80017,432,0.0,-1.837,0,1
"Medication for cholesterol, blood pressure or diabetes Medication_None","Medication for cholesterol, blood pressure or diabetes Medication_None",0.086,0.0,-0.032,-0.032,1,0.001,"Medication for cholesterol, blood pressure or diabetes Medication_None",1.05,71609,82.11,"Medication for cholesterol, blood pressure or diabetes Medication_None < 0.50","Medication for cholesterol, blood pressure or diabetes Medication_None",0,0.0,0,,oesophagus cancer,18973,80017,6,0.0,-2.774,0,1
"Medication for cholesterol, blood pressure or diabetes_None","Medication for cholesterol, blood pressure or diabetes_None",0.048,0.0,-0.032,-0.032,1,0.001,"Medication for cholesterol, blood pressure or diabetes_None",1.05,71609,82.11,"Medication for cholesterol, blood pressure or diabetes_None < 0.50","Medication for cholesterol, blood pressure or diabetes_None",0,0.0,0,,oesophagus cancer,57977,80017,23,0.0,-2.447,0,1
"Medication for cholesterol, blood pressure or diabetes_None of the above","Medication for cholesterol, blood pressure or diabetes_None of the above",0.015,0.0,-0.072,-0.072,1,0.003,"Medication for cholesterol, blood pressure or diabetes_None of the above",1.18,53208,68.74,"Medication for cholesterol, blood pressure or diabetes_None of the above < 0.50","Medication for cholesterol, blood pressure or diabetes_None of the above",0,0.0,0,,oesophagus cancer,20327,80017,7,0.0,-2.651,0,1
Microalbumin in urine,Microalbumin in urine,0.031,0.0,0.016,0.014,1,0.022,Microalbumin in urine,2.64,1415,4.07,0.85 <= Microalbumin in urine < 7.50,Microalbumin in urine,0,0.0,0,,oesophagus cancer,899,80017,0,0.143,0.0,0,0
(MS) multiple sclerosis genetic risk,(MS) multiple sclerosis genetic risk,0.023,0.001,0.011,0.009,1,0.307,(MS) multiple sclerosis genetic risk,1.18,2699,3.48,(MS) multiple sclerosis genetic risk >= 2.10,(MS) multiple sclerosis genetic risk,0,0.0,0,,oesophagus cancer,3798,80017,0,0.0,0.0,0,0
Neuroticism score,Neuroticism score,0.008,0.254,0.003,0.003,1,0.0,Neuroticism score,1.13,6228,7.68,0.23 <= Neuroticism score < 0.58,Neuroticism score,0,0.0,0,,oesophagus cancer,3686,80017,0,0.0,0.0,0,0
"Non-cancer illness code, self-reported | Array 1 angina","Non-cancer illness code, self-reported | Array 1 angina",0.0,0.0,0.038,0.038,1,0.001,"Non-cancer illness code, self-reported | Array 1__angina",1.74,2130,4.04,"Non-cancer illness code, self-reported | Array 1__angina >= 0.50","Non-cancer illness code, self-reported | Array 1 angina",0,0.0,0,,oesophagus cancer,75,80017,0,0.85,0.0,0,0
"Non-cancer illness code, self-reported | Array 1 asthma","Non-cancer illness code, self-reported | Array 1 asthma",0.001,0.0,0.026,0.026,1,0.0,"Non-cancer illness code, self-reported | Array 1__asthma",1.36,4004,5.94,"Non-cancer illness code, self-reported | Array 1__asthma >= 0.50","Non-cancer illness code, self-reported | Array 1 asthma",0,0.0,0,,oesophagus cancer,719,80017,0,0.211,0.0,0,0
"Non-cancer illness code, self-reported | Array 1 depression","Non-cancer illness code, self-reported | Array 1 depression",0.001,0.054,-0.006,-0.006,1,0.0,"Non-cancer illness code, self-reported | Array 1__depression",1.0,90295,98.81,"Non-cancer illness code, self-reported | Array 1__depression < 0.12","Non-cancer illness code, self-reported | Array 1 depression",0,0.0,0,,oesophagus cancer,1191,80017,0,0.076,0.0,0,0
"Non-cancer illness code, self-reported | Array 1 diabetes","Non-cancer illness code, self-reported | Array 1 diabetes",0.001,0.0,0.022,0.022,1,0.0,"Non-cancer illness code, self-reported | Array 1__diabetes",1.33,3899,5.66,"Non-cancer illness code, self-reported | Array 1__diabetes >= 0.43","Non-cancer illness code, self-reported | Array 1 diabetes",0,0.0,0,,oesophagus cancer,3395,80017,2,0.023,-1.876,0,1
"Non-cancer illness code, self-reported | Array 1 gout","Non-cancer illness code, self-reported | Array 1 gout",0.06,0.0,0.223,0.223,1,0.013,"Non-cancer illness code, self-reported | Array 1__gout",6.78,1215,9.0,"Non-cancer illness code, self-reported | Array 1__gout >= 0.50","Non-cancer illness code, self-reported | Array 1 gout",0,0.0,0,,oesophagus cancer,58,80017,0,0.882,0.0,0,0
"Non-cancer illness code, self-reported | Array 1 high cholesterol","Non-cancer illness code, self-reported | Array 1 high cholesterol",0.0,0.007,0.009,0.009,1,0.0,"Non-cancer illness code, self-reported | Array 1__high cholesterol",1.1,5775,6.95,"Non-cancer illness code, self-reported | Array 1__high cholesterol >= 0.29","Non-cancer illness code, self-reported | Array 1 high cholesterol",0,0.0,0,,oesophagus cancer,481,80017,0,0.353,0.0,0,0
"Non-cancer illness code, self-reported | Array 1 hypertension","Non-cancer illness code, self-reported | Array 1 hypertension",0.001,0.0,0.049,0.049,1,0.001,"Non-cancer illness code, self-reported | Array 1__hypertension",1.63,4508,8.04,"Non-cancer illness code, self-reported | Array 1__hypertension >= 0.68","Non-cancer illness code, self-reported | Array 1 hypertension",0,0.0,0,,oesophagus cancer,1244,80017,1,0.25,-1.428,0,0
"Non-cancer illness code, self-reported | Array 1 hypothyroidism","Non-cancer illness code, self-reported | Array 1 hypothyroidism",0.0,0.125,-0.005,-0.005,1,0.0,"Non-cancer illness code, self-reported | Array 1__hypothyroidism",1.0,90531,99.01,"Non-cancer illness code, self-reported | Array 1__hypothyroidism < 0.29","Non-cancer illness code, self-reported | Array 1 hypothyroidism",0,0.0,0,,oesophagus cancer,120,80017,0,0.771,0.0,0,0
"Non-cancer illness code, self-reported | Array 1 osteoarthritis","Non-cancer illness code, self-reported | Array 1 osteoarthritis",0.0,0.0,0.012,0.012,1,0.0,"Non-cancer illness code, self-reported | Array 1__osteoarthritis",1.2,2704,3.54,"Non-cancer illness code, self-reported | Array 1__osteoarthritis >= 0.50","Non-cancer illness code, self-reported | Array 1 osteoarthritis",0,0.0,0,,oesophagus cancer,429,80017,0,0.395,0.0,0,0
"Non-cancer illness code, self-reported | Array 2 failure","Non-cancer illness code, self-reported | Array 2 failure",0.0,0.0,0.035,0.035,1,0.0,"Non-cancer illness code, self-reported | Array 2__failure",1.0,91470,99.49,"Non-cancer illness code, self-reported | Array 2__failure < 0.18","Non-cancer illness code, self-reported | Array 2 failure",0,0.0,0,,oesophagus cancer,3664,80017,8,0.603,0.014,0,1
"Non-cancer illness code, self-reported | Array 2 gout","Non-cancer illness code, self-reported | Array 2 gout",0.04,0.0,0.193,0.193,1,0.01,"Non-cancer illness code, self-reported | Array 2__gout",6.61,968,6.99,"Non-cancer illness code, self-reported | Array 2__gout >= 0.50","Non-cancer illness code, self-reported | Array 2 gout",0,0.0,0,,oesophagus cancer,56,80017,0,0.886,0.0,0,0
"Non-cancer illness code, self-reported | Array 3 gout","Non-cancer illness code, self-reported | Array 3 gout",0.025,0.0,0.162,0.162,1,0.007,"Non-cancer illness code, self-reported | Array 3__gout",0.96,90981,95.38,"Non-cancer illness code, self-reported | Array 3__gout < 0.50","Non-cancer illness code, self-reported | Array 3 gout",0,0.0,0,,oesophagus cancer,49,80017,0,0.899,0.0,0,0
"Non-cancer illness code, self-reported | Array 3 kidney","Non-cancer illness code, self-reported | Array 3 kidney",0.001,0.0,0.029,0.029,1,0.0,"Non-cancer illness code, self-reported | Array 3__kidney",0.99,91272,99.14,"Non-cancer illness code, self-reported | Array 3__kidney < 0.11","Non-cancer illness code, self-reported | Array 3 kidney",0,0.0,0,,oesophagus cancer,2253,80017,7,0.88,0.523,0,1
"Non-cancer illness code, self-reported | Array 4 gout","Non-cancer illness code, self-reported | Array 4 gout",0.01,0.0,0.113,0.113,1,0.003,"Non-cancer illness code, self-reported | Array 4__gout",0.98,91252,97.58,"Non-cancer illness code, self-reported | Array 4__gout < 0.50","Non-cancer illness code, self-reported | Array 4 gout",0,0.0,0,,oesophagus cancer,26,80017,0,0.945,0.0,0,0
"Non-cancer illness code, self-reported | Array 5 gout","Non-cancer illness code, self-reported | Array 5 gout",0.004,0.0,0.08,0.08,1,0.002,"Non-cancer illness code, self-reported | Array 5__gout",0.99,91417,98.77,"Non-cancer illness code, self-reported | Array 5__gout < 0.50","Non-cancer illness code, self-reported | Array 5 gout",0,0.0,0,,oesophagus cancer,25,80017,0,0.947,0.0,0,0
"Non-cancer illness code, self-reported | Array 6 gout","Non-cancer illness code, self-reported | Array 6 gout",0.001,0.0,0.058,0.058,1,0.001,"Non-cancer illness code, self-reported | Array 6__gout",0.99,91508,99.39,"Non-cancer illness code, self-reported | Array 6__gout < 0.50","Non-cancer illness code, self-reported | Array 6 gout",0,0.0,0,,oesophagus cancer,36,80017,0,0.925,0.0,0,0
Occlusion of cerebral arteries,Occlusion of cerebral arteries,0.0,0.018,-0.005,-0.005,1,0.0,Occlusion of cerebral arteries,1.0,90341,98.43,-2.60 <= Occlusion of cerebral arteries < 0.04,Occlusion of cerebral arteries,0,0.0,0,,oesophagus cancer,10643,80017,0,0.0,0.0,0,0
Osteoarthritis; localized,Osteoarthritis; localized,0.001,0.018,-0.004,-0.004,1,0.0,Osteoarthritis; localized,1.12,947,1.16,-5.50 <= Osteoarthritis; localized < -0.13,Osteoarthritis; localized,0,0.0,0,,oesophagus cancer,7024,80017,0,0.0,0.0,0,0
"Osteoarthrosis, localized, primary","Osteoarthrosis, localized, primary",0.001,0.218,-0.005,-0.005,1,0.001,"Osteoarthrosis, localized, primary",1.45,943,1.5,"-11.00 <= Osteoarthrosis, localized, primary < -2.90","Osteoarthrosis, localized, primary",0,0.0,0,,oesophagus cancer,1059,80017,0,0.101,0.0,0,0
"Other diseases of respiratory system, NEC","Other diseases of respiratory system, NEC",0.001,0.006,-0.006,-0.006,1,0.0,"Other diseases of respiratory system, NEC",1.01,1693,1.87,"Other diseases of respiratory system, NEC >= 2.10","Other diseases of respiratory system, NEC",0,0.0,0,,oesophagus cancer,35,80017,0,0.927,0.0,0,0
Other disorders of male genital organs,Other disorders of male genital organs,0.0,0.199,-0.004,-0.004,1,0.0,Other disorders of male genital organs,1.0,90778,99.04,-0.17 <= Other disorders of male genital organs < 8.00,Other disorders of male genital organs,0,0.0,0,,oesophagus cancer,4848,80017,2,0.002,-2.39,0,1
Other mental disorder,Other mental disorder,0.002,0.308,-0.0,-0.0,1,0.0,Other mental disorder,1.26,1240,1.7,-3.30 <= Other mental disorder < -2.20,Other mental disorder,0,0.0,0,,oesophagus cancer,260025,80017,77,0.0,-2.869,0,1
Other peripheral nerve disorders,Other peripheral nerve disorders,0.002,0.039,0.008,0.008,1,0.0,Other peripheral nerve disorders,1.11,1588,1.92,-11.00 <= Other peripheral nerve disorders < -0.25,Other peripheral nerve disorders,0,0.0,0,,oesophagus cancer,24926,80017,17,0.0,-1.665,0,1
Other specified cardiac dysrhythmias,Other specified cardiac dysrhythmias,0.0,0.163,0.006,0.006,1,0.0,Other specified cardiac dysrhythmias,0.99,90042,97.72,-0.12 <= Other specified cardiac dysrhythmias < 0.98,Other specified cardiac dysrhythmias,0,0.0,0,,oesophagus cancer,119,80017,0,0.773,0.0,0,0
Other tests,Other tests,0.002,0.012,-0.012,-0.012,1,0.0,Other tests,1.01,88080,97.05,-2.40 <= Other tests < 0.10,Other tests,0,0.0,0,,oesophagus cancer,636209,80017,896,0.0,-0.619,0,1
Overall health rating_Excellent,Overall health rating_Excellent,0.001,0.0,-0.046,-0.046,1,0.001,Overall health rating_Excellent,1.05,81543,93.35,Overall health rating_Excellent < 0.50,Overall health rating_Excellent,0,0.0,0,,oesophagus cancer,6069,80017,1,0.0,-3.714,0,0
Overall health rating_Fair,Overall health rating_Fair,0.001,0.0,0.05,0.05,1,0.001,Overall health rating_Fair,1.24,25623,34.72,Overall health rating_Fair >= 0.50,Overall health rating_Fair,0,0.0,0,,oesophagus cancer,3361,80017,0,0.001,0.0,0,0
Overall health rating_Good,Overall health rating_Good,0.002,0.0,-0.048,-0.048,1,0.001,Overall health rating_Good,1.15,43190,54.33,Overall health rating_Good < 0.50,Overall health rating_Good,0,0.0,0,,oesophagus cancer,16240,80017,10,0.0,-1.812,0,1
Overall health rating_Poor,Overall health rating_Poor,0.003,0.0,0.056,0.056,1,0.001,Overall health rating_Poor,1.6,6756,11.8,Overall health rating_Poor >= 0.50,Overall health rating_Poor,0,0.0,0,,oesophagus cancer,15987,80017,7,0.0,-2.304,0,1
Pneumococcal pneumonia,Pneumococcal pneumonia,0.001,0.1,-0.004,-0.004,1,0.0,Pneumococcal pneumonia,1.0,90494,98.44,-4.70 <= Pneumococcal pneumonia < 5.00,Pneumococcal pneumonia,0,0.0,0,,oesophagus cancer,10528,80017,4,0.0,-2.509,0,1
Pulmonary heart disease,Pulmonary heart disease,0.0,0.012,-0.007,-0.007,1,0.0,Pulmonary heart disease,1.0,90244,98.56,-0.40 <= Pulmonary heart disease < 2.90,Pulmonary heart disease,0,0.0,0,,oesophagus cancer,72211,80017,92,0.0,-0.763,0,1
Pulse wave reflection index,Pulse wave reflection index,0.006,0.661,-0.001,-0.001,1,0.001,Pulse wave reflection index,1.07,4830,5.64,-2.20 <= Pulse wave reflection index < -0.67,Pulse wave reflection index,0,0.0,0,,oesophagus cancer,1707,80017,0,0.025,0.0,0,0
Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,0.0,0.011,-0.008,-0.008,1,0.0,Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,1.0,90738,99.31,Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent < 0.50,Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,0,0.0,0,,oesophagus cancer,333893,80017,712,0.362,-0.02,0,1
"Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching","Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",0.001,0.0,-0.012,-0.012,1,0.0,"Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",1.0,90185,98.9,"Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching < 0.50","Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",0,0.0,0,,oesophagus cancer,327344,80017,622,0.001,-0.187,0,1
Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent,Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent,0.0,0.0,-0.013,-0.013,1,0.0,Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent,1.01,88450,97.26,Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent < 0.50,Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent,0,0.0,0,,oesophagus cancer,1004915,80017,1756,0.0,-0.308,0,1
Qualifications_None,Qualifications_None,0.001,0.005,0.009,0.009,1,0.0,Qualifications_None,1.27,986,1.36,Qualifications_None >= 0.50,Qualifications_None,0,0.0,0,,oesophagus cancer,744,80017,1,0.522,-0.686,0,0
Qualifications_None of the above,Qualifications_None of the above,0.027,0.0,0.032,0.032,1,0.0,Qualifications_None of the above,1.17,21451,27.46,Qualifications_None of the above >= 0.50,Qualifications_None of the above,0,0.0,0,,oesophagus cancer,26,80017,0,0.945,0.0,0,0
Qualifications_NVQ or HND or HNC or equivalent,Qualifications_NVQ or HND or HNC or equivalent,0.0,0.003,0.01,0.01,1,0.0,Qualifications_NVQ or HND or HNC or equivalent,1.1,7423,8.92,Qualifications_NVQ or HND or HNC or equivalent >= 0.50,Qualifications_NVQ or HND or HNC or equivalent,0,0.0,0,,oesophagus cancer,333754,80017,712,0.366,-0.02,0,1
(RA) rheumatoid arthritis genetic risk,(RA) rheumatoid arthritis genetic risk,0.012,0.142,0.003,0.003,1,0.307,(RA) rheumatoid arthritis genetic risk,1.09,6905,8.22,1.50 <= (RA) rheumatoid arthritis genetic risk < 3.70,(RA) rheumatoid arthritis genetic risk,0,0.0,0,,oesophagus cancer,4546,80017,0,0.0,0.0,0,0
Rash and other nonspecific skin eruption,Rash and other nonspecific skin eruption,0.001,0.073,-0.004,-0.004,1,0.0,Rash and other nonspecific skin eruption,1.0,90827,98.91,-1.00 <= Rash and other nonspecific skin eruption < 0.34,Rash and other nonspecific skin eruption,0,0.0,0,,oesophagus cancer,27,80017,0,0.943,0.0,0,0
Rheumatoid arthritis,Rheumatoid arthritis,0.001,0.15,0.004,0.004,1,0.0,Rheumatoid arthritis,1.0,90983,99.08,-3.10 <= Rheumatoid arthritis < 3.60,Rheumatoid arthritis,0,0.0,0,,oesophagus cancer,175254,80017,44,0.0,-3.107,0,1
Septicemia,Septicemia,0.002,0.004,-0.008,-0.008,1,0.0,Septicemia,1.0,90187,98.46,-5.10 <= Septicemia < 0.10,Septicemia,0,0.0,0,,oesophagus cancer,233356,80017,381,0.0,-0.406,0,1
SHBG,SHBG,0.014,0.0,-0.071,-0.058,1,0.051,SHBG,1.68,2712,4.98,SHBG < -1.40,SHBG,0,0.0,0,,oesophagus cancer,10111,80017,10,0.004,-1.129,0,1
Sleep - Overall average,Sleep - Overall average,0.003,0.591,0.009,0.008,1,0.036,Sleep - Overall average,1.02,80971,89.88,-0.12 <= Sleep - Overall average < 2.60,Sleep - Overall average,0,0.0,0,,oesophagus cancer,16183,80017,5,0.0,-2.807,0,1
Syncope and collapse,Syncope and collapse,0.0,0.026,-0.003,-0.003,1,0.0,Syncope and collapse,1.37,988,1.47,-5.90 <= Syncope and collapse < -0.17,Syncope and collapse,0,0.0,0,,oesophagus cancer,25029,80017,21,0.0,-1.366,0,1
(T2D) type 2 diabetes genetic risk,(T2D) type 2 diabetes genetic risk,0.009,0.0,0.02,0.016,1,0.307,(T2D) type 2 diabetes genetic risk,1.11,10538,12.8,(T2D) type 2 diabetes genetic risk >= 1.20,(T2D) type 2 diabetes genetic risk,0,0.0,0,,oesophagus cancer,2719,80017,1,0.019,-2.556,0,0
Testosterone,Testosterone,0.012,0.264,-0.016,-0.013,1,0.091,Testosterone,1.41,7043,10.86,-1.40 <= Testosterone < -0.47,Testosterone,0,0.0,0,,oesophagus cancer,115240,80017,22,0.0,-3.502,0,1
Tobacco use disorder,Tobacco use disorder,0.001,0.22,-0.004,-0.004,1,0.0,Tobacco use disorder,1.25,1364,1.87,-6.60 <= Tobacco use disorder < -2.00,Tobacco use disorder,0,0.0,0,,oesophagus cancer,16391,80017,28,0.119,-0.34,0,1
Triglycerides,Triglycerides,0.017,0.0,0.084,0.068,1,0.039,Triglycerides,1.92,2452,5.13,Triglycerides >= 2.50,Triglycerides,0,0.0,0,,oesophagus cancer,175456,80017,65,0.0,-2.545,0,1
Type 1 diabetes,Type 1 diabetes,0.0,0.003,0.006,0.006,1,0.0,Type 1 diabetes,1.0,90689,98.73,-0.06 <= Type 1 diabetes < 6.30,Type 1 diabetes,0,0.0,0,,oesophagus cancer,104803,80017,14,0.0,-4.017,0,1
Type 2 diabetes,Type 2 diabetes,0.008,0.621,0.001,0.001,1,0.001,Type 2 diabetes,1.44,937,1.47,Type 2 diabetes < -4.70,Type 2 diabetes,0,0.0,0,,oesophagus cancer,242765,80017,92,0.0,-2.513,0,1
Ulcerative colitis,Ulcerative colitis,0.001,0.179,-0.005,-0.005,1,0.0,Ulcerative colitis,1.0,91152,99.36,Ulcerative colitis >= -0.18,Ulcerative colitis,0,0.0,0,,oesophagus cancer,62401,80017,109,0.012,-0.308,0,1
Umbilical hernia,Umbilical hernia,0.001,0.007,-0.005,-0.005,1,0.0,Umbilical hernia,1.0,89838,97.61,-1.20 <= Umbilical hernia < 0.56,Umbilical hernia,0,0.0,0,,oesophagus cancer,6026,80017,6,0.025,-1.119,0,1
Urate,Urate,0.81,0.0,0.214,0.175,1,0.067,Urate,4.68,1792,9.15,2.10 <= Urate < 2.90,Urate,0,0.0,0,,oesophagus cancer,52159,80017,12,0.0,-3.233,0,1
Urea,Urea,0.032,0.0,0.092,0.075,1,0.017,Urea,2.39,1761,4.6,1.90 <= Urea < 2.70,Urea,0,0.0,0,,oesophagus cancer,206791,80017,179,0.0,-1.321,0,1
(VTE) venous thromboembolic disease genetic risk,(VTE) venous thromboembolic disease genetic risk,0.004,0.762,0.001,0.001,1,0.308,(VTE) venous thromboembolic disease genetic risk,1.0,91418,99.89,(VTE) venous thromboembolic disease genetic risk < 3.60,(VTE) venous thromboembolic disease genetic risk,0,0.0,0,,oesophagus cancer,1205,80017,0,0.074,0.0,0,0
"Z13.9 - Special screening examination, unspecified","Z13.9 - Special screening examination, unspecified",0.0,0.099,-0.002,-0.002,1,0.0,"Z13.9 - Special screening examination, unspecified",1.0,91232,99.5,"Z13.9 - Special screening examination, unspecified >= -0.92","Z13.9 - Special screening examination, unspecified",0,0.0,0,,oesophagus cancer,162,80017,1,0.951,1.513,0,0
Z87.4 - Personal history of diseases of the genito-urinary system,Z87.4 - Personal history of diseases of the genito-urinary system,0.002,0.763,0.003,0.003,1,0.0,Z87.4 - Personal history of diseases of the genito-urinary system,0.99,89488,97.12,-2.00 <= Z87.4 - Personal history of diseases of the genito-urinary system < 0.02,Z87.4 - Personal history of diseases of the genito-urinary system,0,0.0,0,,oesophagus cancer,6015,80017,6,0.026,-1.116,0,1
Z96.6 - Presence of orthopaedic joint implants,Z96.6 - Presence of orthopaedic joint implants,0.001,0.001,-0.007,-0.007,1,0.0,Z96.6 - Presence of orthopaedic joint implants,1.33,1458,2.12,-6.30 <= Z96.6 - Presence of orthopaedic joint implants < -0.35,Z96.6 - Presence of orthopaedic joint implants,0,0.0,0,,oesophagus cancer,1189,80017,0,0.076,0.0,0,0
