Query,feature_name,cui,cui_def,KG_Hits,sim_score,feature_level_sum_kg_hits,feature_level_avg_kg_hits,feature_importance,p_val,corr,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Feature Split,sim_score_target_feat,sim_score_target_cui,shortest_path_length,simple_path_length,norm_path_length,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
"Depression, Bipolar",Bipolar and major depression status No Bipolar or Depression,C0005587,"Depression, Bipolar. The depressive stage of bipolar disorder.",0,0.526,0.0,0.0,0.0,0.0,-0.015,0.003,Bipolar and major depression status_No Bipolar or Depression,1.02,158039,Bipolar and major depression status_No Bipolar or Depression < 0.50,0.06,0.06,2,196,1.04,(Cholelithiasis) OR (Gallbladder disease),65786,75025,3,0.0,-5.475,0.0,1.0
Depressive disorder,depression,C0011581,Depressive disorder. An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,0,0.678,1.0,0.3,0.0,0.001,0.008,0.0,"Non-cancer illness code, self-reported | Array 4__depression",1.32,989,"Non-cancer illness code, self-reported | Array 4__depression >= 0.84",0.01,0.01,2,22,0.01,(Cholelithiasis) OR (Gallbladder disease),163800,75025,16,0.0,-4.376,0.0,9.0
Depressive disorder,Bipolar and major depression status Probable Recurrent major depression (severe),C0011581,Depressive disorder. An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,0,0.45,0.0,0.0,0.0,0.009,0.006,0.0,Bipolar and major depression status_Probable Recurrent major depression (severe),1.13,3675,Bipolar and major depression status_Probable Recurrent major depression (severe) >= 0.50,-0.02,-0.02,2,22,0.01,(Cholelithiasis) OR (Gallbladder disease),163800,75025,16,0.0,-4.376,0.0,9.0
Depressive disorder,Bipolar and major depression status Bipolar I Disorder,C0011581,Depressive disorder. An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,0,0.474,0.0,0.0,0.0,0.004,0.007,0.001,Bipolar and major depression status_Bipolar I Disorder,1.5,330,Bipolar and major depression status_Bipolar I Disorder >= 0.50,0.09,0.17,2,22,0.01,(Cholelithiasis) OR (Gallbladder disease),163800,75025,16,0.0,-4.376,0.0,9.0
Depressive disorder,Bipolar and major depression status No Bipolar or Depression,C0011581,Depressive disorder. An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,0,0.275,0.0,0.0,0.0,0.0,-0.015,0.003,Bipolar and major depression status_No Bipolar or Depression,1.02,158039,Bipolar and major depression status_No Bipolar or Depression < 0.50,0.06,0.06,2,22,0.01,(Cholelithiasis) OR (Gallbladder disease),163800,75025,16,0.0,-4.376,0.0,9.0
Depressive disorder,Bipolar and major depression status,C0011581,Depressive disorder. An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,0,0.544,1.0,0.2,0.0,0.0,0.011,0.034,Bipolar and major depression status_None,1.02,144629,Bipolar and major depression status_None >= 0.50,0.1,0.13,2,22,0.01,(Cholelithiasis) OR (Gallbladder disease),163800,75025,16,0.0,-4.376,0.0,9.0
Depressive disorder,Illnesses of siblings 0 Severe depression,C0011581,Depressive disorder. An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,0,0.481,1.0,0.2,0.0,0.001,0.008,0.0,Illnesses of siblings_0_Severe depression,1.1,10993,Illnesses of siblings_0_Severe depression >= 0.50,0.03,0.03,2,22,0.01,(Cholelithiasis) OR (Gallbladder disease),163800,75025,16,0.0,-4.376,0.0,9.0
Depressive disorder,Mental health conditions ever diagnosed by a professional group depression,C0011581,Depressive disorder. An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,0,0.577,1.0,0.3,0.0,0.003,0.008,0.0,Mental health conditions ever diagnosed by a professional__group depression,1.41,1079,0.09 <= Mental health conditions ever diagnosed by a professional__group depression < 0.16,0.0,0.0,2,22,0.01,(Cholelithiasis) OR (Gallbladder disease),163800,75025,16,0.0,-4.376,0.0,9.0
Depressive disorder,Weight change during worst episode of depression Both gained and lost some weight during this time,C0011581,Depressive disorder. An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,0,0.481,1.0,0.2,0.0,0.008,0.006,0.0,Weight change during worst episode of depression_Both gained and lost some weight during this time,1.17,2355,Weight change during worst episode of depression_Both gained and lost some weight during this time >= 0.50,0.11,0.11,2,22,0.01,(Cholelithiasis) OR (Gallbladder disease),163800,75025,16,0.0,-4.376,0.0,9.0
Depressive disorder,Weight change during worst episode of depression Gained weight,C0011581,Depressive disorder. An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities. The mood disturbance is prominent and relatively persistent.,0,0.449,1.0,0.2,0.0,0.0,0.008,0.0,Weight change during worst episode of depression_Gained weight,1.15,5021,Weight change during worst episode of depression_Gained weight >= 0.50,0.09,0.09,2,22,0.01,(Cholelithiasis) OR (Gallbladder disease),163800,75025,16,0.0,-4.376,0.0,9.0
Dermatitis,dermatitis,C0011603,Dermatitis. Any inflammation of the skin.,0,0.909,0.0,0.0,0.0,0.028,-0.005,0.0,"Non-cancer illness code, self-reported | Array 1__dermatitis",1.0,188199,"Non-cancer illness code, self-reported | Array 1__dermatitis < 0.29",0.1,0.1,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),148640,75025,58,0.0,-2.378,0.0,1.0
diabetic eye,diabetic eye,,Eye. The organ of sight constituting a pair of globular organs made up of a three-layered roughly spherical structure specialized for receiving and responding to light.,0,0.573,1.0,0.3,0.0,0.013,0.006,0.0,"Non-cancer illness code, self-reported | Array 2__diabetic eye",1.5,250,"Non-cancer illness code, self-reported | Array 2__diabetic eye >= 0.24",0.22,0.23,2,4,0.0,(Cholelithiasis) OR (Gallbladder disease),38830,75025,13,0.0,-2.599,0.0,1.0
Diagnosis Classification - Diagnosis,Myopia diagnosis,C1546899,Diagnosis Classification - Diagnosis. ,0,0.363,0.0,0.0,0.007,0.0,0.012,0.032,Myopia diagnosis_None,1.02,147766,Myopia diagnosis_None >= 0.50,0.13,0.13,99,116,inf,(Cholelithiasis) OR (Gallbladder disease),541310,75025,1128,0.827,0.039,0.0,5.0
Diagnosis Classification - Diagnosis,Myopia diagnosis non-myopic,C1546899,Diagnosis Classification - Diagnosis. ,0,0.179,0.0,0.0,0.0,0.001,-0.008,0.002,Myopia diagnosis_non-myopic,1.01,159646,Myopia diagnosis_non-myopic < 0.50,0.13,0.13,99,116,inf,(Cholelithiasis) OR (Gallbladder disease),541310,75025,1128,0.827,0.039,0.0,5.0
Diagnosis Classification - Diagnosis,Myopia diagnosis moderate/low myopia,C1546899,Diagnosis Classification - Diagnosis. ,0,0.222,0.0,0.0,0.0,0.002,-0.007,0.0,Myopia diagnosis_moderate/low myopia,1.01,179298,Myopia diagnosis_moderate/low myopia < 0.50,0.1,0.1,99,116,inf,(Cholelithiasis) OR (Gallbladder disease),541310,75025,1128,0.827,0.039,0.0,5.0
Diagnosis Classification - Diagnosis,Method of diagnosis when first had COVID-19 Confirmed by a positive rapid lateral flow test,C1546899,Diagnosis Classification - Diagnosis. ,0,0.212,0.0,0.0,0.0,0.0,-0.015,0.001,Method of diagnosis when first had COVID-19_Confirmed by a positive rapid lateral flow test,1.02,168600,Method of diagnosis when first had COVID-19_Confirmed by a positive rapid lateral flow test < 0.50,-0.03,-0.03,99,116,inf,(Cholelithiasis) OR (Gallbladder disease),541310,75025,1128,0.827,0.039,0.0,5.0
Diagnosis Classification - Diagnosis,Method of diagnosis when first had COVID-19,C1546899,Diagnosis Classification - Diagnosis. ,0,0.42,0.0,0.0,0.0,0.0,0.014,0.034,Method of diagnosis when first had COVID-19_None,1.02,155943,Method of diagnosis when first had COVID-19_None >= 0.50,-0.01,-0.01,99,116,inf,(Cholelithiasis) OR (Gallbladder disease),541310,75025,1128,0.827,0.039,0.0,5.0
Diastolic hypertension,(HT) hypertension genetic risk,C0235222,Diastolic hypertension. Hypertension characterized diastolic blood pressure greater than 90 mmHg on two occasions.,0,0.385,1.0,0.2,0.003,0.002,0.007,0.0,(HT) hypertension genetic risk,1.02,142041,(HT) hypertension genetic risk >= -0.65,0.02,0.05,2,294,3.97,(Cholelithiasis) OR (Gallbladder disease),52743,75025,12,0.0,-3.156,0.0,2.0
Diastolic hypertension,hypertension,C0235222,Diastolic hypertension. Hypertension characterized diastolic blood pressure greater than 90 mmHg on two occasions.,0,0.469,1.0,0.3,0.0,0.0,0.009,0.009,"Non-cancer illness code, self-reported | Array 0__hypertension",1.35,536,"0.18 <= Non-cancer illness code, self-reported | Array 0__hypertension < 0.61",0.1,0.1,2,294,3.97,(Cholelithiasis) OR (Gallbladder disease),52743,75025,12,0.0,-3.156,0.0,2.0
dietary changes in the last 5 years,dietary changes in the last 5 years,,Changing. The act of alteration or modification; changed or altered in form or character.,0,0.251,1.0,0.3,0.017,0.0,-0.033,0.031,Major dietary changes in the last 5 years_No,1.12,82699,Major dietary changes in the last 5 years_No < 0.50,0.09,0.09,99,0,0.0,(Cholelithiasis) OR (Gallbladder disease),691,75025,4,0.986,1.513,0.0,1.0
Dietary Potassium,Potassium in urine,C0162800,Dietary Potassium. Potassium or potassium compounds used in foods or as foods.,0,0.683,0.0,0.0,0.004,0.275,-0.001,0.0,Potassium in urine,1.48,312,0.50 <= Potassium in urine < 0.50,-0.01,-0.01,2,222,8.22,(Cholelithiasis) OR (Gallbladder disease),12099,75025,9,0.0,-1.447,0.0,2.0
Dietary Potassium,Potassium in urine result flag infrequent,C0162800,Dietary Potassium. Potassium or potassium compounds used in foods or as foods.,0,0.49,0.0,0.0,0.0,0.044,0.005,0.001,Potassium in urine result flag_infrequent_,1.0,189607,All values,0.03,0.03,2,222,8.22,(Cholelithiasis) OR (Gallbladder disease),12099,75025,9,0.0,-1.447,0.0,2.0
Dietary Supplements,Mineral and other dietary supplements None of the above,C0242295,"Dietary Supplements. Products in capsule, tablet or liquid form that provide dietary ingredients, and that are intended to be taken by mouth to increase the intake of nutrients. Dietary supplements can include macronutrients, such as proteins, carbohydrates, and fats; and/or MICRONUTRIENTS, such as VITAMINS; MINERALS; and PHYTOCHEMICALS.",0,0.702,0.0,0.0,0.024,0.0,0.016,0.027,Mineral and other dietary supplements_None of the above,1.05,103425,Mineral and other dietary supplements_None of the above >= 0.50,0.04,0.04,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),126244,75025,43,0.0,-2.574,0.0,11.0
Dietary Supplements,Mineral and other dietary supplements Glucosamine,C0242295,"Dietary Supplements. Products in capsule, tablet or liquid form that provide dietary ingredients, and that are intended to be taken by mouth to increase the intake of nutrients. Dietary supplements can include macronutrients, such as proteins, carbohydrates, and fats; and/or MICRONUTRIENTS, such as VITAMINS; MINERALS; and PHYTOCHEMICALS.",0,0.557,0.0,0.0,0.001,0.0,-0.009,0.001,Mineral and other dietary supplements_Glucosamine,1.01,177773,Mineral and other dietary supplements_Glucosamine < 0.50,0.03,0.03,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),126244,75025,43,0.0,-2.574,0.0,11.0
Dietary Supplements,Mineral and other dietary supplements Zinc|Selenium,C0242295,"Dietary Supplements. Products in capsule, tablet or liquid form that provide dietary ingredients, and that are intended to be taken by mouth to increase the intake of nutrients. Dietary supplements can include macronutrients, such as proteins, carbohydrates, and fats; and/or MICRONUTRIENTS, such as VITAMINS; MINERALS; and PHYTOCHEMICALS.",0,0.581,0.0,0.0,0.0,0.034,0.005,0.001,Mineral and other dietary supplements_Zinc|Selenium,1.53,158,Mineral and other dietary supplements_Zinc|Selenium >= 0.50,0.03,0.03,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),126244,75025,43,0.0,-2.574,0.0,11.0
Dietary Supplements,Mineral and other dietary supplements Fish oil (including cod liver oil)|Glucosamine|Calcium|Zinc|Selenium,C0242295,"Dietary Supplements. Products in capsule, tablet or liquid form that provide dietary ingredients, and that are intended to be taken by mouth to increase the intake of nutrients. Dietary supplements can include macronutrients, such as proteins, carbohydrates, and fats; and/or MICRONUTRIENTS, such as VITAMINS; MINERALS; and PHYTOCHEMICALS.",0,0.575,0.0,0.0,0.0,0.021,0.005,0.001,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Calcium|Zinc|Selenium,1.54,178,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Calcium|Zinc|Selenium >= 0.50,0.09,0.09,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),126244,75025,43,0.0,-2.574,0.0,11.0
Dietary Supplements,Mineral and other dietary supplements Fish oil (including cod liver oil)|Glucosamine|Selenium,C0242295,"Dietary Supplements. Products in capsule, tablet or liquid form that provide dietary ingredients, and that are intended to be taken by mouth to increase the intake of nutrients. Dietary supplements can include macronutrients, such as proteins, carbohydrates, and fats; and/or MICRONUTRIENTS, such as VITAMINS; MINERALS; and PHYTOCHEMICALS.",0,0.584,0.0,0.0,0.0,0.004,-0.007,0.0,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Selenium,1.0,188917,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Selenium < 0.50,0.02,0.02,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),126244,75025,43,0.0,-2.574,0.0,11.0
Dietary Supplements,Mineral and other dietary supplements Glucosamine|Selenium,C0242295,"Dietary Supplements. Products in capsule, tablet or liquid form that provide dietary ingredients, and that are intended to be taken by mouth to increase the intake of nutrients. Dietary supplements can include macronutrients, such as proteins, carbohydrates, and fats; and/or MICRONUTRIENTS, such as VITAMINS; MINERALS; and PHYTOCHEMICALS.",0,0.523,0.0,0.0,0.0,0.042,-0.005,0.0,Mineral and other dietary supplements_Glucosamine|Selenium,1.0,189378,Mineral and other dietary supplements_Glucosamine|Selenium < 0.50,0.0,0.0,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),126244,75025,43,0.0,-2.574,0.0,11.0
Dietary Supplements,Mineral and other dietary supplements Iron,C0242295,"Dietary Supplements. Products in capsule, tablet or liquid form that provide dietary ingredients, and that are intended to be taken by mouth to increase the intake of nutrients. Dietary supplements can include macronutrients, such as proteins, carbohydrates, and fats; and/or MICRONUTRIENTS, such as VITAMINS; MINERALS; and PHYTOCHEMICALS.",0,0.581,0.0,0.0,0.0,0.001,0.008,0.0,Mineral and other dietary supplements_Iron,1.24,2073,Mineral and other dietary supplements_Iron >= 0.50,-0.03,-0.03,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),126244,75025,43,0.0,-2.574,0.0,11.0
Dietary Supplements,Mineral and other dietary supplements Fish oil (including cod liver oil)|Glucosamine|Calcium|Selenium,C0242295,"Dietary Supplements. Products in capsule, tablet or liquid form that provide dietary ingredients, and that are intended to be taken by mouth to increase the intake of nutrients. Dietary supplements can include macronutrients, such as proteins, carbohydrates, and fats; and/or MICRONUTRIENTS, such as VITAMINS; MINERALS; and PHYTOCHEMICALS.",0,0.583,0.0,0.0,0.0,0.019,-0.005,0.0,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Calcium|Selenium,1.0,189432,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Calcium|Selenium < 0.50,0.09,0.09,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),126244,75025,43,0.0,-2.574,0.0,11.0
Dietary Supplements,Mineral and other dietary supplements Fish oil (including cod liver oil)|Glucosamine|Calcium,C0242295,"Dietary Supplements. Products in capsule, tablet or liquid form that provide dietary ingredients, and that are intended to be taken by mouth to increase the intake of nutrients. Dietary supplements can include macronutrients, such as proteins, carbohydrates, and fats; and/or MICRONUTRIENTS, such as VITAMINS; MINERALS; and PHYTOCHEMICALS.",0,0.571,0.0,0.0,0.0,0.01,-0.006,0.0,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Calcium,1.0,187111,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine|Calcium < 0.50,0.13,0.13,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),126244,75025,43,0.0,-2.574,0.0,11.0
Dietary Supplements,Mineral and other dietary supplements Fish oil (including cod liver oil)|Glucosamine,C0242295,"Dietary Supplements. Products in capsule, tablet or liquid form that provide dietary ingredients, and that are intended to be taken by mouth to increase the intake of nutrients. Dietary supplements can include macronutrients, such as proteins, carbohydrates, and fats; and/or MICRONUTRIENTS, such as VITAMINS; MINERALS; and PHYTOCHEMICALS.",0,0.528,0.0,0.0,0.0,0.0,-0.011,0.0,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine,1.01,172188,Mineral and other dietary supplements_Fish oil (including cod liver oil)|Glucosamine < 0.50,0.05,0.05,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),126244,75025,43,0.0,-2.574,0.0,11.0
Dietary Supplements,Mineral and other dietary supplements Fish oil (including cod liver oil),C0242295,"Dietary Supplements. Products in capsule, tablet or liquid form that provide dietary ingredients, and that are intended to be taken by mouth to increase the intake of nutrients. Dietary supplements can include macronutrients, such as proteins, carbohydrates, and fats; and/or MICRONUTRIENTS, such as VITAMINS; MINERALS; and PHYTOCHEMICALS.",0,0.562,0.0,0.0,0.0,0.0,-0.008,0.003,Mineral and other dietary supplements_Fish oil (including cod liver oil),1.01,159331,Mineral and other dietary supplements_Fish oil (including cod liver oil) < 0.50,0.03,0.03,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),126244,75025,43,0.0,-2.574,0.0,11.0
diet - supply,Variation in diet Sometimes,C1549512,"diet - supply. <p>Diet services are supply services, with some aspects resembling Medication services: the detail of the diet is given as a description of the Material associated via Participation.typeCode=""product"". Medically relevant diet types may be communicated in the Diet.code attribute using domain ActDietCode, however, the detail of the food supplied and the various combinations of dishes should be communicated as Material instances.</p><b>Deprecation Note</b><b>Class:</b>Use either the Supply class (if dealing with what should be given to the patient) or SubstanceAdministration class (if dealing with what the patient should consume)<b>energyQuantity:</b>This quantity can be conveyed by using a Content relationship with a quantity attribute expressing the calories<p>**carbohydrateQuantity:**This quantity can be conveyed using a Content relationship to an Entity with a code of carbohydrate and a quantity attribute on the content relationship.</p>",0,0.461,1.0,0.2,0.001,0.001,0.008,0.03,Variation in diet_Sometimes,1.02,111016,Variation in diet_Sometimes >= 0.50,0.14,0.22,99,282,inf,(Cholelithiasis) OR (Gallbladder disease),25422,75025,29,0.0,-0.83,0.0,4.0
diet - supply,Variation in diet,C1549512,"diet - supply. <p>Diet services are supply services, with some aspects resembling Medication services: the detail of the diet is given as a description of the Material associated via Participation.typeCode=""product"". Medically relevant diet types may be communicated in the Diet.code attribute using domain ActDietCode, however, the detail of the food supplied and the various combinations of dishes should be communicated as Material instances.</p><b>Deprecation Note</b><b>Class:</b>Use either the Supply class (if dealing with what should be given to the patient) or SubstanceAdministration class (if dealing with what the patient should consume)<b>energyQuantity:</b>This quantity can be conveyed by using a Content relationship with a quantity attribute expressing the calories<p>**carbohydrateQuantity:**This quantity can be conveyed using a Content relationship to an Entity with a code of carbohydrate and a quantity attribute on the content relationship.</p>",0,0.524,1.0,0.2,0.0,0.043,0.005,0.001,Variation in diet_Do not know,1.23,769,Variation in diet_Do not know >= 0.50,0.12,0.17,99,282,inf,(Cholelithiasis) OR (Gallbladder disease),25422,75025,29,0.0,-0.83,0.0,4.0
diet - supply,Variation in diet Never/rarely,C1549512,"diet - supply. <p>Diet services are supply services, with some aspects resembling Medication services: the detail of the diet is given as a description of the Material associated via Participation.typeCode=""product"". Medically relevant diet types may be communicated in the Diet.code attribute using domain ActDietCode, however, the detail of the food supplied and the various combinations of dishes should be communicated as Material instances.</p><b>Deprecation Note</b><b>Class:</b>Use either the Supply class (if dealing with what should be given to the patient) or SubstanceAdministration class (if dealing with what the patient should consume)<b>energyQuantity:</b>This quantity can be conveyed by using a Content relationship with a quantity attribute expressing the calories<p>**carbohydrateQuantity:**This quantity can be conveyed using a Content relationship to an Entity with a code of carbohydrate and a quantity attribute on the content relationship.</p>",0,0.413,1.0,0.2,0.0,0.0,-0.014,0.01,Variation in diet_Never/rarely,1.03,130432,Variation in diet_Never/rarely < 0.50,0.06,0.11,99,282,inf,(Cholelithiasis) OR (Gallbladder disease),25422,75025,29,0.0,-0.83,0.0,4.0
diet - supply,Variation in diet Often,C1549512,"diet - supply. <p>Diet services are supply services, with some aspects resembling Medication services: the detail of the diet is given as a description of the Material associated via Participation.typeCode=""product"". Medically relevant diet types may be communicated in the Diet.code attribute using domain ActDietCode, however, the detail of the food supplied and the various combinations of dishes should be communicated as Material instances.</p><b>Deprecation Note</b><b>Class:</b>Use either the Supply class (if dealing with what should be given to the patient) or SubstanceAdministration class (if dealing with what the patient should consume)<b>energyQuantity:</b>This quantity can be conveyed by using a Content relationship with a quantity attribute expressing the calories<p>**carbohydrateQuantity:**This quantity can be conveyed using a Content relationship to an Entity with a code of carbohydrate and a quantity attribute on the content relationship.</p>",0,0.46,1.0,0.2,0.0,0.0,0.008,0.001,Variation in diet_Often,1.08,16436,Variation in diet_Often >= 0.50,0.12,0.2,99,282,inf,(Cholelithiasis) OR (Gallbladder disease),25422,75025,29,0.0,-0.83,0.0,4.0
Diet therapy,Variation in diet Sometimes,C0012159,Diet therapy. Adjusting the quantity and quality of food intake to improve health status of an individual. This term does not include the methods of food intake (NUTRITIONAL SUPPORT).,0,0.579,1.0,0.2,0.001,0.001,0.008,0.03,Variation in diet_Sometimes,1.02,111016,Variation in diet_Sometimes >= 0.50,0.14,0.22,2,236,1.77,(Cholelithiasis) OR (Gallbladder disease),178830,75025,494,1.0,0.446,0.0,4.0
Diet therapy,Variation in diet,C0012159,Diet therapy. Adjusting the quantity and quality of food intake to improve health status of an individual. This term does not include the methods of food intake (NUTRITIONAL SUPPORT).,0,0.711,1.0,0.2,0.0,0.043,0.005,0.001,Variation in diet_Do not know,1.23,769,Variation in diet_Do not know >= 0.50,0.12,0.17,2,236,1.77,(Cholelithiasis) OR (Gallbladder disease),178830,75025,494,1.0,0.446,0.0,4.0
Diet therapy,Variation in diet Never/rarely,C0012159,Diet therapy. Adjusting the quantity and quality of food intake to improve health status of an individual. This term does not include the methods of food intake (NUTRITIONAL SUPPORT).,0,0.517,1.0,0.2,0.0,0.0,-0.014,0.01,Variation in diet_Never/rarely,1.03,130432,Variation in diet_Never/rarely < 0.50,0.06,0.11,2,236,1.77,(Cholelithiasis) OR (Gallbladder disease),178830,75025,494,1.0,0.446,0.0,4.0
Diet therapy,Variation in diet Often,C0012159,Diet therapy. Adjusting the quantity and quality of food intake to improve health status of an individual. This term does not include the methods of food intake (NUTRITIONAL SUPPORT).,0,0.574,1.0,0.2,0.0,0.0,0.008,0.001,Variation in diet_Often,1.08,16436,Variation in diet_Often >= 0.50,0.12,0.2,2,236,1.77,(Cholelithiasis) OR (Gallbladder disease),178830,75025,494,1.0,0.446,0.0,4.0
Digestive System Part,Benign neoplasm of other parts of digestive system,C1517465,Digestive System Part. A term that refers to any anatomic structure that is part of the digestive system.,0,0.591,0.0,0.0,0.0,0.04,0.009,0.001,Benign neoplasm of other parts of digestive system,1.65,307,1.90 <= Benign neoplasm of other parts of digestive system < 3.50,0.3,0.3,99,31,inf,(Cholelithiasis) OR (Gallbladder disease),39221,75025,465,1.0,2.548,0.0,1.0
Disability,"Long-standing illness, disability or infirmity",C0231170,Disability. Any physical or mental impairment that interferes with an individual's ability to perform desired activities.,0,0.495,0.0,0.0,0.026,0.0,0.043,0.015,"Long-standing illness, disability or infirmity_Yes",1.18,72176,"Long-standing illness, disability or infirmity_Yes >= 0.50",0.14,0.14,2,0,0.0,(Cholelithiasis) OR (Gallbladder disease),471812,75025,146,0.0,-2.712,0.0,1.0
disc,disc,,"Disks (device). Any device component shaped like a disk, especially those used for data storage.",0,0.628,0.0,0.0,0.0,0.046,0.004,0.0,"Non-cancer illness code, self-reported | Array 0__disc",1.19,900,"0.33 <= Non-cancer illness code, self-reported | Array 0__disc < 0.72",0.09,0.26,2,153,0.34,(Cholelithiasis) OR (Gallbladder disease),116647,75025,43,0.0,-2.46,0.0,1.0
Disc - Body Part,disc,C1556138,Disc - Body Part. Any body structure resembling a flat circular plate.,0,0.76,0.0,0.0,0.0,0.046,0.004,0.0,"Non-cancer illness code, self-reported | Array 0__disc",1.19,900,"0.33 <= Non-cancer illness code, self-reported | Array 0__disc < 0.72",0.09,0.26,99,114,inf,(Cholelithiasis) OR (Gallbladder disease),1309,75025,0,0.07,0.0,0.0,0.0
Discipline of Nursing,"Qualifications College or University degree|Other professional qualifications eg: nursing, teaching",C0028677,"Discipline of Nursing. The field of nursing care concerned with the promotion, maintenance, and restoration of health.",0,0.425,0.0,0.0,0.002,0.0,-0.013,0.0,"Qualifications_College or University degree|Other professional qualifications eg: nursing, teaching",1.01,184593,"Qualifications_College or University degree|Other professional qualifications eg: nursing, teaching < 0.50",-0.02,-0.02,3,317,63.4,(Cholelithiasis) OR (Gallbladder disease),967515,75025,310,0.0,-2.662,0.0,7.0
Discipline of Nursing,"Qualifications Other professional qualifications eg: nursing, teaching",C0028677,"Discipline of Nursing. The field of nursing care concerned with the promotion, maintenance, and restoration of health.",0,0.496,0.0,0.0,0.001,0.032,0.005,0.001,"Qualifications_Other professional qualifications eg: nursing, teaching",1.06,10682,"Qualifications_Other professional qualifications eg: nursing, teaching >= 0.50",0.0,0.0,3,317,63.4,(Cholelithiasis) OR (Gallbladder disease),967515,75025,310,0.0,-2.662,0.0,7.0
Discipline of Nursing,"Qualifications A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",C0028677,"Discipline of Nursing. The field of nursing care concerned with the promotion, maintenance, and restoration of health.",0,0.319,0.0,0.0,0.0,0.004,-0.007,0.0,"Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching",1.0,186063,"Qualifications_A levels/AS levels or equivalent|O levels/GCSEs or equivalent|Other professional qualifications eg: nursing, teaching < 0.50",-0.06,-0.06,3,317,63.4,(Cholelithiasis) OR (Gallbladder disease),967515,75025,310,0.0,-2.662,0.0,7.0
Discipline of Nursing,"Qualifications A levels/AS levels or equivalent|Other professional qualifications eg: nursing, teaching",C0028677,"Discipline of Nursing. The field of nursing care concerned with the promotion, maintenance, and restoration of health.",0,0.357,0.0,0.0,0.0,0.048,-0.005,0.001,"Qualifications_A levels/AS levels or equivalent|Other professional qualifications eg: nursing, teaching",1.0,188437,"Qualifications_A levels/AS levels or equivalent|Other professional qualifications eg: nursing, teaching < 0.50",-0.06,-0.06,3,317,63.4,(Cholelithiasis) OR (Gallbladder disease),967515,75025,310,0.0,-2.662,0.0,7.0
Discipline of Nursing,"Qualifications College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent|CSEs or equivalent|Other professional qualifications eg: nursing, teaching",C0028677,"Discipline of Nursing. The field of nursing care concerned with the promotion, maintenance, and restoration of health.",0,0.283,0.0,0.0,0.0,0.006,-0.006,0.0,"Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent|CSEs or equivalent|Other professional qualifications eg: nursing, teaching",1.0,188429,"Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent|CSEs or equivalent|Other professional qualifications eg: nursing, teaching < 0.50",-0.03,-0.03,3,317,63.4,(Cholelithiasis) OR (Gallbladder disease),967515,75025,310,0.0,-2.662,0.0,7.0
