name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split
Age high blood pressure diagnosed_28,8e-05,0.01396,0.008,0.008,1,3e-05,Age high blood pressure diagnosed_28,1.0,91478,99.79,Age high blood pressure diagnosed_28 < 0.50
"Non-cancer illness code, self-reported | Array 1 dvt",7e-05,0.0,0.021,0.021,1,0.0002,"Non-cancer illness code, self-reported | Array 1__dvt",1.55,1014,1.71,"0.18 <= Non-cancer illness code, self-reported | Array 1__dvt < 0.37"
Actinic keratosis,7e-05,0.17149,-0.006,-0.006,1,0.00016,Actinic keratosis,1.0,90893,99.04,-0.75 <= Actinic keratosis < 6.00
"Non-cancer illness code, self-reported | Array 1 venous",7e-05,0.0,0.02,0.02,1,0.00017,"Non-cancer illness code, self-reported | Array 1__venous",1.56,1022,1.74,"Non-cancer illness code, self-reported | Array 1__venous >= 0.19"
Age high blood pressure diagnosed_51,7e-05,0.00016,0.012,0.012,1,7e-05,Age high blood pressure diagnosed_51,1.0,91044,99.12,Age high blood pressure diagnosed_51 < 0.50
"Non-cancer illness code, self-reported | Array 0 fracture",7e-05,0.01587,-0.009,-0.009,1,8e-05,"Non-cancer illness code, self-reported | Array 0__fracture",1.0,91242,99.78,"Non-cancer illness code, self-reported | Array 0__fracture < 0.15"
"Non-cancer illness code, self-reported | Array 4 diabetes",7e-05,0.00082,0.011,0.011,1,5e-05,"Non-cancer illness code, self-reported | Array 4__diabetes",1.0,91359,99.59,"Non-cancer illness code, self-reported | Array 4__diabetes < 0.25"
"Non-cancer illness code, self-reported | Array 6 urinary",7e-05,0.00067,0.012,0.012,1,5e-05,"Non-cancer illness code, self-reported | Array 6__urinary",1.0,91549,99.88,"Non-cancer illness code, self-reported | Array 6__urinary < 0.36"
"Non-cancer illness code, self-reported | Array 4 pneumonia",7e-05,0.00011,0.013,0.013,1,6e-05,"Non-cancer illness code, self-reported | Array 4__pneumonia",1.0,91468,99.73,"Non-cancer illness code, self-reported | Array 4__pneumonia < 0.50"
Treatment/medication code | Array 0 calcichew,7e-05,0.11269,-0.005,-0.005,1,3e-05,Treatment/medication code | Array 0__calcichew,1.0,91330,99.8,Treatment/medication code | Array 0__calcichew < 0.18
"Non-cancer illness code, self-reported | Array 4 bronchitis",7e-05,0.00587,0.009,0.009,1,3e-05,"Non-cancer illness code, self-reported | Array 4__bronchitis",1.0,91526,99.86,"Non-cancer illness code, self-reported | Array 4__bronchitis < 0.86"
"Non-cancer illness code, self-reported | Array 5 cholelithiasis",7e-05,2e-05,0.014,0.014,1,7e-05,"Non-cancer illness code, self-reported | Array 5__cholelithiasis",1.0,91507,99.78,"Non-cancer illness code, self-reported | Array 5__cholelithiasis < 0.22"
Treatment/medication code | Array 0 granules,7e-05,0.0763,-0.006,-0.006,1,4e-05,Treatment/medication code | Array 0__granules,1.0,91499,99.96,Treatment/medication code | Array 0__granules < 0.21
"Non-cancer illness code, self-reported | Array 2 stomach",7e-05,0.02903,0.007,0.007,1,2e-05,"Non-cancer illness code, self-reported | Array 2__stomach",1.0,91357,99.64,"Non-cancer illness code, self-reported | Array 2__stomach < 0.23"
Treatment/medication code | Array 0 indomethacin,7e-05,0.0,0.023,0.023,1,0.00016,Treatment/medication code | Array 0__indomethacin,1.0,91558,99.84,Treatment/medication code | Array 0__indomethacin < 0.45
"Non-cancer illness code, self-reported | Array 1 oesophagitis barretts",7e-05,0.06104,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 1__oesophagitis barretts",1.0,91487,99.83,"Non-cancer illness code, self-reported | Array 1__oesophagitis barretts < 0.22"
"Non-cancer illness code, self-reported | Array 4 bladder",7e-05,0.0675,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 4__bladder",1.0,91433,99.75,"Non-cancer illness code, self-reported | Array 4__bladder < 0.12"
"Non-cancer illness code, self-reported | Array 3 uterine",7e-05,0.08469,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 3__uterine",1.0,91447,99.77,"Non-cancer illness code, self-reported | Array 3__uterine < 0.14"
"Non-cancer illness code, self-reported | Array 5 allergy",6e-05,0.02589,0.008,0.008,1,5e-05,"Non-cancer illness code, self-reported | Array 5__allergy",1.0,91461,99.77,"Non-cancer illness code, self-reported | Array 5__allergy < 0.18"
Lymphadenitis,6e-05,0.19306,-0.002,-0.002,1,0.00023,Lymphadenitis,1.0,90675,99.13,-0.62 <= Lymphadenitis < 0.41
"Non-cancer illness code, self-reported | Array 2 femur",6e-05,0.11686,0.005,0.005,1,1e-05,"Non-cancer illness code, self-reported | Array 2__femur",1.0,91556,99.93,"Non-cancer illness code, self-reported | Array 2__femur < 0.32"
"Non-cancer illness code, self-reported | Array 6 tissue problem",6e-05,0.00194,0.01,0.01,1,4e-05,"Non-cancer illness code, self-reported | Array 6__tissue problem",1.0,91555,99.9,"Non-cancer illness code, self-reported | Array 6__tissue problem < 0.20"
(non-UK origin) Country of Birth ghana,6e-05,0.01288,0.008,0.008,1,3e-05,(non-UK origin) Country of Birth__ghana,1.0,91410,99.69,(non-UK origin) Country of Birth__ghana < 0.50
"Non-cancer illness code, self-reported | Array 0 rheumatoid arthritis",6e-05,0.01135,-0.008,-0.008,1,4e-05,"Non-cancer illness code, self-reported | Array 0__rheumatoid arthritis",1.0,91327,99.85,"Non-cancer illness code, self-reported | Array 0__rheumatoid arthritis < 0.30"
"Non-cancer illness code, self-reported | Array 3 thrombosis dvt",6e-05,0.0,0.021,0.021,1,0.00015,"Non-cancer illness code, self-reported | Array 3__thrombosis dvt",1.0,91494,99.69,"Non-cancer illness code, self-reported | Array 3__thrombosis dvt < 0.19"
Job code at visit valuers assessors,6e-05,0.03462,0.007,0.007,1,2e-05,Job code at visit__valuers assessors,1.0,91446,99.76,Job code at visit__valuers assessors < 0.22
Treatment/medication code | Array 0 adalate,6e-05,0.0022,0.01,0.01,1,4e-05,Treatment/medication code | Array 0__adalate,1.0,91449,99.73,Treatment/medication code | Array 0__adalate < 0.25
"Non-cancer illness code, self-reported | Array 5 kidney",6e-05,0.0,0.02,0.02,1,0.00016,"Non-cancer illness code, self-reported | Array 5__kidney",1.0,91484,99.68,"Non-cancer illness code, self-reported | Array 5__kidney < 0.11"
Treatment/medication code | Array 0 hydroxocobalamin,6e-05,0.15138,0.003,0.003,1,2e-05,Treatment/medication code | Array 0__hydroxocobalamin,1.0,91548,99.93,Treatment/medication code | Array 0__hydroxocobalamin < 0.22
"Non-cancer illness code, self-reported | Array 5 ulcer",6e-05,0.00375,0.01,0.01,1,3e-05,"Non-cancer illness code, self-reported | Array 5__ulcer",1.0,91547,99.89,"Non-cancer illness code, self-reported | Array 5__ulcer < 0.50"
Treatment/medication code | Array 0 epanutin,6e-05,0.15888,-0.005,-0.005,1,1e-05,Treatment/medication code | Array 0__epanutin,1.0,91555,99.99,Treatment/medication code | Array 0__epanutin < 0.26
"Non-cancer illness code, self-reported | Array 4 disc",6e-05,0.00081,0.009,0.009,1,7e-05,"Non-cancer illness code, self-reported | Array 4__disc",1.0,91429,99.71,"Non-cancer illness code, self-reported | Array 4__disc < 0.33"
"Non-cancer illness code, self-reported | Array 3 reflux gord",6e-05,0.00039,0.012,0.012,1,6e-05,"Non-cancer illness code, self-reported | Array 3__reflux gord",1.0,90840,98.86,"Non-cancer illness code, self-reported | Array 3__reflux gord < 0.14"
"Non-cancer illness code, self-reported | Array 5 diverticulitis",6e-05,0.19656,0.004,0.004,1,1e-05,"Non-cancer illness code, self-reported | Array 5__diverticulitis",1.0,91530,99.9,"Non-cancer illness code, self-reported | Array 5__diverticulitis < 0.23"
"Non-cancer illness code, self-reported | Array 4 sleep",6e-05,0.00011,0.013,0.013,1,6e-05,"Non-cancer illness code, self-reported | Array 4__sleep",1.0,91530,99.84,"Non-cancer illness code, self-reported | Array 4__sleep < 0.29"
"Non-cancer illness code, self-reported | Array 0 valve",6e-05,0.1865,0.004,0.004,1,2e-05,"Non-cancer illness code, self-reported | Array 0__valve",1.0,91425,99.77,"Non-cancer illness code, self-reported | Array 0__valve < 0.18"
"Non-cancer illness code, self-reported | Array 4 spondylosis",5e-05,0.05248,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 4__spondylosis",1.0,91519,99.87,"Non-cancer illness code, self-reported | Array 4__spondylosis < 0.29"
"Non-cancer illness code, self-reported | Array 2 kidney stone",5e-05,0.07831,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 2__kidney stone",1.0,91360,99.66,"Non-cancer illness code, self-reported | Array 2__kidney stone < 0.12"
"Non-cancer illness code, self-reported | Array 2 duodenal",5e-05,0.03171,0.007,0.007,1,2e-05,"Non-cancer illness code, self-reported | Array 2__duodenal",1.0,91447,99.76,"Non-cancer illness code, self-reported | Array 2__duodenal < 0.29"
"Non-cancer illness code, self-reported | Array 5 unclassifiable",5e-05,0.00111,0.011,0.011,1,5e-05,"Non-cancer illness code, self-reported | Array 5__unclassifiable",1.0,91258,99.44,"Non-cancer illness code, self-reported | Array 5__unclassifiable < 0.50"
"Non-cancer illness code, self-reported | Array 3 urinary tract",5e-05,0.05928,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 3__urinary tract",1.0,91540,99.9,"Non-cancer illness code, self-reported | Array 3__urinary tract < 0.16"
"Non-cancer illness code, self-reported | Array 0 tissue",5e-05,0.0667,-0.006,-0.006,1,5e-05,"Non-cancer illness code, self-reported | Array 0__tissue",1.0,91289,99.78,"Non-cancer illness code, self-reported | Array 0__tissue < 0.18"
"Non-cancer illness code, self-reported | Array 2 stone ureter",5e-05,0.07831,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 2__stone ureter",1.0,91360,99.66,"Non-cancer illness code, self-reported | Array 2__stone ureter < 0.12"
(non-UK origin) Country of Birth barbados,5e-05,0.00892,0.009,0.009,1,3e-05,(non-UK origin) Country of Birth__barbados,1.0,91517,99.85,(non-UK origin) Country of Birth__barbados < 0.50
"Non-cancer illness code, self-reported | Array 3 colitis",5e-05,0.00868,0.008,0.008,1,3e-05,"Non-cancer illness code, self-reported | Array 3__colitis",1.0,91529,99.87,"Non-cancer illness code, self-reported | Array 3__colitis < 0.29"
"Non-cancer illness code, self-reported | Array 3 oesophageal",5e-05,2e-05,0.013,0.013,1,9e-05,"Non-cancer illness code, self-reported | Array 3__oesophageal",1.0,90832,98.83,"Non-cancer illness code, self-reported | Array 3__oesophageal < 0.14"
"Non-cancer illness code, self-reported | Array 3 nasal",5e-05,0.15023,0.005,0.005,1,1e-05,"Non-cancer illness code, self-reported | Array 3__nasal",1.0,91451,99.79,"Non-cancer illness code, self-reported | Array 3__nasal < 0.21"
Job code at visit engineers,5e-05,0.00048,-0.012,-0.012,1,0.00014,Job code at visit__engineers,1.01,88634,97.41,Job code at visit__engineers < 0.12
"Non-cancer illness code, self-reported | Array 6 soft",5e-05,0.00406,0.01,0.01,1,5e-05,"Non-cancer illness code, self-reported | Array 6__soft",1.0,91530,99.86,"Non-cancer illness code, self-reported | Array 6__soft < 0.19"
"Non-cancer illness code, self-reported | Array 3 rheumatic fever",5e-05,0.03135,0.007,0.007,1,2e-05,"Non-cancer illness code, self-reported | Array 3__rheumatic fever",1.0,91537,99.89,"Non-cancer illness code, self-reported | Array 3__rheumatic fever < 0.29"
"Non-cancer illness code, self-reported | Array 4 dermatitis",5e-05,0.00333,0.01,0.01,1,4e-05,"Non-cancer illness code, self-reported | Array 4__dermatitis",1.0,91402,99.66,"Non-cancer illness code, self-reported | Array 4__dermatitis < 0.29"
"Non-cancer illness code, self-reported | Array 1 oesophageal",5e-05,0.15684,-0.004,-0.004,1,2e-05,"Non-cancer illness code, self-reported | Array 1__oesophageal",1.0,90307,98.74,"Non-cancer illness code, self-reported | Array 1__oesophageal < 0.14"
"Non-cancer illness code, self-reported | Array 1 ovarian cyst",5e-05,0.0404,-0.007,-0.007,1,3e-05,"Non-cancer illness code, self-reported | Array 1__ovarian cyst",1.0,91534,99.99,"Non-cancer illness code, self-reported | Array 1__ovarian cyst < 0.23"
"Non-cancer illness code, self-reported | Array 4 anxiety",5e-05,0.01464,0.008,0.008,1,3e-05,"Non-cancer illness code, self-reported | Array 4__anxiety",1.0,91485,99.8,"Non-cancer illness code, self-reported | Array 4__anxiety < 0.22"
"Non-cancer illness code, self-reported | Array 2 appendicitis",5e-05,0.09346,0.006,0.006,1,1e-05,"Non-cancer illness code, self-reported | Array 2__appendicitis",1.0,91433,99.76,"Non-cancer illness code, self-reported | Array 2__appendicitis < 0.50"
"Non-cancer illness code, self-reported | Array 2 prolapse",5e-05,0.17381,-0.004,-0.004,1,1e-05,"Non-cancer illness code, self-reported | Array 2__prolapse",1.0,91528,99.97,"Non-cancer illness code, self-reported | Array 2__prolapse < 0.34"
Mental health conditions ever diagnosed by a professional anxiety,5e-05,0.0,-0.014,-0.014,1,0.00139,Mental health conditions ever diagnosed by a professional__anxiety,1.01,88684,97.61,Mental health conditions ever diagnosed by a professional__anxiety < 0.22
Z98.0 - Intestinal bypass and anastomosis status,5e-05,0.18959,0.002,0.002,1,0.00012,Z98.0 - Intestinal bypass and anastomosis status,1.0,90769,99.31,-0.50 <= Z98.0 - Intestinal bypass and anastomosis status < 0.65
Job code at visit operations technicians,5e-05,0.11292,0.005,0.005,1,1e-05,Job code at visit__operations technicians,1.0,91379,99.69,Job code at visit__operations technicians < 0.32
Duodenal ulcer,5e-05,0.16616,0.008,0.008,1,0.00028,Duodenal ulcer,1.0,90624,98.66,-3.90 <= Duodenal ulcer < 0.13
"Non-cancer illness code, self-reported | Array 0 soft",4e-05,0.09985,-0.006,-0.006,1,5e-05,"Non-cancer illness code, self-reported | Array 0__soft",1.0,91296,99.78,"Non-cancer illness code, self-reported | Array 0__soft < 0.18"
Treatment/medication code | Array 0 epanutin 25mg,4e-05,0.15888,-0.005,-0.005,1,1e-05,Treatment/medication code | Array 0__epanutin 25mg,1.0,91555,99.99,Treatment/medication code | Array 0__epanutin 25mg < 0.26
"Non-cancer illness code, self-reported | Array 3 eye",4e-05,0.15641,0.005,0.005,1,1e-05,"Non-cancer illness code, self-reported | Array 3__eye",1.0,91331,99.64,"Non-cancer illness code, self-reported | Array 3__eye < 0.21"
"Non-cancer illness code, self-reported | Array 3 tuberculosis",4e-05,0.0552,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 3__tuberculosis",1.0,91526,99.88,"Non-cancer illness code, self-reported | Array 3__tuberculosis < 0.29"
Treatment/medication code | Array 0 beconase,4e-05,0.02007,-0.008,-0.008,1,3e-05,Treatment/medication code | Array 0__beconase,1.0,91252,99.77,Treatment/medication code | Array 0__beconase < 0.20
Treatment/medication code | Array 0 05,4e-05,0.03825,-0.007,-0.007,1,5e-05,Treatment/medication code | Array 0__05,1.0,91466,99.95,Treatment/medication code | Array 0__05 < 0.18
Age high blood pressure diagnosed_48,4e-05,0.0,0.017,0.017,1,0.00013,Age high blood pressure diagnosed_48,1.48,1047,1.69,Age high blood pressure diagnosed_48 >= 0.50
"Non-cancer illness code, self-reported | Array 4 hepatitis",4e-05,0.08248,0.006,0.006,1,1e-05,"Non-cancer illness code, self-reported | Array 4__hepatitis",1.0,91559,99.93,"Non-cancer illness code, self-reported | Array 4__hepatitis < 0.50"
"Non-cancer illness code, self-reported | Array 3 allergy anaphylactic",4e-05,0.14448,0.005,0.005,1,1e-05,"Non-cancer illness code, self-reported | Array 3__allergy anaphylactic",1.0,91417,99.75,"Non-cancer illness code, self-reported | Array 3__allergy anaphylactic < 0.18"
"Non-cancer illness code, self-reported | Array 2 biliary",4e-05,0.13345,0.005,0.005,1,1e-05,"Non-cancer illness code, self-reported | Array 2__biliary",1.0,91547,99.92,"Non-cancer illness code, self-reported | Array 2__biliary < 0.20"
"Non-cancer illness code, self-reported | Array 2 peripheral",4e-05,0.02739,0.007,0.007,1,6e-05,"Non-cancer illness code, self-reported | Array 2__peripheral",1.0,91482,99.81,"Non-cancer illness code, self-reported | Array 2__peripheral < 0.22"
"Non-cancer illness code, self-reported | Array 2 injuries",4e-05,0.17726,0.004,0.004,1,1e-05,"Non-cancer illness code, self-reported | Array 2__injuries",1.0,91405,99.74,"Non-cancer illness code, self-reported | Array 2__injuries < 0.20"
"Non-cancer illness code, self-reported | Array 2 peritonitis",4e-05,0.07092,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 2__peritonitis",1.0,91524,99.88,"Non-cancer illness code, self-reported | Array 2__peritonitis < 0.50"
"Non-cancer illness code, self-reported | Array 6 oesophageal",4e-05,0.0044,0.009,0.009,1,4e-05,"Non-cancer illness code, self-reported | Array 6__oesophageal",1.0,91442,99.73,"Non-cancer illness code, self-reported | Array 6__oesophageal < 0.14"
"Non-cancer illness code, self-reported | Array 4 joint disorder",4e-05,0.00044,0.012,0.012,1,5e-05,"Non-cancer illness code, self-reported | Array 4__joint disorder",1.0,91500,99.79,"Non-cancer illness code, self-reported | Array 4__joint disorder < 0.31"
"Non-cancer illness code, self-reported | Array 3 polyps",4e-05,0.172,0.004,0.004,1,3e-05,"Non-cancer illness code, self-reported | Array 3__polyps",1.0,91429,99.77,"Non-cancer illness code, self-reported | Array 3__polyps < 0.17"
"Non-cancer illness code, self-reported | Array 4 hypersensitivity",4e-05,0.09236,0.006,0.006,1,1e-05,"Non-cancer illness code, self-reported | Array 4__hypersensitivity",1.0,91514,99.87,"Non-cancer illness code, self-reported | Array 4__hypersensitivity < 0.23"
"Non-cancer illness code, self-reported | Array 4 sciatica",4e-05,0.0009,0.011,0.011,1,5e-05,"Non-cancer illness code, self-reported | Array 4__sciatica",1.0,91483,99.77,"Non-cancer illness code, self-reported | Array 4__sciatica < 0.50"
Treatment/medication code | Array 0 diovan 40mg,4e-05,0.18234,0.004,0.004,1,1e-05,Treatment/medication code | Array 0__diovan 40mg,1.0,91554,99.93,Treatment/medication code | Array 0__diovan 40mg < 0.25
"Non-cancer illness code, self-reported | Array 2 pylori",4e-05,0.05083,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 2__pylori",1.0,91541,99.9,"Non-cancer illness code, self-reported | Array 2__pylori < 0.29"
"Non-cancer illness code, self-reported | Array 3 gord",4e-05,0.00039,0.012,0.012,1,6e-05,"Non-cancer illness code, self-reported | Array 3__gord",1.0,90840,98.86,"Non-cancer illness code, self-reported | Array 3__gord < 0.14"
"Non-cancer illness code, self-reported | Array 2 hiatus",4e-05,0.03982,0.007,0.007,1,2e-05,"Non-cancer illness code, self-reported | Array 2__hiatus",1.0,91026,99.22,"Non-cancer illness code, self-reported | Array 2__hiatus < 0.29"
"Non-cancer illness code, self-reported | Array 6 allergy",4e-05,0.00058,0.012,0.012,1,5e-05,"Non-cancer illness code, self-reported | Array 6__allergy",1.0,91527,99.84,"Non-cancer illness code, self-reported | Array 6__allergy < 0.22"
"Non-cancer illness code, self-reported | Array 3 breast",4e-05,0.09676,0.005,0.005,1,2e-05,"Non-cancer illness code, self-reported | Array 3__breast",1.0,91555,99.93,"Non-cancer illness code, self-reported | Array 3__breast < 0.36"
Treatment/medication code | Array 0 arcoxia 60mg,3e-05,0.00647,0.009,0.009,1,3e-05,Treatment/medication code | Array 0__arcoxia 60mg,1.0,91551,99.9,Treatment/medication code | Array 0__arcoxia 60mg < 0.26
Overall health rating_Prefer not to answer,3e-05,0.10224,0.005,0.005,1,1e-05,Overall health rating_Prefer not to answer,1.0,91513,99.87,Overall health rating_Prefer not to answer < 0.50
"Non-cancer illness code, self-reported | Array 3 pleurisy",3e-05,0.01073,0.008,0.008,1,3e-05,"Non-cancer illness code, self-reported | Array 3__pleurisy",1.0,91549,99.9,"Non-cancer illness code, self-reported | Array 3__pleurisy < 0.50"
Age high blood pressure diagnosed_21,3e-05,0.00034,0.012,0.012,1,5e-05,Age high blood pressure diagnosed_21,1.0,91526,99.84,Age high blood pressure diagnosed_21 < 0.50
"Non-cancer illness code, self-reported | Array 4 nasal polyps",3e-05,0.0365,0.007,0.007,1,2e-05,"Non-cancer illness code, self-reported | Array 4__nasal polyps",1.0,91543,99.9,"Non-cancer illness code, self-reported | Array 4__nasal polyps < 0.31"
"Non-cancer illness code, self-reported | Array 5 disc",3e-05,3e-05,0.013,0.013,1,0.0001,"Non-cancer illness code, self-reported | Array 5__disc",1.0,91506,99.79,"Non-cancer illness code, self-reported | Array 5__disc < 0.33"
"Non-cancer illness code, self-reported | Array 4 peritonitis",3e-05,0.00053,0.011,0.011,1,5e-05,"Non-cancer illness code, self-reported | Array 4__peritonitis",1.0,91542,99.87,"Non-cancer illness code, self-reported | Array 4__peritonitis < 0.50"
"Non-cancer illness code, self-reported | Array 2 angina",3e-05,0.00995,0.009,0.009,1,3e-05,"Non-cancer illness code, self-reported | Array 2__angina",1.0,91543,99.89,"Non-cancer illness code, self-reported | Array 2__angina < 0.50"
"Non-cancer illness code, self-reported | Array 5 allergy hypersensitivity",3e-05,0.01121,0.008,0.008,1,3e-05,"Non-cancer illness code, self-reported | Array 5__allergy hypersensitivity",1.0,91555,99.91,"Non-cancer illness code, self-reported | Array 5__allergy hypersensitivity < 0.23"
"Non-cancer illness code, self-reported | Array 6 kidney",3e-05,0.0,0.017,0.017,1,0.00011,"Non-cancer illness code, self-reported | Array 6__kidney",1.0,91530,99.8,"Non-cancer illness code, self-reported | Array 6__kidney < 0.35"
"Non-cancer illness code, self-reported | Array 6 bladder",3e-05,0.01318,0.008,0.008,1,3e-05,"Non-cancer illness code, self-reported | Array 6__bladder",1.0,91543,99.89,"Non-cancer illness code, self-reported | Array 6__bladder < 0.60"
"Non-cancer illness code, self-reported | Array 3 tibia",3e-05,0.15888,0.005,0.005,1,1e-05,"Non-cancer illness code, self-reported | Array 3__tibia",1.0,91555,99.93,"Non-cancer illness code, self-reported | Array 3__tibia < 0.32"
"Non-cancer illness code, self-reported | Array 5 arthritis",3e-05,5e-05,0.013,0.013,1,7e-05,"Non-cancer illness code, self-reported | Array 5__arthritis",1.0,91472,99.73,"Non-cancer illness code, self-reported | Array 5__arthritis < 0.20"
Treatment/medication code | Array 0 acid,3e-05,0.07858,-0.008,-0.008,1,5e-05,Treatment/medication code | Array 0__acid,1.0,91421,99.91,Treatment/medication code | Array 0__acid < 0.23
Treatment/medication code | Array 0 ventolin,3e-05,0.13447,-0.005,-0.005,1,1e-05,Treatment/medication code | Array 0__ventolin,1.0,91434,99.89,Treatment/medication code | Array 0__ventolin < 0.24
"Non-cancer illness code, self-reported | Array 5 joint",3e-05,0.10049,0.005,0.005,1,2e-05,"Non-cancer illness code, self-reported | Array 5__joint",1.0,91512,99.87,"Non-cancer illness code, self-reported | Array 5__joint < 0.30"
Treatment/medication code | Array 0 amiloride,3e-05,0.11201,0.006,0.006,1,4e-05,Treatment/medication code | Array 0__amiloride,1.0,91541,99.9,Treatment/medication code | Array 0__amiloride < 0.52
"Non-cancer illness code, self-reported | Array 4 problem cancer",3e-05,0.00313,0.009,0.009,1,5e-05,"Non-cancer illness code, self-reported | Array 4__problem cancer",1.0,91512,99.84,"Non-cancer illness code, self-reported | Array 4__problem cancer < 0.24"
"Non-cancer illness code, self-reported | Array 3 varicose",3e-05,0.061,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 3__varicose",1.0,91541,99.9,"Non-cancer illness code, self-reported | Array 3__varicose < 0.29"
"Non-cancer illness code, self-reported | Array 5 prolapsed disc",3e-05,0.00265,0.01,0.01,1,4e-05,"Non-cancer illness code, self-reported | Array 5__prolapsed disc",1.0,91517,99.84,"Non-cancer illness code, self-reported | Array 5__prolapsed disc < 0.17"
"Non-cancer illness code, self-reported | Array 5 renal kidney",3e-05,0.00031,0.012,0.012,1,6e-05,"Non-cancer illness code, self-reported | Array 5__renal kidney",1.0,91560,99.9,"Non-cancer illness code, self-reported | Array 5__renal kidney < 0.26"
"Non-cancer illness code, self-reported | Array 4 ankle",3e-05,0.04994,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 4__ankle",1.0,91534,99.89,"Non-cancer illness code, self-reported | Array 4__ankle < 0.20"
"Non-cancer illness code, self-reported | Array 2 gestational",3e-05,0.18279,0.004,0.004,1,2e-05,"Non-cancer illness code, self-reported | Array 2__gestational",1.0,91554,99.93,"Non-cancer illness code, self-reported | Array 2__gestational < 0.44"
"Non-cancer illness code, self-reported | Array 2 thyroid",3e-05,0.05359,0.005,0.005,1,2e-05,"Non-cancer illness code, self-reported | Array 2__thyroid",1.0,91533,99.9,"Non-cancer illness code, self-reported | Array 2__thyroid < 0.26"
"Non-cancer illness code, self-reported | Array 2 helicobacter",3e-05,0.05083,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 2__helicobacter",1.0,91541,99.9,"Non-cancer illness code, self-reported | Array 2__helicobacter < 0.29"
"Non-cancer illness code, self-reported | Array 0 disc",2e-05,0.05153,-0.006,-0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 0__disc",1.0,91125,99.63,"Non-cancer illness code, self-reported | Array 0__disc < 0.23"
"Non-cancer illness code, self-reported | Array 5 cancer",2e-05,0.07781,0.004,0.004,1,3e-05,"Non-cancer illness code, self-reported | Array 5__cancer",1.0,91522,99.89,"Non-cancer illness code, self-reported | Array 5__cancer < 0.23"
"Non-cancer illness code, self-reported | Array 0 bladder",2e-05,0.02647,-0.007,-0.007,1,4e-05,"Non-cancer illness code, self-reported | Array 0__bladder",1.0,91235,99.74,"Non-cancer illness code, self-reported | Array 0__bladder < 0.12"
Treatment/medication code | Array 0 diovan,2e-05,0.17047,0.005,0.005,1,1e-05,Treatment/medication code | Array 0__diovan,1.0,91547,99.92,Treatment/medication code | Array 0__diovan < 0.24
"Non-cancer illness code, self-reported | Array 5 hernia",2e-05,6e-05,0.013,0.013,1,7e-05,"Non-cancer illness code, self-reported | Array 5__hernia",1.0,91401,99.62,"Non-cancer illness code, self-reported | Array 5__hernia < 0.25"
"Non-cancer illness code, self-reported | Array 4 fracture",2e-05,0.06671,0.008,0.008,1,5e-05,"Non-cancer illness code, self-reported | Array 4__fracture",1.0,91253,99.49,"Non-cancer illness code, self-reported | Array 4__fracture < 0.13"
Treatment/medication code | Array 0 digoxin,2e-05,0.00332,0.01,0.01,1,4e-05,Treatment/medication code | Array 0__digoxin,1.0,91510,99.83,Treatment/medication code | Array 0__digoxin < 0.93
"Non-cancer illness code, self-reported | Array 6 syndrome",2e-05,0.0,0.016,0.016,1,0.00012,"Non-cancer illness code, self-reported | Array 6__syndrome",1.0,91517,99.78,"Non-cancer illness code, self-reported | Array 6__syndrome < 0.22"
Age high blood pressure diagnosed_24,2e-05,0.14973,0.005,0.005,1,1e-05,Age high blood pressure diagnosed_24,1.0,91548,99.92,Age high blood pressure diagnosed_24 < 0.50
"Non-cancer illness code, self-reported | Array 0 uterine",2e-05,0.00639,-0.01,-0.01,1,0.00013,"Non-cancer illness code, self-reported | Array 0__uterine",1.0,91421,99.95,"Non-cancer illness code, self-reported | Array 0__uterine < 0.14"
"Non-cancer illness code, self-reported | Array 4 cervical spondylosis",2e-05,0.05248,0.006,0.006,1,2e-05,"Non-cancer illness code, self-reported | Array 4__cervical spondylosis",1.0,91519,99.87,"Non-cancer illness code, self-reported | Array 4__cervical spondylosis < 0.29"
"Non-cancer illness code, self-reported | Array 1 cardiomyopathy",2e-05,0.00044,0.012,0.012,1,5e-05,"Non-cancer illness code, self-reported | Array 1__cardiomyopathy",1.0,91531,99.85,"Non-cancer illness code, self-reported | Array 1__cardiomyopathy < 0.50"
