Query,name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split,feature_name,feature_level_sum_kg_hits,sim_score,KG_Hits,cui,Target,Query Count,Target Count,Co-occurrence Count,Cooccurrence P-Value,MI,min_feat_kgHit,feature_level_sum_cooc_hits
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication",0.0,0.024,-0.007,-0.007,1,0.0,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication",1.0,90134,98.69,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication < 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),8270,100459,13,0.022,-0.788,0,1
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication",0.002,0.0,0.03,0.03,1,0.0,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication",1.5,2844,4.67,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_Cholesterol lowering medication|Blood pressure medication",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),222205,100459,251,0.0,-1.265,0,1
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None",0.012,0.0,0.035,0.035,1,0.001,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None",1.05,72610,83.49,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None >= 0.50","Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones_None",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),8277,100459,13,0.022,-0.79,0,1
"Medication for cholesterol, blood pressure or diabetes_Blood pressure medication","Medication for cholesterol, blood pressure or diabetes_Blood pressure medication",0.001,0.0,0.055,0.055,1,0.001,"Medication for cholesterol, blood pressure or diabetes_Blood pressure medication",1.49,9276,15.1,"Medication for cholesterol, blood pressure or diabetes_Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure or diabetes_Blood pressure medication",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),19083,100459,32,0.002,-0.695,0,1
"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication","Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication",0.001,0.0,0.085,0.085,1,0.003,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication",1.58,14743,25.45,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),228428,100459,272,0.0,-1.189,0,1
"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication|Insulin","Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication|Insulin",0.0,0.024,0.007,0.007,1,0.0,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication|Insulin",1.21,1006,1.33,"Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication|Insulin >= 0.50","Medication for cholesterol, blood pressure or diabetes_Cholesterol lowering medication|Blood pressure medication|Insulin",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),713803,100459,986,0.0,-0.975,0,1
"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication","Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication",0.002,0.0,0.055,0.055,1,0.001,"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication",1.49,9276,15.1,"Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication >= 0.50","Medication for cholesterol, blood pressure or diabetes Medication_Blood pressure medication",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),18986,100459,32,0.002,-0.688,0,1
"Medication for cholesterol, blood pressure or diabetes Medication_None","Medication for cholesterol, blood pressure or diabetes Medication_None",0.066,0.0,-0.032,-0.032,1,0.001,"Medication for cholesterol, blood pressure or diabetes Medication_None",1.05,71609,82.11,"Medication for cholesterol, blood pressure or diabetes Medication_None < 0.50","Medication for cholesterol, blood pressure or diabetes Medication_None",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),18973,100459,32,0.002,-0.687,0,1
"Medication for cholesterol, blood pressure or diabetes_None of the above","Medication for cholesterol, blood pressure or diabetes_None of the above",0.024,0.0,-0.072,-0.072,1,0.003,"Medication for cholesterol, blood pressure or diabetes_None of the above",1.18,53208,68.74,"Medication for cholesterol, blood pressure or diabetes_None of the above < 0.50","Medication for cholesterol, blood pressure or diabetes_None of the above",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),20327,100459,41,0.028,-0.429,0,1
Microalbumin in urine,Microalbumin in urine,0.028,0.0,0.016,0.014,1,0.022,Microalbumin in urine,2.64,1415,4.07,0.85 <= Microalbumin in urine < 7.50,Microalbumin in urine,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),899,100459,2,0.559,-0.287,0,1
(MS) multiple sclerosis genetic risk,(MS) multiple sclerosis genetic risk,0.019,0.001,0.011,0.009,1,0.307,(MS) multiple sclerosis genetic risk,1.18,2699,3.48,(MS) multiple sclerosis genetic risk >= 2.10,(MS) multiple sclerosis genetic risk,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),3798,100459,6,0.111,-0.781,0,1
Myocardial infarction,Myocardial infarction,0.0,0.01,-0.004,-0.004,1,0.001,Myocardial infarction,1.24,1129,1.53,-4.10 <= Myocardial infarction < -0.88,Myocardial infarction,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),294250,100459,452,0.0,-0.822,0,1
"Non-cancer illness code, self-reported | Array 1 asthma","Non-cancer illness code, self-reported | Array 1 asthma",0.0,0.0,0.026,0.026,1,0.0,"Non-cancer illness code, self-reported | Array 1__asthma",1.36,4004,5.94,"Non-cancer illness code, self-reported | Array 1__asthma >= 0.50","Non-cancer illness code, self-reported | Array 1 asthma",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),719,100459,1,0.419,-0.965,0,0
"Non-cancer illness code, self-reported | Array 1 atrial","Non-cancer illness code, self-reported | Array 1 atrial",0.0,0.0,0.022,0.022,1,0.0,"Non-cancer illness code, self-reported | Array 1__atrial",1.0,91151,99.06,"Non-cancer illness code, self-reported | Array 1__atrial < 0.29","Non-cancer illness code, self-reported | Array 1 atrial",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),554,100459,1,0.556,-0.589,0,0
"Non-cancer illness code, self-reported | Array 1 chronic bronchitis","Non-cancer illness code, self-reported | Array 1 chronic bronchitis",0.0,0.0,0.014,0.014,1,0.0,"Non-cancer illness code, self-reported | Array 1__chronic bronchitis",1.0,90908,98.89,"Non-cancer illness code, self-reported | Array 1__chronic bronchitis < 0.23","Non-cancer illness code, self-reported | Array 1 chronic bronchitis",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),27,100459,0,0.929,0.0,0,0
"Non-cancer illness code, self-reported | Array 1 depression","Non-cancer illness code, self-reported | Array 1 depression",0.001,0.054,-0.006,-0.006,1,0.0,"Non-cancer illness code, self-reported | Array 1__depression",1.0,90295,98.81,"Non-cancer illness code, self-reported | Array 1__depression < 0.12","Non-cancer illness code, self-reported | Array 1 depression",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1191,100459,0,0.039,0.0,0,0
"Non-cancer illness code, self-reported | Array 1 diabetes","Non-cancer illness code, self-reported | Array 1 diabetes",0.001,0.0,0.022,0.022,1,0.0,"Non-cancer illness code, self-reported | Array 1__diabetes",1.33,3899,5.66,"Non-cancer illness code, self-reported | Array 1__diabetes >= 0.43","Non-cancer illness code, self-reported | Array 1 diabetes",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),3395,100459,8,0.427,-0.204,0,1
"Non-cancer illness code, self-reported | Array 1 gout","Non-cancer illness code, self-reported | Array 1 gout",0.059,0.0,0.223,0.223,1,0.013,"Non-cancer illness code, self-reported | Array 1__gout",6.78,1215,9.0,"Non-cancer illness code, self-reported | Array 1__gout >= 0.50","Non-cancer illness code, self-reported | Array 1 gout",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),58,100459,0,0.854,0.0,0,0
"Non-cancer illness code, self-reported | Array 1 kidney","Non-cancer illness code, self-reported | Array 1 kidney",0.0,0.0,0.025,0.025,1,0.001,"Non-cancer illness code, self-reported | Array 1__kidney",0.99,90998,98.74,"Non-cancer illness code, self-reported | Array 1__kidney < 0.11","Non-cancer illness code, self-reported | Array 1 kidney",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),3304,100459,4,0.056,-1.165,0,1
"Non-cancer illness code, self-reported | Array 1 polycystic","Non-cancer illness code, self-reported | Array 1 polycystic",0.0,0.0,0.026,0.026,1,0.0,"Non-cancer illness code, self-reported | Array 1__polycystic",1.0,91540,99.76,"Non-cancer illness code, self-reported | Array 1__polycystic < 0.31","Non-cancer illness code, self-reported | Array 1 polycystic",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),146,100459,0,0.672,0.0,0,0
"Non-cancer illness code, self-reported | Array 1 renal","Non-cancer illness code, self-reported | Array 1 renal",0.0,0.0,0.044,0.043,1,0.001,"Non-cancer illness code, self-reported | Array 1__renal",0.99,91368,99.12,"Non-cancer illness code, self-reported | Array 1__renal < 0.16","Non-cancer illness code, self-reported | Array 1 renal",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),2382,100459,1,0.012,-2.693,0,0
"Non-cancer illness code, self-reported | Array 1 renal kidney","Non-cancer illness code, self-reported | Array 1 renal kidney",0.0,0.0,0.03,0.03,1,0.0,"Non-cancer illness code, self-reported | Array 1__renal kidney",1.0,91417,99.42,"Non-cancer illness code, self-reported | Array 1__renal kidney < 0.25","Non-cancer illness code, self-reported | Array 1 renal kidney",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1663,100459,0,0.011,0.0,0,0
"Non-cancer illness code, self-reported | Array 2 asthma","Non-cancer illness code, self-reported | Array 2 asthma",0.0,0.0,0.022,0.022,1,0.0,"Non-cancer illness code, self-reported | Array 2__asthma",1.63,1031,1.83,"Non-cancer illness code, self-reported | Array 2__asthma >= 0.50","Non-cancer illness code, self-reported | Array 2 asthma",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),655,100459,0,0.168,0.0,0,0
"Non-cancer illness code, self-reported | Array 2 embolism","Non-cancer illness code, self-reported | Array 2 embolism",0.0,0.0,0.026,0.026,1,0.0,"Non-cancer illness code, self-reported | Array 2__embolism",1.0,91326,99.29,"Non-cancer illness code, self-reported | Array 2__embolism < 0.23","Non-cancer illness code, self-reported | Array 2 embolism",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),157,100459,1,0.931,1.23,0,0
"Non-cancer illness code, self-reported | Array 2 failure","Non-cancer illness code, self-reported | Array 2 failure",0.0,0.0,0.035,0.035,1,0.0,"Non-cancer illness code, self-reported | Array 2__failure",1.0,91470,99.49,"Non-cancer illness code, self-reported | Array 2__failure < 0.18","Non-cancer illness code, self-reported | Array 2 failure",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),3664,100459,4,0.03,-1.314,0,1
"Non-cancer illness code, self-reported | Array 2 gout","Non-cancer illness code, self-reported | Array 2 gout",0.037,0.0,0.193,0.193,1,0.01,"Non-cancer illness code, self-reported | Array 2__gout",6.61,968,6.99,"Non-cancer illness code, self-reported | Array 2__gout >= 0.50","Non-cancer illness code, self-reported | Array 2 gout",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),56,100459,0,0.859,0.0,0,0
"Non-cancer illness code, self-reported | Array 2 pulmonary","Non-cancer illness code, self-reported | Array 2 pulmonary",0.001,0.0,0.032,0.032,1,0.0,"Non-cancer illness code, self-reported | Array 2__pulmonary",0.99,91295,99.14,"Non-cancer illness code, self-reported | Array 2__pulmonary < 0.22","Non-cancer illness code, self-reported | Array 2 pulmonary",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),5714,100459,7,0.013,-1.148,0,1
"Non-cancer illness code, self-reported | Array 2 pulmonary embolism","Non-cancer illness code, self-reported | Array 2 pulmonary embolism",0.0,0.0,0.026,0.026,1,0.0,"Non-cancer illness code, self-reported | Array 2__pulmonary embolism",1.0,91331,99.3,"Non-cancer illness code, self-reported | Array 2__pulmonary embolism < 0.23","Non-cancer illness code, self-reported | Array 2 pulmonary embolism",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),56,100459,0,0.859,0.0,0,0
"Non-cancer illness code, self-reported | Array 3 gout","Non-cancer illness code, self-reported | Array 3 gout",0.023,0.0,0.162,0.162,1,0.007,"Non-cancer illness code, self-reported | Array 3__gout",0.96,90981,95.38,"Non-cancer illness code, self-reported | Array 3__gout < 0.50","Non-cancer illness code, self-reported | Array 3 gout",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),49,100459,0,0.875,0.0,0,0
"Non-cancer illness code, self-reported | Array 3 hernia","Non-cancer illness code, self-reported | Array 3 hernia",0.0,0.001,0.012,0.012,1,0.0,"Non-cancer illness code, self-reported | Array 3__hernia",1.0,91056,99.15,"Non-cancer illness code, self-reported | Array 3__hernia < 0.24","Non-cancer illness code, self-reported | Array 3 hernia",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),117,100459,1,0.959,1.654,0,0
"Non-cancer illness code, self-reported | Array 3 kidney","Non-cancer illness code, self-reported | Array 3 kidney",0.001,0.0,0.029,0.029,1,0.0,"Non-cancer illness code, self-reported | Array 3__kidney",0.99,91272,99.14,"Non-cancer illness code, self-reported | Array 3__kidney < 0.11","Non-cancer illness code, self-reported | Array 3 kidney",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),2253,100459,3,0.141,-1.028,0,1
"Non-cancer illness code, self-reported | Array 4 gout","Non-cancer illness code, self-reported | Array 4 gout",0.009,0.0,0.113,0.113,1,0.003,"Non-cancer illness code, self-reported | Array 4__gout",0.98,91252,97.58,"Non-cancer illness code, self-reported | Array 4__gout < 0.50","Non-cancer illness code, self-reported | Array 4 gout",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),26,100459,0,0.932,0.0,0,0
"Non-cancer illness code, self-reported | Array 4 high cholesterol","Non-cancer illness code, self-reported | Array 4 high cholesterol",0.0,0.0,0.035,0.035,1,0.001,"Non-cancer illness code, self-reported | Array 4__high cholesterol",1.84,1430,2.87,"Non-cancer illness code, self-reported | Array 4__high cholesterol >= 0.29","Non-cancer illness code, self-reported | Array 4 high cholesterol",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),256,100459,1,0.846,0.525,0,0
"Non-cancer illness code, self-reported | Array 5 gout","Non-cancer illness code, self-reported | Array 5 gout",0.003,0.0,0.08,0.08,1,0.002,"Non-cancer illness code, self-reported | Array 5__gout",0.99,91417,98.77,"Non-cancer illness code, self-reported | Array 5__gout < 0.50","Non-cancer illness code, self-reported | Array 5 gout",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),25,100459,0,0.934,0.0,0,0
"Non-cancer illness code, self-reported | Array 6 gout","Non-cancer illness code, self-reported | Array 6 gout",0.001,0.0,0.058,0.058,1,0.001,"Non-cancer illness code, self-reported | Array 6__gout",0.99,91508,99.39,"Non-cancer illness code, self-reported | Array 6__gout < 0.50","Non-cancer illness code, self-reported | Array 6 gout",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),36,100459,0,0.907,0.0,0,0
"Non-cancer illness code, self-reported | Array 6 problem","Non-cancer illness code, self-reported | Array 6 problem",0.0,0.0,0.021,0.021,1,0.0,"Non-cancer illness code, self-reported | Array 6__problem",1.0,91396,99.5,"Non-cancer illness code, self-reported | Array 6__problem < 0.16","Non-cancer illness code, self-reported | Array 6 problem",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1973,100459,1,0.03,-2.421,0,0
Occlusion of cerebral arteries,Occlusion of cerebral arteries,0.0,0.018,-0.005,-0.005,1,0.0,Occlusion of cerebral arteries,1.0,90341,98.43,-2.60 <= Occlusion of cerebral arteries < 0.04,Occlusion of cerebral arteries,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),10643,100459,1,0.0,-4.853,0,0
Osteoarthritis; localized,Osteoarthritis; localized,0.001,0.018,-0.004,-0.004,1,0.0,Osteoarthritis; localized,1.12,947,1.16,-5.50 <= Osteoarthritis; localized < -0.13,Osteoarthritis; localized,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),7024,100459,0,0.0,0.0,0,0
Osteoarthrosis NOS,Osteoarthrosis NOS,0.001,0.367,0.005,0.005,1,0.0,Osteoarthrosis NOS,0.99,89700,97.11,-2.00 <= Osteoarthrosis NOS < 0.40,Osteoarthrosis NOS,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),120489,100459,0,0.0,0.0,0,0
"Other diseases of respiratory system, NEC","Other diseases of respiratory system, NEC",0.001,0.006,-0.006,-0.006,1,0.0,"Other diseases of respiratory system, NEC",1.01,1693,1.87,"Other diseases of respiratory system, NEC >= 2.10","Other diseases of respiratory system, NEC",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),35,100459,0,0.909,0.0,0,0
Other mental disorder,Other mental disorder,0.001,0.308,-0.0,-0.0,1,0.0,Other mental disorder,1.26,1240,1.7,-3.30 <= Other mental disorder < -2.20,Other mental disorder,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),260025,100459,124,0.0,-2.509,0,1
Other peripheral nerve disorders,Other peripheral nerve disorders,0.002,0.039,0.008,0.008,1,0.0,Other peripheral nerve disorders,1.11,1588,1.92,-11.00 <= Other peripheral nerve disorders < -0.25,Other peripheral nerve disorders,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),24926,100459,26,0.0,-1.38,0,1
Other tests,Other tests,0.001,0.012,-0.012,-0.012,1,0.0,Other tests,1.01,88080,97.05,-2.40 <= Other tests < 0.10,Other tests,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),636209,100459,1402,0.0,-0.301,0,1
Overall health rating_Excellent,Overall health rating_Excellent,0.006,0.0,-0.046,-0.046,1,0.001,Overall health rating_Excellent,1.05,81543,93.35,Overall health rating_Excellent < 0.50,Overall health rating_Excellent,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),6069,100459,8,0.017,-1.042,0,1
Overall health rating_Fair,Overall health rating_Fair,0.001,0.0,0.05,0.05,1,0.001,Overall health rating_Fair,1.24,25623,34.72,Overall health rating_Fair >= 0.50,Overall health rating_Fair,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),3361,100459,6,0.195,-0.605,0,1
Overall health rating_Good,Overall health rating_Good,0.01,0.0,-0.048,-0.048,1,0.001,Overall health rating_Good,1.15,43190,54.33,Overall health rating_Good < 0.50,Overall health rating_Good,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),16240,100459,6,0.0,-2.878,0,1
Overall health rating_Poor,Overall health rating_Poor,0.003,0.0,0.056,0.056,1,0.001,Overall health rating_Poor,1.6,6756,11.8,Overall health rating_Poor >= 0.50,Overall health rating_Poor,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),15987,100459,11,0.0,-1.98,0,1
Phlebitis and thrombophlebitis of lower extremities,Phlebitis and thrombophlebitis of lower extremities,0.001,0.079,-0.004,-0.004,1,0.0,Phlebitis and thrombophlebitis of lower extremities,1.0,90658,98.64,-2.20 <= Phlebitis and thrombophlebitis of lower extremities < 6.70,Phlebitis and thrombophlebitis of lower extremities,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),3631,100459,9,0.476,-0.131,0,1
Pneumococcal pneumonia,Pneumococcal pneumonia,0.001,0.1,-0.004,-0.004,1,0.0,Pneumococcal pneumonia,1.0,90494,98.44,-4.70 <= Pneumococcal pneumonia < 5.00,Pneumococcal pneumonia,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),10528,100459,10,0.0,-1.515,0,1
Pulse wave reflection index,Pulse wave reflection index,0.005,0.661,-0.001,-0.001,1,0.001,Pulse wave reflection index,1.07,4830,5.64,-2.20 <= Pulse wave reflection index < -0.67,Pulse wave reflection index,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1707,100459,0,0.01,0.0,0,0
Qualifications_College or University degree,Qualifications_College or University degree,0.001,0.013,-0.008,-0.008,1,0.0,Qualifications_College or University degree,1.01,82420,90.73,Qualifications_College or University degree < 0.50,Qualifications_College or University degree,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),652571,100459,915,0.0,-0.953,0,1
Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent,Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent,0.001,0.0,-0.013,-0.013,1,0.0,Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent,1.01,88450,97.26,Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent < 0.50,Qualifications_College or University degree|A levels/AS levels or equivalent|O levels/GCSEs or equivalent,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1004915,100459,1320,0.0,-1.048,0,1
"Qualifications_College or University degree|A levels/AS levels or equivalent|Other professional qualifications eg: nursing, teaching","Qualifications_College or University degree|A levels/AS levels or equivalent|Other professional qualifications eg: nursing, teaching",0.0,0.065,-0.006,-0.006,1,0.0,"Qualifications_College or University degree|A levels/AS levels or equivalent|Other professional qualifications eg: nursing, teaching",1.0,91343,99.83,"Qualifications_College or University degree|A levels/AS levels or equivalent|Other professional qualifications eg: nursing, teaching < 0.50","Qualifications_College or University degree|A levels/AS levels or equivalent|Other professional qualifications eg: nursing, teaching",0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),1005136,100459,1320,0.0,-1.048,0,1
Qualifications_College or University degree|NVQ or HND or HNC or equivalent,Qualifications_College or University degree|NVQ or HND or HNC or equivalent,0.0,0.131,0.005,0.005,1,0.0,Qualifications_College or University degree|NVQ or HND or HNC or equivalent,1.0,91315,99.62,Qualifications_College or University degree|NVQ or HND or HNC or equivalent < 0.50,Qualifications_College or University degree|NVQ or HND or HNC or equivalent,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),976168,100459,1264,0.0,-1.068,0,1
Qualifications_College or University degree|O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,Qualifications_College or University degree|O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,0.0,0.084,-0.006,-0.006,1,0.0,Qualifications_College or University degree|O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,1.0,91267,99.75,Qualifications_College or University degree|O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent < 0.50,Qualifications_College or University degree|O levels/GCSEs or equivalent|NVQ or HND or HNC or equivalent,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),975890,100459,1264,0.0,-1.068,0,1
Qualifications_None,Qualifications_None,0.002,0.005,0.009,0.009,1,0.0,Qualifications_None,1.27,986,1.36,Qualifications_None >= 0.50,Qualifications_None,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),744,100459,1,0.4,-1.014,0,0
Qualifications_None of the above,Qualifications_None of the above,0.02,0.0,0.032,0.032,1,0.0,Qualifications_None of the above,1.17,21451,27.46,Qualifications_None of the above >= 0.50,Qualifications_None of the above,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),26,100459,0,0.932,0.0,0,0
Qualifications_NVQ or HND or HNC or equivalent,Qualifications_NVQ or HND or HNC or equivalent,0.0,0.003,0.01,0.01,1,0.0,Qualifications_NVQ or HND or HNC or equivalent,1.1,7423,8.92,Qualifications_NVQ or HND or HNC or equivalent >= 0.50,Qualifications_NVQ or HND or HNC or equivalent,0,0.0,0,,(Cholelithiasis) OR (Gallstone) OR (Gallbladder disease) OR (cholecystitis) OR (Cholangitis),333754,100459,356,0.0,-1.348,0,1
