name,feature_importance,p_val,corr,corr_kendal,support,MutualInfoTarget,raw_name,F.Split-Lift (y==1),F.Split-Support,F.Split-Target % Covered,F.Split-Feature Split
"Non-cancer illness code, self-reported | Array 0 diverticulitis",0.0,0.00279,0.007,0.007,189607,0.00024,"Non-cancer illness code, self-reported | Array 0__diverticulitis",1.4,558,0.41,"Non-cancer illness code, self-reported | Array 0__diverticulitis >= 0.23"
"Non-cancer illness code, self-reported | Array 0 dvt",0.0,0.00141,0.007,0.007,189607,0.00098,"Non-cancer illness code, self-reported | Array 0__dvt",1.24,747,0.49,"0.18 <= Non-cancer illness code, self-reported | Array 0__dvt < 0.36"
"Non-cancer illness code, self-reported | Array 2 ulcerative",0.0,0.00015,0.009,0.009,189607,0.00091,"Non-cancer illness code, self-reported | Array 2__ulcerative",1.83,114,0.11,"0.19 <= Non-cancer illness code, self-reported | Array 2__ulcerative < 0.48"
"Non-cancer illness code, self-reported | Array 0 bladder stone",0.0,0.05527,0.004,0.004,189607,0.00037,"Non-cancer illness code, self-reported | Array 0__bladder stone",1.3,406,0.28,"Non-cancer illness code, self-reported | Array 0__bladder stone >= 0.12"
"Non-cancer illness code, self-reported | Array 0 embolism",0.0,0.05759,0.005,0.005,189607,6e-05,"Non-cancer illness code, self-reported | Array 0__embolism",1.23,752,0.49,"Non-cancer illness code, self-reported | Array 0__embolism >= 0.23"
"Non-cancer illness code, self-reported | Array 0 bowel syndrome",0.0,0.00055,0.008,0.008,189607,0.0,"Non-cancer illness code, self-reported | Array 0__bowel syndrome",1.32,1187,0.82,"Non-cancer illness code, self-reported | Array 0__bowel syndrome >= 0.23"
"Non-cancer illness code, self-reported | Array 2 ureter stone",0.0,0.0,0.011,0.011,189607,0.0,"Non-cancer illness code, self-reported | Array 2__ureter stone",1.81,329,0.31,"Non-cancer illness code, self-reported | Array 2__ureter stone >= 0.12"
"Non-cancer illness code, self-reported | Array 2 ulcer",0.0,0.00194,0.008,0.008,189607,0.00025,"Non-cancer illness code, self-reported | Array 2__ulcer",1.79,184,0.17,"0.28 <= Non-cancer illness code, self-reported | Array 2__ulcer < 0.78"
"Non-cancer illness code, self-reported | Array 2 ulcers",0.0,0.05184,0.005,0.005,189607,0.00035,"Non-cancer illness code, self-reported | Array 2__ulcers",1.48,335,0.26,"0.24 <= Non-cancer illness code, self-reported | Array 2__ulcers < 0.73"
"Non-cancer illness code, self-reported | Array 0 crohns disease",0.0,1e-05,0.01,0.01,189607,0.00014,"Non-cancer illness code, self-reported | Array 0__crohns disease",1.76,325,0.3,"Non-cancer illness code, self-reported | Array 0__crohns disease >= 0.32"
"Non-cancer illness code, self-reported | Array 0 cholesterol",0.0,0.0,-0.011,-0.011,189607,1e-05,"Non-cancer illness code, self-reported | Array 0__cholesterol",1.0,186170,98.67,"Non-cancer illness code, self-reported | Array 0__cholesterol < 0.29"
"Non-cancer illness code, self-reported | Array 0 crohns",0.0,1e-05,0.009,0.009,189607,0.0,"Non-cancer illness code, self-reported | Array 0__crohns",1.76,325,0.3,"Non-cancer illness code, self-reported | Array 0__crohns >= 0.48"
"Non-cancer illness code, self-reported | Array 0 chronic",0.0,0.00015,0.008,0.008,189607,0.0,"Non-cancer illness code, self-reported | Array 0__chronic",1.48,149,0.12,"Non-cancer illness code, self-reported | Array 0__chronic >= 0.52"
"Non-cancer illness code, self-reported | Array 0 disease",0.0,0.02225,0.008,0.008,189607,0.0,"Non-cancer illness code, self-reported | Array 0__disease",1.76,325,0.3,"0.44 <= Non-cancer illness code, self-reported | Array 0__disease < 0.48"
"Non-cancer illness code, self-reported | Array 2 ulcerative colitis",0.0,0.00015,0.009,0.009,189607,0.0,"Non-cancer illness code, self-reported | Array 2__ulcerative colitis",1.83,114,0.11,"0.19 <= Non-cancer illness code, self-reported | Array 2__ulcerative colitis < 0.48"
"Non-cancer illness code, self-reported | Array 2 venous",0.0,0.0384,0.005,0.005,189607,0.0,"Non-cancer illness code, self-reported | Array 2__venous",1.36,380,0.27,"Non-cancer illness code, self-reported | Array 2__venous >= 0.19"
"Non-cancer illness code, self-reported | Array 2 venous thrombosis",0.0,0.01925,0.005,0.005,189607,0.0,"Non-cancer illness code, self-reported | Array 2__venous thrombosis",1.38,374,0.27,"Non-cancer illness code, self-reported | Array 2__venous thrombosis >= 0.19"
"Non-cancer illness code, self-reported | Array 0 allergic",0.0,0.00386,-0.007,-0.007,189607,0.0,"Non-cancer illness code, self-reported | Array 0__allergic",1.0,187071,98.9,"Non-cancer illness code, self-reported | Array 0__allergic < 0.22"
"Non-cancer illness code, self-reported | Array 0 allergic rhinitis",0.0,0.00386,-0.007,-0.007,189607,0.00037,"Non-cancer illness code, self-reported | Array 0__allergic rhinitis",1.0,187071,98.9,"Non-cancer illness code, self-reported | Array 0__allergic rhinitis < 0.22"
"Non-cancer illness code, self-reported | Array 0 deep",0.0,0.01198,0.006,0.006,189607,0.0006,"Non-cancer illness code, self-reported | Array 0__deep",1.15,2621,1.6,"Non-cancer illness code, self-reported | Array 0__deep >= 0.19"
"Non-cancer illness code, self-reported | Array 0 deep venous",0.0,0.01198,0.006,0.006,189607,0.00104,"Non-cancer illness code, self-reported | Array 0__deep venous",1.15,2621,1.6,"Non-cancer illness code, self-reported | Array 0__deep venous >= 0.19"
"Non-cancer illness code, self-reported | Array 2 uterine prolapse",0.0,0.01627,0.006,0.006,189607,0.0,"Non-cancer illness code, self-reported | Array 2__uterine prolapse",1.46,271,0.21,"Non-cancer illness code, self-reported | Array 2__uterine prolapse >= 0.17"
"Non-cancer illness code, self-reported | Array 0 chronic bronchitis",0.0,0.0,0.011,0.011,189607,0.0,"Non-cancer illness code, self-reported | Array 0__chronic bronchitis",1.37,1559,1.13,"Non-cancer illness code, self-reported | Array 0__chronic bronchitis >= 0.23"
"Non-cancer illness code, self-reported | Array 0 cataract",0.0,0.03336,-0.005,-0.005,189607,0.0,"Non-cancer illness code, self-reported | Array 0__cataract",1.0,188590,99.58,"Non-cancer illness code, self-reported | Array 0__cataract < 0.50"
"Non-cancer illness code, self-reported | Array 2 vaginal",0.0,0.01627,0.006,0.006,189607,0.0,"Non-cancer illness code, self-reported | Array 2__vaginal",1.46,271,0.21,"Non-cancer illness code, self-reported | Array 2__vaginal >= 0.17"
"Non-cancer illness code, self-reported | Array 2 vaginal prolapse",0.0,0.01627,0.006,0.006,189607,0.0,"Non-cancer illness code, self-reported | Array 2__vaginal prolapse",1.46,271,0.21,"Non-cancer illness code, self-reported | Array 2__vaginal prolapse >= 0.17"
"Non-cancer illness code, self-reported | Array 0 disc",0.0,0.04547,0.004,0.004,189607,0.0005,"Non-cancer illness code, self-reported | Array 0__disc",1.19,900,0.56,"0.33 <= Non-cancer illness code, self-reported | Array 0__disc < 0.72"
"Non-cancer illness code, self-reported | Array 0 attack",0.0,0.0,0.014,0.014,189607,0.00036,"Non-cancer illness code, self-reported | Array 0__attack",1.27,5530,3.69,"Non-cancer illness code, self-reported | Array 0__attack >= 0.30"
"Non-cancer illness code, self-reported | Array 2 valve",0.0,0.02881,0.003,0.003,189607,0.0,"Non-cancer illness code, self-reported | Array 2__valve",1.28,284,0.19,"Non-cancer illness code, self-reported | Array 2__valve >= 0.16"
"Non-cancer illness code, self-reported | Array 0 attack myocardial",0.0,0.0,0.015,0.015,189607,0.00094,"Non-cancer illness code, self-reported | Array 0__attack myocardial",1.27,5530,3.69,"Non-cancer illness code, self-reported | Array 0__attack myocardial >= 0.19"
"Non-cancer illness code, self-reported | Array 0 enlarged",0.0,0.00236,-0.007,-0.007,189607,0.00044,"Non-cancer illness code, self-reported | Array 0__enlarged",1.0,188821,99.73,"Non-cancer illness code, self-reported | Array 0__enlarged < 0.29"
"Non-cancer illness code, self-reported | Array 0 stroke",0.0,0.01802,0.005,0.005,189607,0.00063,"Non-cancer illness code, self-reported | Array 0__stroke",1.15,2499,1.51,"Non-cancer illness code, self-reported | Array 0__stroke >= 0.78"
"Non-cancer illness code, self-reported | Array 0 thrombosis",0.0,0.01198,0.006,0.006,189607,0.0,"Non-cancer illness code, self-reported | Array 0__thrombosis",1.15,2621,1.6,"Non-cancer illness code, self-reported | Array 0__thrombosis >= 0.19"
"Non-cancer illness code, self-reported | Array 0 thrombosis dvt",0.0,0.01198,0.006,0.006,189607,0.0,"Non-cancer illness code, self-reported | Array 0__thrombosis dvt",1.15,2621,1.6,"Non-cancer illness code, self-reported | Array 0__thrombosis dvt >= 0.19"
"Non-cancer illness code, self-reported | Array 0 ulcers",0.0,0.00071,0.007,0.007,189607,0.00064,"Non-cancer illness code, self-reported | Array 0__ulcers",1.52,333,0.27,"Non-cancer illness code, self-reported | Array 0__ulcers >= 0.24"
"Non-cancer illness code, self-reported | Array 0 syndrome",0.0,0.01644,0.006,0.006,189607,0.00029,"Non-cancer illness code, self-reported | Array 0__syndrome",1.32,1187,0.82,"0.40 <= Non-cancer illness code, self-reported | Array 0__syndrome < 0.51"
"Non-cancer illness code, self-reported | Array 0 stone ureter",0.0,0.05527,0.004,0.004,189607,0.0,"Non-cancer illness code, self-reported | Array 0__stone ureter",1.3,406,0.28,"Non-cancer illness code, self-reported | Array 0__stone ureter >= 0.12"
"Non-cancer illness code, self-reported | Array 0 enlarged prostate",0.0,0.00236,-0.007,-0.007,189607,0.0,"Non-cancer illness code, self-reported | Array 0__enlarged prostate",1.0,188821,99.73,"Non-cancer illness code, self-reported | Array 0__enlarged prostate < 0.29"
"Non-cancer illness code, self-reported | Array 0 stone bladder",0.0,0.05527,0.004,0.004,189607,8e-05,"Non-cancer illness code, self-reported | Array 0__stone bladder",1.3,406,0.28,"Non-cancer illness code, self-reported | Array 0__stone bladder >= 0.12"
"Non-cancer illness code, self-reported | Array 0 pulmonary embolism",0.0,0.04017,0.005,0.005,189607,0.0,"Non-cancer illness code, self-reported | Array 0__pulmonary embolism",1.24,747,0.49,"Non-cancer illness code, self-reported | Array 0__pulmonary embolism >= 0.23"
"Non-cancer illness code, self-reported | Array 0 reflux",0.0,0.00391,0.007,0.007,189607,0.00021,"Non-cancer illness code, self-reported | Array 0__reflux",1.21,1893,1.21,"Non-cancer illness code, self-reported | Array 0__reflux >= 0.28"
"Non-cancer illness code, self-reported | Array 0 reflux gord",0.0,0.00391,0.007,0.007,189607,0.00102,"Non-cancer illness code, self-reported | Array 0__reflux gord",1.21,1893,1.21,"Non-cancer illness code, self-reported | Array 0__reflux gord >= 0.14"
"Non-cancer illness code, self-reported | Array 0 rhinitis",0.0,0.00386,-0.007,-0.007,189607,0.00095,"Non-cancer illness code, self-reported | Array 0__rhinitis",1.0,187071,98.9,"Non-cancer illness code, self-reported | Array 0__rhinitis < 0.22"
"Non-cancer illness code, self-reported | Array 0 sclerosis",0.0,0.00346,0.007,0.007,189607,0.0,"Non-cancer illness code, self-reported | Array 0__sclerosis",1.53,430,0.35,"0.55 <= Non-cancer illness code, self-reported | Array 0__sclerosis < 0.79"
"Non-cancer illness code, self-reported | Array 0 stomach ulcers",0.0,0.01437,0.006,0.006,189607,0.00022,"Non-cancer illness code, self-reported | Array 0__stomach ulcers",1.43,323,0.24,"Non-cancer illness code, self-reported | Array 0__stomach ulcers >= 0.24"
"Non-cancer illness code, self-reported | Array 0 stone",0.0,0.05527,0.004,0.004,189607,0.0,"Non-cancer illness code, self-reported | Array 0__stone",1.3,406,0.28,"Non-cancer illness code, self-reported | Array 0__stone >= 0.37"
"Non-cancer illness code, self-reported | Array 0 ureter",0.0,0.05527,0.004,0.004,189607,9e-05,"Non-cancer illness code, self-reported | Array 0__ureter",1.3,406,0.28,"Non-cancer illness code, self-reported | Array 0__ureter >= 0.12"
"Non-cancer illness code, self-reported | Array 0 ureter stone",0.0,0.05527,0.004,0.004,189607,0.0,"Non-cancer illness code, self-reported | Array 0__ureter stone",1.3,406,0.28,"Non-cancer illness code, self-reported | Array 0__ureter stone >= 0.12"
"Non-cancer illness code, self-reported | Array 3 anxiety panic",0.0,0.00511,0.006,0.006,189607,0.0,"Non-cancer illness code, self-reported | Array 3__anxiety panic",1.45,387,0.3,"Non-cancer illness code, self-reported | Array 3__anxiety panic >= 0.22"
"Non-cancer illness code, self-reported | Array 3 arrhythmia",0.0,0.00864,0.006,0.006,189607,0.0,"Non-cancer illness code, self-reported | Array 3__arrhythmia",1.68,151,0.13,"Non-cancer illness code, self-reported | Array 3__arrhythmia >= 0.30"
"Non-cancer illness code, self-reported | Array 3 asthma",0.0,3e-05,0.01,0.01,189607,0.00015,"Non-cancer illness code, self-reported | Array 3__asthma",1.57,531,0.44,"Non-cancer illness code, self-reported | Array 3__asthma >= 0.50"
"Non-cancer illness code, self-reported | Array 3 attacks",0.0,0.00511,0.006,0.006,189607,0.00023,"Non-cancer illness code, self-reported | Array 3__attacks",1.45,387,0.3,"Non-cancer illness code, self-reported | Array 3__attacks >= 0.22"
"Non-cancer illness code, self-reported | Array 3 bladder stone",0.0,0.0033,0.007,0.007,189607,0.0018,"Non-cancer illness code, self-reported | Array 3__bladder stone",1.66,199,0.17,"Non-cancer illness code, self-reported | Array 3__bladder stone >= 0.12"
"Non-cancer illness code, self-reported | Array 3 anxiety",0.0,0.00511,0.006,0.006,189607,0.00032,"Non-cancer illness code, self-reported | Array 3__anxiety",1.45,387,0.3,"Non-cancer illness code, self-reported | Array 3__anxiety >= 0.22"
"Non-cancer illness code, self-reported | Array 0 venous thrombosis",0.0,0.01198,0.006,0.006,189607,0.0,"Non-cancer illness code, self-reported | Array 0__venous thrombosis",1.15,2621,1.6,"Non-cancer illness code, self-reported | Array 0__venous thrombosis >= 0.19"
"Non-cancer illness code, self-reported | Array 0 venous",0.0,0.01351,0.006,0.006,189607,0.0,"Non-cancer illness code, self-reported | Array 0__venous",1.15,2634,1.6,"Non-cancer illness code, self-reported | Array 0__venous >= 0.19"
"Non-cancer illness code, self-reported | Array 3 anaphylactic reaction",0.0,0.02072,0.005,0.005,189607,0.00019,"Non-cancer illness code, self-reported | Array 3__anaphylactic reaction",1.52,116,0.09,"0.18 <= Non-cancer illness code, self-reported | Array 3__anaphylactic reaction < 0.37"
"Non-cancer illness code, self-reported | Array 3 allergy",0.0,0.0142,0.006,0.006,189607,0.00105,"Non-cancer illness code, self-reported | Array 3__allergy",1.52,116,0.09,"0.17 <= Non-cancer illness code, self-reported | Array 3__allergy < 0.35"
"Non-cancer illness code, self-reported | Array 3 allergy anaphylactic",0.0,0.02072,0.005,0.005,189607,0.0,"Non-cancer illness code, self-reported | Array 3__allergy anaphylactic",1.52,116,0.09,"0.18 <= Non-cancer illness code, self-reported | Array 3__allergy anaphylactic < 0.37"
"Non-cancer illness code, self-reported | Array 3 anaphylactic",0.0,0.02072,0.005,0.005,189607,0.0,"Non-cancer illness code, self-reported | Array 3__anaphylactic",1.52,116,0.09,"0.18 <= Non-cancer illness code, self-reported | Array 3__anaphylactic < 0.37"
"Non-cancer illness code, self-reported | Array 0 prostate",0.0,0.00281,-0.007,-0.007,189607,0.00019,"Non-cancer illness code, self-reported | Array 0__prostate",1.0,188724,99.68,"Non-cancer illness code, self-reported | Array 0__prostate < 0.26"
"Non-cancer illness code, self-reported | Array 0 infarction",0.0,0.0,0.014,0.014,189607,0.0,"Non-cancer illness code, self-reported | Array 0__infarction",1.26,5533,3.69,"Non-cancer illness code, self-reported | Array 0__infarction >= 0.19"
"Non-cancer illness code, self-reported | Array 0 hayfever allergic",0.0,0.00386,-0.007,-0.007,189607,0.001,"Non-cancer illness code, self-reported | Array 0__hayfever allergic",1.0,187071,98.9,"Non-cancer illness code, self-reported | Array 0__hayfever allergic < 0.22"
"Non-cancer illness code, self-reported | Array 0 heart",0.0,0.0,0.014,0.014,189607,0.00054,"Non-cancer illness code, self-reported | Array 0__heart",1.27,5530,3.69,"0.18 <= Non-cancer illness code, self-reported | Array 0__heart < 0.38"
"Non-cancer illness code, self-reported | Array 0 heart attack",0.0,0.0,0.015,0.015,189607,0.00069,"Non-cancer illness code, self-reported | Array 0__heart attack",1.27,5530,3.69,"Non-cancer illness code, self-reported | Array 0__heart attack >= 0.19"
"Non-cancer illness code, self-reported | Array 0 hiatus",0.0,0.00301,0.007,0.007,189607,0.00025,"Non-cancer illness code, self-reported | Array 0__hiatus",1.28,1156,0.78,"Non-cancer illness code, self-reported | Array 0__hiatus >= 0.29"
"Non-cancer illness code, self-reported | Array 0 hiatus hernia",0.0,0.00301,0.007,0.007,189607,0.0,"Non-cancer illness code, self-reported | Array 0__hiatus hernia",1.28,1156,0.78,"Non-cancer illness code, self-reported | Array 0__hiatus hernia >= 0.29"
"Non-cancer illness code, self-reported | Array 0 high",0.0,0.0,-0.011,-0.011,189607,0.0,"Non-cancer illness code, self-reported | Array 0__high",1.0,186170,98.67,"Non-cancer illness code, self-reported | Array 0__high < 0.29"
"Non-cancer illness code, self-reported | Array 0 high cholesterol",0.0,0.0,-0.011,-0.011,189607,0.0,"Non-cancer illness code, self-reported | Array 0__high cholesterol",1.0,186170,98.67,"Non-cancer illness code, self-reported | Array 0__high cholesterol < 0.29"
"Non-cancer illness code, self-reported | Array 0 hypertension",0.0,9e-05,0.009,0.009,189607,0.00872,"Non-cancer illness code, self-reported | Array 0__hypertension",1.35,536,0.38,"0.18 <= Non-cancer illness code, self-reported | Array 0__hypertension < 0.61"
"Non-cancer illness code, self-reported | Array 0 hayfever",0.0,0.00386,-0.007,-0.007,189607,0.00011,"Non-cancer illness code, self-reported | Array 0__hayfever",1.0,187071,98.9,"Non-cancer illness code, self-reported | Array 0__hayfever < 0.22"
"Non-cancer illness code, self-reported | Array 0 gout",0.0,0.0076,-0.006,-0.006,189607,0.0,"Non-cancer illness code, self-reported | Array 0__gout",1.0,189044,99.81,"Non-cancer illness code, self-reported | Array 0__gout < 0.50"
"Non-cancer illness code, self-reported | Array 0 gord gastric",0.0,0.00391,0.007,0.007,189607,0.0,"Non-cancer illness code, self-reported | Array 0__gord gastric",1.21,1893,1.21,"Non-cancer illness code, self-reported | Array 0__gord gastric >= 0.14"
"Non-cancer illness code, self-reported | Array 0 essential",0.0,0.01278,0.006,0.006,189607,0.00075,"Non-cancer illness code, self-reported | Array 0__essential",1.36,543,0.39,"Non-cancer illness code, self-reported | Array 0__essential >= 0.68"
"Non-cancer illness code, self-reported | Array 0 essential hypertension",0.0,0.00935,0.006,0.006,189607,0.0,"Non-cancer illness code, self-reported | Array 0__essential hypertension",1.35,536,0.38,"Non-cancer illness code, self-reported | Array 0__essential hypertension >= 0.34"
"Non-cancer illness code, self-reported | Array 0 gord",0.0,0.00391,0.007,0.007,189607,0.00015,"Non-cancer illness code, self-reported | Array 0__gord",1.21,1893,1.21,"Non-cancer illness code, self-reported | Array 0__gord >= 0.14"
"Non-cancer illness code, self-reported | Array 0 fracture",0.0,0.03355,-0.005,-0.005,189607,0.0,"Non-cancer illness code, self-reported | Array 0__fracture",1.0,189049,99.8,"Non-cancer illness code, self-reported | Array 0__fracture < 0.94"
"Non-cancer illness code, self-reported | Array 0 gastric reflux",0.0,0.00391,0.007,0.007,189607,0.00057,"Non-cancer illness code, self-reported | Array 0__gastric reflux",1.21,1893,1.21,"Non-cancer illness code, self-reported | Array 0__gastric reflux >= 0.14"
"Non-cancer illness code, self-reported | Array 0 gastric stomach",0.0,0.01437,0.006,0.006,189607,0.0,"Non-cancer illness code, self-reported | Array 0__gastric stomach",1.43,323,0.24,"Non-cancer illness code, self-reported | Array 0__gastric stomach >= 0.24"
"Non-cancer illness code, self-reported | Array 0 gastro",0.0,0.00391,0.007,0.007,189607,0.00043,"Non-cancer illness code, self-reported | Array 0__gastro",1.21,1893,1.21,"Non-cancer illness code, self-reported | Array 0__gastro >= 0.14"
"Non-cancer illness code, self-reported | Array 0 infection",0.0,0.04243,-0.004,-0.004,189607,0.0,"Non-cancer illness code, self-reported | Array 0__infection",1.0,189342,99.91,"Non-cancer illness code, self-reported | Array 0__infection < 0.32"
"Non-cancer illness code, self-reported | Array 0 myocardial",0.0,0.0,0.015,0.015,189607,0.00071,"Non-cancer illness code, self-reported | Array 0__myocardial",1.27,5530,3.69,"Non-cancer illness code, self-reported | Array 0__myocardial >= 0.19"
"Non-cancer illness code, self-reported | Array 0 myocardial infarction",0.0,0.0,0.015,0.015,189607,0.0,"Non-cancer illness code, self-reported | Array 0__myocardial infarction",1.27,5530,3.69,"Non-cancer illness code, self-reported | Array 0__myocardial infarction >= 0.19"
"Non-cancer illness code, self-reported | Array 0 oesophageal",0.0,0.00802,0.007,0.007,189607,0.0,"Non-cancer illness code, self-reported | Array 0__oesophageal",1.21,1893,1.21,"0.14 <= Non-cancer illness code, self-reported | Array 0__oesophageal < 0.49"
"Non-cancer illness code, self-reported | Array 0 oesophageal reflux",0.0,0.00391,0.007,0.007,189607,0.00062,"Non-cancer illness code, self-reported | Array 0__oesophageal reflux",1.21,1893,1.21,"Non-cancer illness code, self-reported | Array 0__oesophageal reflux >= 0.14"
"Non-cancer illness code, self-reported | Array 0 irritable",0.0,0.00055,0.008,0.008,189607,0.00072,"Non-cancer illness code, self-reported | Array 0__irritable",1.32,1187,0.82,"Non-cancer illness code, self-reported | Array 0__irritable >= 0.23"
"Non-cancer illness code, self-reported | Array 0 irritable bowel",0.0,0.00055,0.008,0.008,189607,0.00079,"Non-cancer illness code, self-reported | Array 0__irritable bowel",1.32,1187,0.82,"Non-cancer illness code, self-reported | Array 0__irritable bowel >= 0.23"
"Non-cancer illness code, self-reported | Array 0 multiple sclerosis",0.0,0.00054,0.008,0.008,189607,0.0,"Non-cancer illness code, self-reported | Array 0__multiple sclerosis",1.53,430,0.35,"Non-cancer illness code, self-reported | Array 0__multiple sclerosis >= 0.55"
"Non-cancer illness code, self-reported | Array 0 kidney stone",0.0,0.05527,0.004,0.004,189607,0.0,"Non-cancer illness code, self-reported | Array 0__kidney stone",1.3,406,0.28,"Non-cancer illness code, self-reported | Array 0__kidney stone >= 0.12"
"Non-cancer illness code, self-reported | Array 0 multiple",0.0,0.00054,0.008,0.008,189607,0.00024,"Non-cancer illness code, self-reported | Array 0__multiple",1.53,430,0.35,"Non-cancer illness code, self-reported | Array 0__multiple >= 0.55"
"Non-cancer illness code, self-reported | Array 2 tissue problem",0.0,0.0507,0.004,0.004,189607,0.0,"Non-cancer illness code, self-reported | Array 2__tissue problem",1.33,347,0.24,"Non-cancer illness code, self-reported | Array 2__tissue problem >= 0.21"
"Non-cancer illness code, self-reported | Array 2 thrombosis dvt",0.0,0.01925,0.005,0.005,189607,0.0,"Non-cancer illness code, self-reported | Array 2__thrombosis dvt",1.38,374,0.27,"Non-cancer illness code, self-reported | Array 2__thrombosis dvt >= 0.19"
"Non-cancer illness code, self-reported | Array 4 hypothyroidism",0.0,0.00022,0.008,0.008,189607,0.00059,"Non-cancer illness code, self-reported | Array 4__hypothyroidism",1.53,490,0.39,"Non-cancer illness code, self-reported | Array 4__hypothyroidism >= 0.29"
"Non-cancer illness code, self-reported | Array 4 hypothyroidism myxoedema",0.0,0.00022,0.008,0.008,189607,0.0,"Non-cancer illness code, self-reported | Array 4__hypothyroidism myxoedema",1.53,490,0.39,"Non-cancer illness code, self-reported | Array 4__hypothyroidism myxoedema >= 0.29"
"Non-cancer illness code, self-reported | Array 4 infection kidney",0.0,0.03671,0.005,0.005,189607,0.0,"Non-cancer illness code, self-reported | Array 4__infection kidney",1.0,189516,99.92,"Non-cancer illness code, self-reported | Array 4__infection kidney < 0.16"
"Non-cancer illness code, self-reported | Array 4 irritable",0.0,0.04866,0.005,0.005,189607,0.00041,"Non-cancer illness code, self-reported | Array 4__irritable",1.33,365,0.26,"Non-cancer illness code, self-reported | Array 4__irritable >= 0.23"
"Non-cancer illness code, self-reported | Array 4 irritable bowel",0.0,0.04866,0.005,0.005,189607,0.00019,"Non-cancer illness code, self-reported | Array 4__irritable bowel",1.33,365,0.26,"Non-cancer illness code, self-reported | Array 4__irritable bowel >= 0.23"
"Non-cancer illness code, self-reported | Array 4 kidney",0.0,0.00324,0.007,0.007,189607,0.00034,"Non-cancer illness code, self-reported | Array 4__kidney",1.5,103,0.08,"Non-cancer illness code, self-reported | Array 4__kidney >= 0.34"
"Non-cancer illness code, self-reported | Array 4 kidney infection",0.0,0.03671,0.005,0.005,189607,5e-05,"Non-cancer illness code, self-reported | Array 4__kidney infection",1.0,189516,99.92,"Non-cancer illness code, self-reported | Array 4__kidney infection < 0.16"
"Non-cancer illness code, self-reported | Array 4 migraine",0.0,0.00072,0.008,0.008,189607,0.00012,"Non-cancer illness code, self-reported | Array 4__migraine",1.72,109,0.1,"0.25 <= Non-cancer illness code, self-reported | Array 4__migraine < 0.75"
"Non-cancer illness code, self-reported | Array 4 gastric",0.0,0.00056,0.008,0.008,189607,0.00015,"Non-cancer illness code, self-reported | Array 4__gastric",1.52,152,0.12,"0.32 <= Non-cancer illness code, self-reported | Array 4__gastric < 0.68"
"Non-cancer illness code, self-reported | Array 4 gastric stomach",0.0,0.04265,0.005,0.005,189607,0.00029,"Non-cancer illness code, self-reported | Array 4__gastric stomach",1.52,152,0.12,"Non-cancer illness code, self-reported | Array 4__gastric stomach >= 0.24"
"Non-cancer illness code, self-reported | Array 4 gastro",0.0,0.00247,0.007,0.007,189607,6e-05,"Non-cancer illness code, self-reported | Array 4__gastro",1.33,835,0.59,"Non-cancer illness code, self-reported | Array 4__gastro >= 0.14"
"Non-cancer illness code, self-reported | Array 4 gastro oesophageal",0.0,0.00247,0.007,0.007,189607,0.0,"Non-cancer illness code, self-reported | Array 4__gastro oesophageal",1.33,835,0.59,"Non-cancer illness code, self-reported | Array 4__gastro oesophageal >= 0.14"
"Non-cancer illness code, self-reported | Array 4 gord",0.0,0.00247,0.007,0.007,189607,0.00024,"Non-cancer illness code, self-reported | Array 4__gord",1.33,835,0.59,"Non-cancer illness code, self-reported | Array 4__gord >= 0.14"
"Non-cancer illness code, self-reported | Array 4 gord gastric",0.0,0.00247,0.007,0.007,189607,0.00016,"Non-cancer illness code, self-reported | Array 4__gord gastric",1.33,835,0.59,"Non-cancer illness code, self-reported | Array 4__gord gastric >= 0.14"
"Non-cancer illness code, self-reported | Array 4 headaches",0.0,0.01812,0.005,0.005,189607,0.0,"Non-cancer illness code, self-reported | Array 4__headaches",1.72,109,0.1,"Non-cancer illness code, self-reported | Array 4__headaches >= 0.30"
"Non-cancer illness code, self-reported | Array 4 headaches migraine",0.0,0.01812,0.005,0.005,189607,0.00019,"Non-cancer illness code, self-reported | Array 4__headaches migraine",1.72,109,0.1,"Non-cancer illness code, self-reported | Array 4__headaches migraine >= 0.30"
"Non-cancer illness code, self-reported | Array 4 heart",0.0,0.01783,0.005,0.005,189607,0.00072,"Non-cancer illness code, self-reported | Array 4__heart",1.14,183,0.11,"0.26 <= Non-cancer illness code, self-reported | Array 4__heart < 0.71"
"Non-cancer illness code, self-reported | Array 4 hernia",0.0,0.0,0.012,0.012,189607,0.0005,"Non-cancer illness code, self-reported | Array 4__hernia",1.81,462,0.44,"0.52 <= Non-cancer illness code, self-reported | Array 4__hernia < 0.78"
"Non-cancer illness code, self-reported | Array 4 hiatus",0.0,0.0,0.013,0.013,189607,0.00057,"Non-cancer illness code, self-reported | Array 4__hiatus",1.81,462,0.44,"Non-cancer illness code, self-reported | Array 4__hiatus >= 0.29"
"Non-cancer illness code, self-reported | Array 4 hiatus hernia",0.0,0.0,0.013,0.013,189607,0.00036,"Non-cancer illness code, self-reported | Array 4__hiatus hernia",1.81,462,0.44,"Non-cancer illness code, self-reported | Array 4__hiatus hernia >= 0.29"
"Non-cancer illness code, self-reported | Array 4 high",0.0,0.02271,0.005,0.005,189607,0.0,"Non-cancer illness code, self-reported | Array 4__high",1.15,2174,1.32,"Non-cancer illness code, self-reported | Array 4__high >= 0.29"
